col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Justice Of The Supreme Court,,,,,,,Sheriff,,All
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Jewell Williams,Christopher Sawyer,All
Kevin M Dougherty,561,"3,168","3,138",47,34,26,44,"3,396",272,All
Christine Donohue,,51,"3,166",80,13,14,57,"2,872",273,All
David Wecht,,,49,63,10,14,46,"2,852",252,All
Judy Olson,,,,3,104,97,11,43,136,All
Anne Covey,,,,,5,87,6,22,97,All
Mike George,,,,,,1,5,11,101,All
Paul P Panepinto,,,,,,,2,43,38,All
Jewell Williams,,,,,,,,53,0,All
Christopher Sawyer,,,,,,,,,6,All
Total,"4,531","3,483","3,435",214,138,129,96,"3,687",444,All
,Justice Of The Supreme Court,,,,,,,Sheriff,,1
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Jewell Williams,Christopher Sawyer,1
Kevin M Dougherty,15,86,85,3,2,2,0,96,13,1
David Wecht,,2,87,2,1,0,1,72,13,1
Christine Donohue,,,1,1,0,0,1,71,12,1
Judy Olson,,,,0,3,3,0,3,2,1
Mike George,,,,,0,1,0,1,3,1
Anne Covey,,,,,,0,0,1,1,1
Paul P Panepinto,,,,,,,0,0,1,1
Jewell Williams,,,,,,,,0,0,1
Christopher Sawyer,,,,,,,,,0,1
Total,132,94,91,6,4,3,1,102,16,1
,Justice Of The Supreme Court,,,,,,,Sheriff,,2
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Jewell Williams,Christopher Sawyer,2
Kevin M Dougherty,3,86,81,3,2,1,2,82,15,2
Christine Donohue,,0,84,2,0,0,3,73,12,2
David Wecht,,,0,2,0,0,3,68,13,2
Judy Olson,,,,0,4,3,0,3,4,2
Mike George,,,,,0,4,0,0,5,2
Anne Covey,,,,,,0,0,0,4,2
Paul P Panepinto,,,,,,,0,0,3,2
Jewell Williams,,,,,,,,2,0,2
Christopher Sawyer,,,,,,,,,0,2
Total,109,93,87,7,5,4,4,87,22,2
,Justice Of The Supreme Court,,,,,,,Sheriff,,3
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Jewell Williams,Christopher Sawyer,3
Kevin M Dougherty,17,79,79,0,0,0,1,85,5,3
Christine Donohue,,1,79,2,0,0,2,73,7,3
David Wecht,,,0,1,0,0,1,69,6,3
Judy Olson,,,,0,3,3,0,2,3,3
Anne Covey,,,,,0,4,1,1,3,3
Mike George,,,,,,0,1,1,3,3
Paul P Panepinto,,,,,,,0,1,2,3
Jewell Williams,,,,,,,,1,0,3
Christopher Sawyer,,,,,,,,,0,3
Total,118,91,85,5,4,4,3,97,11,3
,Justice Of The Supreme Court,,,,,,,Sheriff,,4
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne Covey,Judy Olson,Paul P Panepinto,Mike George,Jewell Williams,Christopher Sawyer,4
Kevin M Dougherty,5,50,50,0,0,0,0,56,1,4
Christine Donohue,,0,51,1,1,1,0,51,1,4
David Wecht,,,0,0,0,1,0,48,0,4
Anne Covey,,,,0,2,0,0,1,0,4
Judy Olson,,,,,0,0,0,1,0,4
Paul P Panepinto,,,,,,0,0,1,0,4
Mike George,,,,,,,0,0,0,4
Jewell Williams,,,,,,,,3,0,4
Christopher Sawyer,,,,,,,,,0,4
Total,65,55,51,2,2,1,0,63,2,4
,Justice Of The Supreme Court,,,,,,,Sheriff,,5
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Paul P Panepinto,Anne Covey,Mike George,Jewell Williams,Christopher Sawyer,5
Kevin M Dougherty,12,107,108,1,0,1,0,117,4,5
Christine Donohue,,5,111,2,1,0,0,103,6,5
David Wecht,,,0,3,1,1,0,104,6,5
Judy Olson,,,,0,1,0,1,1,1,5
Paul P Panepinto,,,,,0,0,1,0,2,5
