col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Justice Of The Supreme Court,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Ken Powell,Mia Roberts Perez,Kai Scott,Abbe Fletman,Tracy B Roman,Stephanie M Sawyer,Lyris Younge,Chris Mallios,Michael Fanning,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,All
Kevin M Dougherty,463,"4,419","4,290",321,149,171,179,"3,867","3,670","3,644","3,594","3,571","3,304","3,332","3,244","3,186","3,098","3,082","2,991",916,All
Christine Donohue,,44,"4,556",522,94,90,170,"3,616","3,622","3,612","3,600","3,470","3,289","3,276","3,217","3,132","3,097","3,103","2,904",743,All
David Wecht,,,34,421,80,58,133,"3,565","3,494","3,507","3,494","3,329","3,140","3,191","3,119","3,065","3,000","3,027","2,807",658,All
Judy Olson,,,,10,"1,118","1,147",80,484,483,469,472,480,500,390,484,460,441,422,451,"1,441",All
Mike George,,,,,11,"1,025",37,235,211,205,203,237,236,189,245,240,214,190,252,"1,202",All
Anne Covey,,,,,,4,37,231,231,212,209,243,247,188,235,236,223,210,246,"1,158",All
Paul P Panepinto,,,,,,,13,175,172,172,175,169,173,138,174,164,157,167,147,156,All
Ken Powell,,,,,,,,7,"3,766","3,772","3,715","3,707","3,374","3,538","3,377","3,384","3,295","3,206","3,152",793,All
Mia Roberts Perez,,,,,,,,,0,"3,820","3,759","3,707","3,439","3,559","3,381","3,300","3,333","3,264","3,113",751,All
Kai Scott,,,,,,,,,,0,"3,809","3,670","3,396","3,584","3,429","3,306","3,326","3,277","3,097",710,All
Abbe Fletman,,,,,,,,,,,1,"3,623","3,364","3,524","3,409","3,273","3,283","3,255","3,073",701,All
Tracy B Roman,,,,,,,,,,,,2,"3,355","3,577","3,231","3,228","3,204","3,103","3,169",812,All
Stephanie M Sawyer,,,,,,,,,,,,,1,"3,173","3,376","3,371","3,379","3,255","3,151",808,All
Lyris Younge,,,,,,,,,,,,,,1,"3,148","3,113","3,139","3,028","3,045",657,All
Chris Mallios,,,,,,,,,,,,,,,0,"3,369","3,327","3,300","3,187",799,All
Michael Fanning,,,,,,,,,,,,,,,,1,"3,296","3,214","3,175",797,All
Daine Grey Jr,,,,,,,,,,,,,,,,,1,"3,203","3,101",724,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,0,"3,021",638,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,1,790,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,7,All
Total,"6,151","5,289","5,039","1,928","1,338","1,314",377,"4,460","4,279","4,208","4,169","4,152","3,859","3,804","3,780","3,699","3,596","3,571","3,470","2,340",All
,Justice Of The Supreme Court,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Christine Donohue,Kevin M Dougherty,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Kai Scott,Abbe Fletman,Mia Roberts Perez,Ken Powell,Chris Mallios,Lyris Younge,Tracy B Roman,Rainy Papademetriou,Michael Fanning,Stephanie M Sawyer,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,1
Christine Donohue,1,81,83,12,1,2,2,76,74,73,72,69,68,68,67,64,62,62,59,12,1
Kevin M Dougherty,,6,77,6,2,0,3,70,68,69,71,65,66,65,64,63,61,59,57,14,1
David Wecht,,,1,7,2,1,2,76,73,73,72,69,70,69,67,67,63,63,58,15,1
Judy Olson,,,,0,24,26,1,15,12,12,10,13,9,10,12,10,10,10,11,27,1
Mike George,,,,,0,26,1,8,6,6,6,9,6,6,7,8,7,9,9,26,1
Anne Covey,,,,,,0,1,9,8,7,4,9,5,6,6,6,6,7,6,23,1
Paul P Panepinto,,,,,,,1,4,4,4,3,4,4,4,3,4,4,4,3,3,1
Kai Scott,,,,,,,,0,82,80,80,78,78,78,74,74,70,71,67,18,1
Abbe Fletman,,,,,,,,,0,78,77,75,76,75,71,71,69,68,65,13,1
Mia Roberts Perez,,,,,,,,,,0,75,73,75,76,71,71,69,69,64,17,1
Ken Powell,,,,,,,,,,,0,70,73,73,69,69,66,67,63,14,1
Chris Mallios,,,,,,,,,,,,0,71,69,72,74,71,71,67,18,1
Lyris Younge,,,,,,,,,,,,,0,76,70,70,67,67,65,15,1
Tracy B Roman,,,,,,,,,,,,,,0,68,70,68,67,64,15,1
Rainy Papademetriou,,,,,,,,,,,,,,,0,71,68,68,66,15,1
Michael Fanning,,,,,,,,,,,,,,,,0,71,71,67,18,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,0,69,65,14,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,0,65,15,1
Scott Diclaudio,,,,,,,,,,,,,,,,,,,0,14,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,0,1
Total,95,95,91,39,31,29,7,89,85,85,83,81,79,79,77,76,73,72,69,44,1
,Justice Of The Supreme Court,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ken Powell,Tracy B Roman,Mia Roberts Perez,Abbe Fletman,Kai Scott,Lyris Younge,Stephanie M Sawyer,Chris Mallios,Michael Fanning,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,2
Kevin M Dougherty,7,58,55,5,2,1,9,64,62,60,56,57,56,54,48,48,47,45,41,11,2
Christine Donohue,,0,56,9,0,1,4,56,53,55,52,50,51,51,44,46,45,43,39,8,2
David Wecht,,,0,7,0,0,5,50,44,50,47,46,46,43,41,41,41,39,36,4,2
Judy Olson,,,,0,27,24,0,9,11,9,9,10,9,11,11,10,9,9,8,27,2
Anne Covey,,,,,0,24,1,3,5,4,4,5,5,4,5,5,4,4,4,25,2
Mike George,,,,,,1,2,2,5,2,3,3,3,5,5,4,3,3,4,25,2
