col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,1
,Ronald R Donatucci,Ross Feinberg,Blondell Reynolds Brown,Derek S Green,William K Greenlee,Allan Domb,Helen Gym,Daniel Tinney,Sheila E Armstrong,David Oh,Terry Tracy,Al Taubenberger,Andrew C Stober,Dennis M O Brien,John Staggs,Kristin Combs,1
Ronald R Donatucci,3,0,114,115,110,106,105,5,7,4,2,1,4,0,0,0,1
Ross Feinberg,,0,1,1,0,0,1,1,0,1,2,1,0,2,0,0,1
Blondell Reynolds Brown,,,6,106,107,100,101,5,5,4,2,2,1,2,0,0,1
Derek S Green,,,,0,108,104,102,5,4,3,4,3,3,2,0,0,1
William K Greenlee,,,,,1,107,102,4,6,3,1,1,2,0,0,0,1
Allan Domb,,,,,,0,100,3,6,2,1,1,2,0,1,1,1
Helen Gym,,,,,,,0,2,5,2,3,3,3,1,0,0,1
Daniel Tinney,,,,,,,,2,0,3,4,2,1,2,0,0,1
Sheila E Armstrong,,,,,,,,,0,0,0,0,3,0,1,1,1
David Oh,,,,,,,,,,1,3,3,1,3,0,0,1
Terry Tracy,,,,,,,,,,,1,4,1,3,0,0,1
Al Taubenberger,,,,,,,,,,,,0,0,3,0,0,1
Andrew C Stober,,,,,,,,,,,,,0,0,1,1,1
Dennis M O Brien,,,,,,,,,,,,,,0,0,0,1
John Staggs,,,,,,,,,,,,,,,0,1,1
Kristin Combs,,,,,,,,,,,,,,,,0,1
Total,133,2,128,121,117,113,109,11,9,8,8,6,5,4,1,1,1
,Council At Large,,,,,,,,,,,,,,Register Of Wills,,2
,Derek S Green,Blondell Reynolds Brown,William K Greenlee,Helen Gym,Allan Domb,Kristin Combs,Daniel Tinney,Al Taubenberger,David Oh,Sheila E Armstrong,Terry Tracy,Andrew C Stober,Dennis M O Brien,John Staggs,Ronald R Donatucci,Ross Feinberg,2
Derek S Green,1,78,79,73,55,20,3,2,4,4,2,2,1,1,75,3,2
Blondell Reynolds Brown,,5,76,71,53,19,2,1,4,3,1,0,1,1,72,1,2
William K Greenlee,,,0,71,54,20,2,2,3,2,1,0,1,0,69,2,2
Helen Gym,,,,0,53,18,0,1,2,3,2,4,0,1,66,3,2
Allan Domb,,,,,1,3,0,2,2,3,2,2,0,0,55,3,2
Kristin Combs,,,,,,1,0,1,0,0,0,0,0,2,13,3,2
Daniel Tinney,,,,,,,2,2,2,0,3,0,3,0,0,3,2
Al Taubenberger,,,,,,,,0,3,0,3,0,2,0,2,3,2
David Oh,,,,,,,,,0,0,2,0,2,0,4,2,2
Sheila E Armstrong,,,,,,,,,,0,1,2,0,0,5,1,2
Terry Tracy,,,,,,,,,,,0,2,2,0,1,5,2
Andrew C Stober,,,,,,,,,,,,0,0,0,1,2,2
Dennis M O Brien,,,,,,,,,,,,,0,0,0,2,2
John Staggs,,,,,,,,,,,,,,0,0,0,2
Ronald R Donatucci,,,,,,,,,,,,,,,2,0,2
Ross Feinberg,,,,,,,,,,,,,,,,0,2
Total,94,92,83,82,65,26,7,6,6,6,6,5,3,2,90,9,2
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,3
,Ronald R Donatucci,Ross Feinberg,Blondell Reynolds Brown,Helen Gym,Derek S Green,William K Greenlee,Allan Domb,Kristin Combs,David Oh,Sheila E Armstrong,Andrew C Stober,Daniel Tinney,Terry Tracy,Al Taubenberger,Dennis M O Brien,John Staggs,3
Ronald R Donatucci,1,0,74,77,75,69,69,10,3,2,1,0,0,0,0,0,3
Ross Feinberg,,1,1,1,0,0,0,1,2,0,0,1,0,0,0,0,3
Blondell Reynolds Brown,,,1,75,76,73,65,11,5,3,2,0,1,0,0,0,3
Helen Gym,,,,1,71,69,64,15,4,3,3,0,0,0,0,0,3
Derek S Green,,,,,2,71,63,8,3,1,1,0,1,0,0,0,3
William K Greenlee,,,,,,0,63,9,3,4,1,0,1,0,0,0,3
Allan Domb,,,,,,,0,3,3,3,1,0,0,0,0,0,3
Kristin Combs,,,,,,,,0,2,2,2,0,0,0,0,0,3
David Oh,,,,,,,,,0,0,0,0,0,0,0,0,3
Sheila E Armstrong,,,,,,,,,,2,2,0,0,0,0,0,3
