col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 2nd District,Council At Large,,,,,,,,,,,,,,All
,Kenyatta Johnson,Allan Domb,Helen Gym,Derek S Green,Blondell Reynolds Brown,William K Greenlee,David Oh,Al Taubenberger,Terry Tracy,Andrew C Stober,Daniel Tinney,Dennis M O Brien,Kristin Combs,Sheila E Armstrong,John Staggs,All
Kenyatta Johnson,944,"13,213","13,105","13,381","13,513","12,605","1,638","1,238","1,099","1,672",994,"1,082",862,434,228,All
Allan Domb,,347,"12,314","12,188","11,652","11,818","1,035",978,841,"1,233",583,628,332,193,64,All
Helen Gym,,,137,"12,270","11,831","11,821",858,454,830,"1,795",353,416,873,352,196,All
Derek S Green,,,,116,"12,080","11,991",669,593,631,"1,150",332,384,483,172,98,All
Blondell Reynolds Brown,,,,,109,"11,999",759,558,341,829,255,310,457,179,81,All
William K Greenlee,,,,,,83,698,644,321,730,316,429,382,138,79,All
David Oh,,,,,,,119,"1,503","1,462",247,"1,447","1,622",143,120,36,All
Al Taubenberger,,,,,,,,85,"1,525",223,"1,543","1,524",78,75,20,All
Terry Tracy,,,,,,,,,73,650,"1,531","1,424",131,89,22,All
Andrew C Stober,,,,,,,,,,70,99,158,735,346,209,All
Daniel Tinney,,,,,,,,,,,181,"1,528",51,47,15,All
Dennis M O Brien,,,,,,,,,,,,58,77,63,15,All
Kristin Combs,,,,,,,,,,,,,12,402,230,All
Sheila E Armstrong,,,,,,,,,,,,,,12,169,All
John Staggs,,,,,,,,,,,,,,,3,All
Total,"19,144","15,199","14,879","14,660","14,557","13,727","3,198","2,849","2,813","2,584","2,575","2,472","1,228",657,341,All
