col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,All
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Anthony Clark,Lisa M Deeley,Al Schmidt,All
Kevin M Dougherty,162,"2,385","2,396",17,8,7,12,"2,594","2,300",40,All
David Wecht,,57,"2,354",15,6,5,6,"2,303","2,174",33,All
Christine Donohue,,,26,17,6,3,5,"2,275","2,182",31,All
Judy Olson,,,,2,29,32,3,23,25,34,All
Mike George,,,,,4,28,1,14,8,29,All
Anne Covey,,,,,,0,2,9,10,28,All
Paul P Panepinto,,,,,,,4,11,11,4,All
Anthony Clark,,,,,,,,25,"2,229",20,All
Lisa M Deeley,,,,,,,,,8,24,All
Al Schmidt,,,,,,,,,,1,All
Total,"3,045","2,597","2,559",67,48,40,20,"2,806","2,427",80,All
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,1
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Anthony Clark,Lisa M Deeley,Al Schmidt,1
Kevin M Dougherty,11,63,64,0,0,0,0,81,68,0,1
David Wecht,,1,61,1,0,0,0,59,58,0,1
Christine Donohue,,,0,1,0,0,0,59,56,0,1
Judy Olson,,,,0,2,2,0,2,2,0,1
Anne Covey,,,,,0,2,0,1,1,0,1
Mike George,,,,,,0,0,1,1,0,1
Paul P Panepinto,,,,,,,0,0,0,0,1
Anthony Clark,,,,,,,,1,62,0,1
Lisa M Deeley,,,,,,,,,0,0,1
Al Schmidt,,,,,,,,,,0,1
Total,106,69,67,3,2,2,0,88,71,0,1
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,2
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Anthony Clark,Lisa M Deeley,Al Schmidt,2
Kevin M Dougherty,6,80,79,1,1,1,0,96,76,2,2
David Wecht,,4,77,0,0,1,0,79,70,1,2
Christine Donohue,,,2,0,1,0,0,76,71,0,2
Anne Covey,,,,0,0,0,0,0,1,0,2
Judy Olson,,,,,0,0,0,1,1,0,2
Mike George,,,,,,0,0,1,0,1,2
Paul P Panepinto,,,,,,,0,0,0,0,2
Anthony Clark,,,,,,,,0,75,1,2
Lisa M Deeley,,,,,,,,,0,0,2
Al Schmidt,,,,,,,,,,0,2
Total,111,89,85,1,1,1,0,105,81,2,2
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,3
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Anthony Clark,Lisa M Deeley,Al Schmidt,3
Kevin M Dougherty,4,110,112,1,1,0,1,125,106,4,3
Christine Donohue,,0,110,1,0,0,0,103,98,4,3
David Wecht,,,3,0,0,0,1,104,96,3,3
Judy Olson,,,,0,3,3,0,2,0,3,3
Anne Covey,,,,,0,2,0,1,0,3,3
Mike George,,,,,,0,0,0,0,2,3
Paul P Panepinto,,,,,,,0,1,1,0,3
Anthony Clark,,,,,,,,2,100,1,3
Lisa M Deeley,,,,,,,,,0,1,3
Al Schmidt,,,,,,,,,,0,3
Total,144,121,119,6,3,3,1,134,110,8,3
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,4
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Anthony Clark,Lisa M Deeley,Al Schmidt,4
Kevin M Dougherty,9,147,148,0,0,0,1,153,144,1,4
David Wecht,,4,143,0,0,0,0,138,135,1,4
Christine Donohue,,,2,0,0,0,1,140,135,0,4
Anne Covey,,,,0,1,1,0,0,0,1,4
Judy Olson,,,,,0,1,0,0,0,1,4
Mike George,,,,,,0,0,0,0,1,4
Paul P Panepinto,,,,,,,0,1,1,0,4
Anthony Clark,,,,,,,,1,139,0,4
Lisa M Deeley,,,,,,,,,0,1,4
Al Schmidt,,,,,,,,,,0,4
Total,176,154,153,1,1,1,1,160,147,2,4
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,5
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Anthony Clark,Lisa M Deeley,Al Schmidt,5
Kevin M Dougherty,3,81,79,1,0,0,0,91,81,0,5
Christine Donohue,,2,79,1,0,1,0,80,77,0,5
David Wecht,,,2,0,0,1,0,79,75,0,5
Anne Covey,,,,0,2,2,0,1,1,1,5
Judy Olson,,,,,0,2,0,0,1,1,5
Mike George,,,,,,0,0,1,1,1,5
Paul P Panepinto,,,,,,,0,0,0,0,5
Anthony Clark,,,,,,,,2,79,0,5
Lisa M Deeley,,,,,,,,,1,1,5
Al Schmidt,,,,,,,,,,0,5
Total,102,89,85,3,3,3,0,98,89,2,5
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,6
,Kevin M Dougherty,Christine Donohue,David Wecht,Paul P Panepinto,Judy Olson,Anne Covey,Mike George,Anthony Clark,Lisa M Deeley,Al Schmidt,6
Kevin M Dougherty,9,97,94,2,1,0,0,97,95,3,6
Christine Donohue,,2,94,1,0,0,0,86,88,3,6
David Wecht,,,1,1,1,0,0,91,89,3,6
Paul P Panepinto,,,,0,2,0,0,3,3,0,6
Judy Olson,,,,,0,0,0,2,2,0,6
Anne Covey,,,,,,0,0,0,0,0,6
Mike George,,,,,,,0,0,0,0,6
Anthony Clark,,,,,,,,2,88,0,6
Lisa M Deeley,,,,,,,,,0,3,6
Al Schmidt,,,,,,,,,,0,6
Total,124,105,105,3,2,0,0,109,102,3,6
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,7
,Kevin M Dougherty,David Wecht,Christine Donohue,Mike George,Judy Olson,Paul P Panepinto,Anne Covey,Anthony Clark,Lisa M Deeley,Al Schmidt,7
Kevin M Dougherty,7,101,103,1,2,0,0,103,89,0,7
David Wecht,,1,101,1,1,0,0,97,93,0,7
Christine Donohue,,,0,1,1,1,0,98,90,1,7
Mike George,,,,1,0,1,1,1,1,2,7
Judy Olson,,,,,0,0,0,1,2,0,7
Paul P Panepinto,,,,,,1,0,1,0,1,7
Anne Covey,,,,,,,0,0,0,1,7
Anthony Clark,,,,,,,,0,90,1,7
Lisa M Deeley,,,,,,,,,1,0,7
Al Schmidt,,,,,,,,,,0,7
Total,122,111,109,4,2,2,1,111,98,2,7
,Justice Of The Supreme Court,,,,,,,City Commissioners,,,8
