col_1,col_2,col_3,col_4,division
,Judge Of The Superior Court,,District Council 3rd District,1
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,1
Alice Beck Dubow,56,0,0,1
Emil Giordano,,6,0,1
Jannie L Blackwell,,,0,1
Total,56,6,0,1
,Judge Of The Superior Court,,District Council 3rd District,2
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,2
Alice Beck Dubow,94,0,0,2
Emil Giordano,,0,0,2
Jannie L Blackwell,,,0,2
Total,94,0,0,2
,Judge Of The Superior Court,,District Council 3rd District,3
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,3
Alice Beck Dubow,152,0,0,3
Emil Giordano,,2,0,3
Jannie L Blackwell,,,0,3
Total,152,2,0,3
,District Council 3rd District,Judge Of The Superior Court,,4
,Jannie L Blackwell,Alice Beck Dubow,Emil Giordano,4
Jannie L Blackwell,10,114,2,4
Alice Beck Dubow,,3,0,4
Emil Giordano,,,0,4
Total,126,117,2,4
,Judge Of The Superior Court,,District Council 3rd District,5
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,5
Alice Beck Dubow,142,0,0,5
Emil Giordano,,3,0,5
Jannie L Blackwell,,,0,5
Total,142,3,0,5
,Judge Of The Superior Court,,District Council 3rd District,6
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,6
Alice Beck Dubow,58,0,0,6
Emil Giordano,,4,0,6
Jannie L Blackwell,,,0,6
Total,58,4,0,6
,Judge Of The Superior Court,,District Council 3rd District,7
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,7
Alice Beck Dubow,107,0,0,7
Emil Giordano,,2,0,7
Jannie L Blackwell,,,0,7
Total,107,2,0,7
,Judge Of The Superior Court,,District Council 3rd District,8
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,8
Alice Beck Dubow,74,0,0,8
Emil Giordano,,1,0,8
Jannie L Blackwell,,,0,8
Total,74,1,0,8
,Judge Of The Superior Court,,District Council 3rd District,9
,Alice Beck Dubow,Emil Giordano,Jannie L Blackwell,9
Alice Beck Dubow,95,0,0,9
Emil Giordano,,2,0,9
