col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Ken Powell,Mia Roberts Perez,Tracy B Roman,Kai Scott,Abbe Fletman,Lyris Younge,Stephanie M Sawyer,Michael Fanning,Daine Grey Jr,Rainy Papademetriou,Chris Mallios,Scott Diclaudio,Vincent Furlong,All
Maria Quinones Sanchez,12,261,250,249,241,235,226,216,214,204,202,194,193,18,All
Ken Powell,,7,240,241,236,234,232,209,209,206,202,199,192,16,All
Mia Roberts Perez,,,9,245,231,232,232,210,205,207,203,199,189,15,All
Tracy B Roman,,,,5,232,232,230,212,209,201,203,194,192,18,All
Kai Scott,,,,,1,232,228,207,206,203,200,195,188,14,All
Abbe Fletman,,,,,,3,230,210,210,206,203,198,193,19,All
Lyris Younge,,,,,,,2,200,200,201,197,195,188,16,All
Stephanie M Sawyer,,,,,,,,1,213,208,207,199,194,17,All
Michael Fanning,,,,,,,,,1,206,206,198,199,18,All
Daine Grey Jr,,,,,,,,,,1,205,202,191,16,All
Rainy Papademetriou,,,,,,,,,,,0,196,190,15,All
Chris Mallios,,,,,,,,,,,,0,187,16,All
Scott Diclaudio,,,,,,,,,,,,,0,11,All
Vincent Furlong,,,,,,,,,,,,,,17,All
Total,328,282,277,272,252,251,240,230,227,214,211,204,200,42,All
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Maria Quinones Sanchez,Ken Powell,Stephanie M Sawyer,Mia Roberts Perez,Tracy B Roman,Abbe Fletman,Daine Grey Jr,Kai Scott,Lyris Younge,Michael Fanning,Rainy Papademetriou,Scott Diclaudio,Chris Mallios,Vincent Furlong,1
Maria Quinones Sanchez,4,31,29,29,28,29,28,28,28,26,26,26,23,1,1
Ken Powell,,0,27,30,28,28,27,27,28,26,25,25,23,1,1
Stephanie M Sawyer,,,1,27,28,27,29,26,26,27,28,27,24,2,1
Mia Roberts Perez,,,,1,29,28,27,27,29,25,26,25,23,1,1
Tracy B Roman,,,,,0,28,26,27,29,26,27,26,22,2,1
Abbe Fletman,,,,,,0,27,28,28,25,26,25,22,1,1
Daine Grey Jr,,,,,,,0,26,26,26,27,26,24,1,1
Kai Scott,,,,,,,,1,27,24,25,24,21,0,1
Lyris Younge,,,,,,,,,0,25,26,25,22,1,1
Michael Fanning,,,,,,,,,,0,27,27,23,2,1
Rainy Papademetriou,,,,,,,,,,,0,27,23,2,1
Scott Diclaudio,,,,,,,,,,,,0,23,2,1
Chris Mallios,,,,,,,,,,,,,0,1,1
Vincent Furlong,,,,,,,,,,,,,,0,1
Total,38,33,33,32,31,29,29,29,29,28,28,28,24,2,1
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Maria Quinones Sanchez,Tracy B Roman,Mia Roberts Perez,Ken Powell,Kai Scott,Lyris Younge,Abbe Fletman,Michael Fanning,Stephanie M Sawyer,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,2
Maria Quinones Sanchez,1,59,57,57,57,55,55,51,50,48,48,48,47,5,2
Tracy B Roman,,1,57,56,55,56,54,51,52,50,50,50,48,5,2
Mia Roberts Perez,,,1,56,54,57,55,50,50,51,51,51,49,4,2
Ken Powell,,,,1,56,56,56,53,52,51,51,51,49,4,2
Kai Scott,,,,,0,56,55,52,51,49,49,49,48,4,2
Lyris Younge,,,,,,0,57,51,51,51,51,51,49,6,2
Abbe Fletman,,,,,,,0,51,50,50,50,50,48,6,2
Michael Fanning,,,,,,,,0,51,50,50,50,49,4,2
Stephanie M Sawyer,,,,,,,,,0,50,50,50,48,4,2
Chris Mallios,,,,,,,,,,0,51,51,49,4,2
Daine Grey Jr,,,,,,,,,,,0,51,49,4,2
Rainy Papademetriou,,,,,,,,,,,,0,49,4,2
Scott Diclaudio,,,,,,,,,,,,,0,2,2
Vincent Furlong,,,,,,,,,,,,,,2,2
Total,73,65,63,62,60,60,59,54,53,51,51,51,49,10,2
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,3
,Maria Quinones Sanchez,Mia Roberts Perez,Ken Powell,Tracy B Roman,Lyris Younge,Abbe Fletman,Kai Scott,Stephanie M Sawyer,Michael Fanning,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Chris Mallios,Vincent Furlong,3
Maria Quinones Sanchez,2,46,45,43,40,39,41,37,35,35,35,33,33,0,3
Mia Roberts Perez,,0,42,46,41,40,41,37,34,35,35,32,33,0,3
Ken Powell,,,1,42,42,40,41,35,35,35,35,33,33,0,3
Tracy B Roman,,,,1,41,41,41,37,35,35,35,32,33,0,3
Lyris Younge,,,,,1,40,39,34,34,34,34,33,33,0,3
Abbe Fletman,,,,,,1,39,34,34,34,34,32,33,0,3
Kai Scott,,,,,,,0,35,34,34,34,32,32,0,3
Stephanie M Sawyer,,,,,,,,0,34,35,35,32,33,0,3
Michael Fanning,,,,,,,,,0,34,34,34,32,0,3
Daine Grey Jr,,,,,,,,,,1,35,32,33,0,3
Rainy Papademetriou,,,,,,,,,,,0,32,33,0,3
Scott Diclaudio,,,,,,,,,,,,0,32,0,3
Chris Mallios,,,,,,,,,,,,,0,0,3
Vincent Furlong,,,,,,,,,,,,,,2,3
Total,54,49,48,48,43,42,42,38,37,36,35,34,33,2,3
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,4
,Maria Quinones Sanchez,Mia Roberts Perez,Ken Powell,Tracy B Roman,Abbe Fletman,Kai Scott,Lyris Younge,Michael Fanning,Stephanie M Sawyer,Daine Grey Jr,Chris Mallios,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,4
Maria Quinones Sanchez,2,44,42,41,40,38,35,33,31,29,27,27,28,3,4
Mia Roberts Perez,,3,39,38,37,38,37,30,30,30,29,27,25,3,4
Ken Powell,,,2,39,38,40,37,30,30,29,29,27,25,3,4
Tracy B Roman,,,,2,37,36,35,30,29,27,27,28,26,3,4
Abbe Fletman,,,,,0,38,36,33,33,29,28,29,27,3,4
Kai Scott,,,,,,0,37,30,30,29,29,27,25,3,4
Lyris Younge,,,,,,,0,28,28,28,28,26,23,2,4
Michael Fanning,,,,,,,,0,33,29,28,29,28,3,4
Stephanie M Sawyer,,,,,,,,,0,29,28,29,27,3,4
Daine Grey Jr,,,,,,,,,,0,28,27,24,3,4
Chris Mallios,,,,,,,,,,,0,26,24,3,4
Rainy Papademetriou,,,,,,,,,,,,0,24,2,4
Scott Diclaudio,,,,,,,,,,,,,0,2,4
Vincent Furlong,,,,,,,,,,,,,,3,4
Total,57,50,47,45,42,41,37,35,34,30,29,29,28,6,4
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,5
,Maria Quinones Sanchez,Ken Powell,Mia Roberts Perez,Abbe Fletman,Kai Scott,Michael Fanning,Stephanie M Sawyer,Tracy B Roman,Rainy Papademetriou,Chris Mallios,Daine Grey Jr,Lyris Younge,Scott Diclaudio,Vincent Furlong,5
Maria Quinones Sanchez,1,37,32,33,33,31,32,32,31,29,29,29,27,5,5
Ken Powell,,1,31,31,30,29,29,32,30,29,29,30,27,5,5
Mia Roberts Perez,,,2,32,31,30,31,32,30,30,30,30,26,4,5
Abbe Fletman,,,,1,32,32,31,32,30,31,31,30,28,5,5
Kai Scott,,,,,0,30,29,30,30,30,30,29,26,3,5
Michael Fanning,,,,,,1,31,30,30,31,31,28,28,5,5
Stephanie M Sawyer,,,,,,,0,30,30,30,30,27,27,4,5
Tracy B Roman,,,,,,,,0,29,29,29,30,28,5,5
Rainy Papademetriou,,,,,,,,,0,30,30,27,26,4,5
Chris Mallios,,,,,,,,,,0,31,28,27,4,5
Daine Grey Jr,,,,,,,,,,,0,28,27,4,5
Lyris Younge,,,,,,,,,,,,1,26,4,5
Scott Diclaudio,,,,,,,,,,,,,0,3,5
Vincent Furlong,,,,,,,,,,,,,,5,5
Total,46,39,37,36,34,34,34,34,32,31,31,31,28,11,5
,District Council 7th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,6
,Maria Quinones Sanchez,Ken Powell,Tracy B Roman,Kai Scott,Mia Roberts Perez,Abbe Fletman,Lyris Younge,Michael Fanning,Stephanie M Sawyer,Daine Grey Jr,Chris Mallios,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,6
Maria Quinones Sanchez,2,49,46,44,42,39,39,38,37,35,34,35,32,4,6
Ken Powell,,2,44,42,42,41,39,36,36,35,34,34,33,3,6
Tracy B Roman,,,1,43,43,40,39,37,36,34,33,34,32,3,6
Kai Scott,,,,0,40,40,40,36,36,35,34,35,33,4,6
Mia Roberts Perez,,,,,2,40,38,36,35,34,33,34,32,3,6
Abbe Fletman,,,,,,1,39,35,35,35,34,34,33,4,6
Lyris Younge,,,,,,,0,34,34,34,33,33,32,3,6
Michael Fanning,,,,,,,,0,37,36,34,36,33,4,6
Stephanie M Sawyer,,,,,,,,,0,35,34,35,33,4,6
Daine Grey Jr,,,,,,,,,,0,35,35,33,4,6
Chris Mallios,,,,,,,,,,,0,33,32,4,6
Rainy Papademetriou,,,,,,,,,,,,0,32,3,6
Scott Diclaudio,,,,,,,,,,,,,0,2,6
Vincent Furlong,,,,,,,,,,,,,,5,6
Total,60,53,49,46,46,43,40,39,38,37,36,36,33,11,6
