col_1,col_2,col_3,col_4,division
,District Council 5th District,Sheriff,,1
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,1
Darrell L Clarke,2,55,1,1
Jewell Williams,,2,0,1
Christopher Sawyer,,,2,1
Total,58,57,3,1
,Sheriff,,District Council 5th District,2
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,2
Jewell Williams,6,0,86,2
Christopher Sawyer,,0,0,2
Darrell L Clarke,,,5,2
Total,92,0,91,2
,District Council 5th District,Sheriff,,3
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,3
Darrell L Clarke,8,91,1,3
Jewell Williams,,7,0,3
Christopher Sawyer,,,1,3
Total,100,98,2,3
,District Council 5th District,Sheriff,,4
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,4
Darrell L Clarke,8,100,0,4
Jewell Williams,,6,0,4
Christopher Sawyer,,,0,4
Total,108,106,0,4
,District Council 5th District,Sheriff,,5
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,5
Darrell L Clarke,9,115,2,5
Jewell Williams,,2,0,5
Christopher Sawyer,,,0,5
Total,126,117,2,5
,Sheriff,,District Council 5th District,6
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,6
Jewell Williams,4,0,81,6
Christopher Sawyer,,1,0,6
Darrell L Clarke,,,2,6
Total,85,1,83,6
,District Council 5th District,Sheriff,,7
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,7
Darrell L Clarke,6,51,0,7
Jewell Williams,,4,0,7
Christopher Sawyer,,,0,7
Total,57,55,0,7
,District Council 5th District,Sheriff,,8
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,8
Darrell L Clarke,15,159,4,8
Jewell Williams,,8,0,8
Christopher Sawyer,,,1,8
Total,178,167,5,8
,Sheriff,,District Council 5th District,9
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,9
Jewell Williams,119,0,0,9
Christopher Sawyer,,2,0,9
Darrell L Clarke,,,0,9
Total,119,2,0,9
,District Council 5th District,Sheriff,,10
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,10
Darrell L Clarke,4,94,0,10
Jewell Williams,,2,0,10
Christopher Sawyer,,,2,10
Total,98,96,2,10
,District Council 5th District,Sheriff,,11
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,11
Darrell L Clarke,10,53,0,11
Jewell Williams,,3,0,11
Christopher Sawyer,,,1,11
Total,63,56,1,11
,District Council 5th District,Sheriff,,12
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,12
Darrell L Clarke,8,72,0,12
Jewell Williams,,6,0,12
Christopher Sawyer,,,0,12
Total,80,78,0,12
,District Council 5th District,Sheriff,,13
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,13
Darrell L Clarke,5,104,2,13
Jewell Williams,,5,0,13
Christopher Sawyer,,,1,13
Total,111,109,3,13
,District Council 5th District,Sheriff,,14
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,14
Darrell L Clarke,9,73,0,14
Jewell Williams,,2,0,14
Christopher Sawyer,,,1,14
Total,82,75,1,14
,District Council 5th District,Sheriff,,15
,Darrell L Clarke,Jewell Williams,Christopher Sawyer,15
Darrell L Clarke,8,71,1,15
Jewell Williams,,4,0,15
Christopher Sawyer,,,0,15
Total,80,75,1,15
,Sheriff,,District Council 5th District,16
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,16
Jewell Williams,90,0,0,16
Christopher Sawyer,,3,0,16
Darrell L Clarke,,,0,16
Total,90,3,0,16
,Sheriff,,District Council 5th District,17
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,17
Jewell Williams,72,0,0,17
Christopher Sawyer,,0,0,17
Darrell L Clarke,,,0,17
Total,72,0,0,17
,Sheriff,,District Council 5th District,18
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,18
Jewell Williams,91,0,0,18
Christopher Sawyer,,3,0,18
Darrell L Clarke,,,0,18
Total,91,3,0,18
,Sheriff,,District Council 5th District,All
,Jewell Williams,Christopher Sawyer,Darrell L Clarke,All
Jewell Williams,433,0,"1,205",All
Christopher Sawyer,,18,11,All
Darrell L Clarke,,,99,All
Total,"1,638",29,"1,315",All
