col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Mayor,,,,,Sheriff,,1
,Jim Kenney,Melissa Murray Bailey,Osborne Hart,Boris Kindij,James Foster,Jewell Williams,Christopher Sawyer,1
Jim Kenney,4,0,0,0,0,59,2,1
Melissa Murray Bailey,,1,0,0,0,0,0,1
Osborne Hart,,,1,0,0,0,0,1
Boris Kindij,,,,0,0,0,0,1
James Foster,,,,,0,0,0,1
Jewell Williams,,,,,,4,0,1
Christopher Sawyer,,,,,,,0,1
Total,65,1,1,0,0,63,2,1
,Mayor,,,,,Sheriff,,2
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Jewell Williams,Christopher Sawyer,2
Jim Kenney,17,0,0,0,0,106,7,2
Melissa Murray Bailey,,0,0,0,0,2,4,2
James Foster,,,1,0,0,1,0,2
Boris Kindij,,,,0,0,0,0,2
Osborne Hart,,,,,0,0,0,2
Jewell Williams,,,,,,5,0,2
Christopher Sawyer,,,,,,,0,2
Total,130,6,2,0,0,114,11,2
,Mayor,,,,,Sheriff,,3
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Jewell Williams,Christopher Sawyer,3
Jim Kenney,10,0,0,0,0,52,0,3
Melissa Murray Bailey,,1,0,0,0,2,5,3
James Foster,,,1,0,0,0,0,3
Boris Kindij,,,,0,0,0,0,3
Osborne Hart,,,,,0,0,0,3
Jewell Williams,,,,,,4,0,3
Christopher Sawyer,,,,,,,0,3
Total,62,8,1,0,0,58,5,3
,Mayor,,,,,Sheriff,,4
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Jewell Williams,Christopher Sawyer,4
Jim Kenney,14,0,0,0,0,53,0,4
Melissa Murray Bailey,,0,0,0,0,0,3,4
Boris Kindij,,,0,0,0,0,0,4
James Foster,,,,0,0,0,0,4
Osborne Hart,,,,,0,0,0,4
Jewell Williams,,,,,,2,0,4
Christopher Sawyer,,,,,,,0,4
Total,67,3,0,0,0,55,3,4
,Mayor,,,,,Sheriff,,5
,Jim Kenney,Melissa Murray Bailey,Osborne Hart,Boris Kindij,James Foster,Jewell Williams,Christopher Sawyer,5
Jim Kenney,13,0,0,0,0,49,1,5
Melissa Murray Bailey,,0,0,0,0,2,1,5
Osborne Hart,,,1,0,0,0,0,5
Boris Kindij,,,,0,0,0,0,5
James Foster,,,,,0,0,0,5
Jewell Williams,,,,,,0,0,5
Christopher Sawyer,,,,,,,0,5
Total,63,3,1,0,0,51,2,5
,Mayor,,,,,Sheriff,,6
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Jewell Williams,Christopher Sawyer,6
Jim Kenney,13,0,0,0,0,37,2,6
Melissa Murray Bailey,,0,0,0,0,0,1,6
Boris Kindij,,,0,0,0,0,0,6
James Foster,,,,0,0,0,0,6
Osborne Hart,,,,,0,0,0,6
Jewell Williams,,,,,,4,0,6
Christopher Sawyer,,,,,,,1,6
Total,52,1,0,0,0,41,4,6
,Mayor,,,,,Sheriff,,7
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Jewell Williams,Christopher Sawyer,7
Jim Kenney,16,0,0,0,0,59,0,7
Melissa Murray Bailey,,0,0,0,0,1,3,7
James Foster,,,1,0,0,0,0,7
Boris Kindij,,,,0,0,0,0,7
Osborne Hart,,,,,0,0,0,7
Jewell Williams,,,,,,2,0,7
Christopher Sawyer,,,,,,,0,7
Total,75,4,1,0,0,62,3,7
,Mayor,,,,,Sheriff,,8
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Jewell Williams,Christopher Sawyer,8
Jim Kenney,7,0,0,0,0,44,0,8
Melissa Murray Bailey,,2,0,0,0,2,2,8
Boris Kindij,,,0,0,0,0,0,8
James Foster,,,,0,0,0,0,8
Osborne Hart,,,,,0,0,0,8
Jewell Williams,,,,,,2,0,8
Christopher Sawyer,,,,,,,0,8
Total,51,6,0,0,0,48,2,8
,Sheriff,,Mayor,,,,,9
,Jewell Williams,Christopher Sawyer,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,9
Jewell Williams,2,0,64,2,1,0,0,9
Christopher Sawyer,,0,0,1,0,0,0,9
Jim Kenney,,,5,0,0,0,0,9
Melissa Murray Bailey,,,,0,0,0,0,9
James Foster,,,,,0,0,0,9
Boris Kindij,,,,,,0,0,9
Osborne Hart,,,,,,,0,9
Total,69,1,69,3,1,0,0,9
,Sheriff,,Mayor,,,,,10
,Jewell Williams,Christopher Sawyer,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,10
Jewell Williams,5,0,50,3,1,0,0,10
Christopher Sawyer,,0,1,1,0,0,0,10
Jim Kenney,,,5,0,0,0,0,10
Melissa Murray Bailey,,,,0,0,0,0,10
James Foster,,,,,0,0,0,10
Boris Kindij,,,,,,0,0,10
Osborne Hart,,,,,,,0,10
Total,59,2,56,4,1,0,0,10
,Mayor,,,,,Sheriff,,11
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Jewell Williams,Christopher Sawyer,11
Jim Kenney,7,0,0,0,0,35,0,11
Melissa Murray Bailey,,0,0,0,0,2,2,11
Boris Kindij,,,0,0,0,0,0,11
James Foster,,,,0,0,0,0,11
Osborne Hart,,,,,0,0,0,11
Jewell Williams,,,,,,0,0,11
Christopher Sawyer,,,,,,,0,11
Total,42,4,0,0,0,37,2,11
,Mayor,,,,,Sheriff,,12
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Jewell Williams,Christopher Sawyer,12
Jim Kenney,13,0,0,0,0,46,0,12
Melissa Murray Bailey,,1,0,0,0,0,1,12
Boris Kindij,,,0,0,0,0,0,12
James Foster,,,,0,0,0,0,12
Osborne Hart,,,,,0,0,0,12
Jewell Williams,,,,,,3,0,12
Christopher Sawyer,,,,,,,1,12
Total,59,2,0,0,0,49,2,12
,Mayor,,,,,Sheriff,,13
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Jewell Williams,Christopher Sawyer,13
Jim Kenney,13,0,0,0,0,50,0,13
Melissa Murray Bailey,,0,0,0,0,1,0,13
Boris Kindij,,,0,0,0,0,0,13
James Foster,,,,0,0,0,0,13
Osborne Hart,,,,,0,0,0,13
Jewell Williams,,,,,,3,0,13
Christopher Sawyer,,,,,,,0,13
Total,63,1,0,0,0,54,0,13
,Mayor,,,,,Sheriff,,14
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Jewell Williams,Christopher Sawyer,14
Jim Kenney,18,0,0,0,0,58,0,14
Melissa Murray Bailey,,0,0,0,0,1,2,14
James Foster,,,0,0,0,2,0,14
Boris Kindij,,,,0,0,0,0,14
Osborne Hart,,,,,0,0,0,14
Jewell Williams,,,,,,2,0,14
Christopher Sawyer,,,,,,,0,14
Total,76,3,2,0,0,63,2,14
,Mayor,,,,,Sheriff,,15
