col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor,,,,,City Commissioners,,,All
,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,Anthony Clark,Lisa M Deeley,Al Schmidt,All
Jim Kenney,"32,961",0,0,0,0,"142,441","139,332","13,167",All
Melissa Murray Bailey,,"4,584",0,0,0,"4,521","7,446","22,061",All
James Foster,,,351,0,0,665,849,599,All
Osborne Hart,,,,261,0,679,819,187,All
Boris Kindij,,,,,63,128,174,102,All
Anthony Clark,,,,,,"3,393","122,769","4,402",All
Lisa M Deeley,,,,,,,"1,741","10,492",All
Al Schmidt,,,,,,,,822,All
Total,"201,248","31,133","1,678","1,213",320,"153,487","152,130","37,239",All
