col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,All
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,All
Michael Wojcik,322,0,"1,830","1,742","1,717",All
Paul Lalley,,33,289,54,58,All
Christine Hope,,,93,"1,616","1,689",All
Joffie C Pittman,,,,34,"1,639",All
Sharon Williams Losier,,,,,22,All
Total,"2,457",336,"2,273","1,869","1,859",All
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,1
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,1
Michael Wojcik,10,0,73,80,73,1
Paul Lalley,,2,8,2,3,1
Christine Hope,,,6,66,65,1
Joffie C Pittman,,,,1,70,1
Sharon Williams Losier,,,,,2,1
Total,105,12,88,84,79,1
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,2
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,2
Michael Wojcik,20,0,107,107,107,2
Paul Lalley,,0,15,4,4,2
Christine Hope,,,4,102,103,2
Joffie C Pittman,,,,4,105,2
Sharon Williams Losier,,,,,1,2
Total,144,15,128,117,115,2
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,3
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,3
Michael Wojcik,29,0,114,109,109,3
Paul Lalley,,2,22,3,3,3
Christine Hope,,,5,96,106,3
Joffie C Pittman,,,,3,96,3
Sharon Williams Losier,,,,,1,3
Total,170,24,145,118,117,3
,Judge Of The Municipal Court,,,Judge Of The Commonwealth Court,,4
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Michael Wojcik,Paul Lalley,4
Christine Hope,2,95,100,106,37,4
Joffie C Pittman,,2,94,103,6,4
Sharon Williams Losier,,,1,96,6,4
Michael Wojcik,,,,10,0,4
Paul Lalley,,,,,4,4
Total,146,112,104,131,43,4
,Judge Of The Municipal Court,,,Judge Of The Commonwealth Court,,5
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Michael Wojcik,Paul Lalley,5
Christine Hope,2,52,52,53,9,5
Joffie C Pittman,,2,53,54,0,5
Sharon Williams Losier,,,0,53,0,5
Michael Wojcik,,,,2,0,5
Paul Lalley,,,,,1,5
Total,66,58,55,61,10,5
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,6
,Michael Wojcik,Paul Lalley,Christine Hope,Sharon Williams Losier,Joffie C Pittman,6
Michael Wojcik,8,0,59,56,56,6
Paul Lalley,,0,5,1,1,6
Christine Hope,,,2,57,55,6
Sharon Williams Losier,,,,2,56,6
Joffie C Pittman,,,,,0,6
Total,72,5,68,61,59,6
,Judge Of The Municipal Court,,,Judge Of The Commonwealth Court,,7
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Michael Wojcik,Paul Lalley,7
Christine Hope,6,40,38,42,9,7
Sharon Williams Losier,,1,39,40,2,7
Joffie C Pittman,,,1,36,2,7
Michael Wojcik,,,,6,0,7
Paul Lalley,,,,,0,7
Total,59,45,41,53,9,7
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,8
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,8
Michael Wojcik,11,0,55,54,51,8
Paul Lalley,,0,11,1,1,8
Christine Hope,,,2,49,51,8
Joffie C Pittman,,,,1,50,8
Sharon Williams Losier,,,,,0,8
Total,72,12,70,56,54,8
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,9
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,9
Michael Wojcik,14,0,74,74,71,9
Paul Lalley,,0,12,1,1,9
Christine Hope,,,4,67,71,9
Joffie C Pittman,,,,1,68,9
Sharon Williams Losier,,,,,1,9
Total,99,14,93,78,76,9
,Judge Of The Commonwealth Court,,Judge Of The Municipal Court,,,10
,Michael Wojcik,Paul Lalley,Christine Hope,Joffie C Pittman,Sharon Williams Losier,10
Michael Wojcik,9,0,90,92,89,10
Paul Lalley,,0,9,3,4,10
