col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,District Council 9th District,,,1
,Ken Powell,Tracy B Roman,Abbe Fletman,Kai Scott,Lyris Younge,Mia Roberts Perez,Stephanie M Sawyer,Daine Grey Jr,Michael Fanning,Scott Diclaudio,Rainy Papademetriou,Chris Mallios,Vincent Furlong,Cherelle Parker,Kevin Strickland,Bobbie T Curry,1
Ken Powell,1,65,63,63,62,58,55,53,54,53,50,52,14,56,22,0,1
Tracy B Roman,,0,62,60,63,60,57,55,53,54,52,51,16,52,23,0,1
Abbe Fletman,,,1,60,60,58,53,51,51,51,48,50,10,50,18,0,1
Kai Scott,,,,0,61,58,53,50,53,51,50,51,11,53,15,0,1
Lyris Younge,,,,,0,58,54,51,51,52,50,50,12,49,16,0,1
Mia Roberts Perez,,,,,,1,54,53,51,50,51,50,11,49,15,0,1
Stephanie M Sawyer,,,,,,,0,56,55,54,55,55,17,41,22,0,1
Daine Grey Jr,,,,,,,,0,52,51,51,51,12,40,18,0,1
Michael Fanning,,,,,,,,,0,54,51,54,13,41,17,0,1
Scott Diclaudio,,,,,,,,,,0,51,53,12,41,17,0,1
Rainy Papademetriou,,,,,,,,,,,0,50,10,42,15,0,1
Chris Mallios,,,,,,,,,,,,0,13,39,16,0,1
Vincent Furlong,,,,,,,,,,,,,1,3,32,0,1
Cherelle Parker,,,,,,,,,,,,,,2,0,0,1
Kevin Strickland,,,,,,,,,,,,,,,8,0,1
Bobbie T Curry,,,,,,,,,,,,,,,,0,1
Total,79,75,69,68,66,65,64,58,58,58,57,55,36,67,57,0,1
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,District Council 9th District,,,2
,Tracy B Roman,Kai Scott,Ken Powell,Mia Roberts Perez,Vincent Furlong,Abbe Fletman,Michael Fanning,Stephanie M Sawyer,Daine Grey Jr,Chris Mallios,Lyris Younge,Rainy Papademetriou,Scott Diclaudio,Cherelle Parker,Kevin Strickland,Bobbie T Curry,2
Tracy B Roman,1,59,61,64,24,62,58,60,59,57,59,50,50,54,21,2,2
Kai Scott,,0,61,60,19,64,57,55,55,56,60,51,49,55,19,1,2
Ken Powell,,,0,59,20,61,57,56,57,54,58,49,48,52,19,1,2
Mia Roberts Perez,,,,0,17,61,56,57,56,55,59,52,47,56,15,1,2
Vincent Furlong,,,,,2,17,25,20,21,21,16,16,14,8,57,2,2
Abbe Fletman,,,,,,1,56,57,58,57,61,51,48,49,17,1,2
Michael Fanning,,,,,,,0,58,60,59,55,54,52,44,20,1,2
Stephanie M Sawyer,,,,,,,,0,59,58,54,52,50,44,19,1,2
Daine Grey Jr,,,,,,,,,0,59,55,52,50,45,17,1,2
Chris Mallios,,,,,,,,,,0,56,54,50,42,19,1,2
Lyris Younge,,,,,,,,,,,0,50,47,45,16,1,2
Rainy Papademetriou,,,,,,,,,,,,1,45,41,14,1,2
Scott Diclaudio,,,,,,,,,,,,,0,40,14,0,2
Cherelle Parker,,,,,,,,,,,,,,2,0,0,2
Kevin Strickland,,,,,,,,,,,,,,,5,0,2
Bobbie T Curry,,,,,,,,,,,,,,,,0,2
Total,78,75,72,72,69,68,65,64,63,62,62,57,54,76,70,2,2
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,District Council 9th District,,,3
,Tracy B Roman,Ken Powell,Mia Roberts Perez,Kai Scott,Lyris Younge,Stephanie M Sawyer,Abbe Fletman,Rainy Papademetriou,Chris Mallios,Michael Fanning,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,Cherelle Parker,Kevin Strickland,Bobbie T Curry,3
Tracy B Roman,0,44,44,44,42,39,42,39,38,38,36,35,10,43,12,0,3
Ken Powell,,1,46,44,42,39,39,37,39,40,35,35,10,39,13,0,3
Mia Roberts Perez,,,2,45,43,41,41,38,38,39,36,35,11,36,13,0,3
Kai Scott,,,,1,41,39,41,36,36,37,34,35,10,37,9,0,3
Lyris Younge,,,,,0,36,40,37,36,36,35,35,10,32,10,0,3
Stephanie M Sawyer,,,,,,0,36,34,36,37,34,35,10,30,12,0,3
Abbe Fletman,,,,,,,0,36,35,35,34,35,9,32,8,0,3
Rainy Papademetriou,,,,,,,,0,35,35,33,34,9,30,10,0,3
Chris Mallios,,,,,,,,,1,36,33,34,8,28,10,0,3
Michael Fanning,,,,,,,,,,0,34,34,9,29,10,0,3
Daine Grey Jr,,,,,,,,,,,1,32,7,28,8,0,3
Scott Diclaudio,,,,,,,,,,,,0,9,27,9,0,3
