col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,District Council 10th District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Brian J O Neill,Ken Powell,Vincent Furlong,Tracy B Roman,Mia Roberts Perez,Abbe Fletman,Kai Scott,Michael Fanning,Stephanie M Sawyer,Lyris Younge,Chris Mallios,Scott Diclaudio,Daine Grey Jr,Rainy Papademetriou,All
Brian J O Neill,"1,797","5,251","8,218","4,949","4,555","4,552","4,436","4,858","4,662","4,175","4,370","4,360","4,036","3,667",All
Ken Powell,,473,"2,428","8,127","7,858","7,856","7,900","7,277","7,041","7,594","6,895","6,779","6,696","6,230",All
Vincent Furlong,,,914,"2,354","2,070","2,081","2,004","2,625","2,398","1,923","2,327","2,373","2,040","1,657",All
Tracy B Roman,,,,258,"7,949","7,869","7,830","6,935","7,108","7,674","6,740","6,740","6,646","6,226",All
Mia Roberts Perez,,,,,235,"7,774","7,791","6,700","6,844","7,552","6,644","6,485","6,545","6,205",All
Abbe Fletman,,,,,,145,"7,837","6,777","6,850","7,582","6,665","6,476","6,576","6,248",All
Kai Scott,,,,,,,127,"6,759","6,742","7,603","6,658","6,443","6,547","6,177",All
Michael Fanning,,,,,,,,139,"7,131","6,558","7,028","6,954","6,836","6,345",All
Stephanie M Sawyer,,,,,,,,,60,"6,513","6,917","6,797","6,862","6,362",All
Lyris Younge,,,,,,,,,,61,"6,453","6,385","6,402","6,032",All
Chris Mallios,,,,,,,,,,,44,"6,838","6,655","6,317",All
Scott Diclaudio,,,,,,,,,,,,60,"6,492","6,137",All
Daine Grey Jr,,,,,,,,,,,,,24,"6,193",All
Rainy Papademetriou,,,,,,,,,,,,,,40,All
Total,"14,273","10,094","9,657","9,525","9,008","8,884","8,746","8,584","8,303","8,238","7,849","7,773","7,426","6,969",All
