col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Judge Of The Superior Court,,All
,Mia Roberts Perez,Tracy B Roman,Ken Powell,Kai Scott,Lyris Younge,Abbe Fletman,Stephanie M Sawyer,Daine Grey Jr,Michael Fanning,Chris Mallios,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,Alice Beck Dubow,Emil Giordano,All
Mia Roberts Perez,70,737,722,720,717,715,625,625,623,621,624,617,27,759,12,All
Tracy B Roman,,17,734,736,725,726,638,633,631,629,633,620,27,743,9,All
Ken Powell,,,10,722,720,722,627,630,627,627,628,618,25,734,10,All
Kai Scott,,,,10,724,728,629,630,629,628,630,621,26,717,8,All
Lyris Younge,,,,,1,718,627,634,629,629,631,622,25,713,10,All
Abbe Fletman,,,,,,4,622,626,624,625,626,615,24,706,8,All
Stephanie M Sawyer,,,,,,,3,627,625,624,625,619,21,630,5,All
Daine Grey Jr,,,,,,,,1,630,627,628,620,23,625,10,All
Michael Fanning,,,,,,,,,2,626,628,620,26,619,13,All
Chris Mallios,,,,,,,,,,3,627,621,23,624,9,All
Rainy Papademetriou,,,,,,,,,,,1,617,24,623,8,All
Scott Diclaudio,,,,,,,,,,,,0,22,618,10,All
Vincent Furlong,,,,,,,,,,,,,1,25,54,All
Alice Beck Dubow,,,,,,,,,,,,,,20,0,All
Emil Giordano,,,,,,,,,,,,,,,4,All
Total,876,808,783,765,750,744,650,648,645,642,641,634,81,869,70,All
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Judge Of The Superior Court,,1
,Mia Roberts Perez,Tracy B Roman,Ken Powell,Lyris Younge,Abbe Fletman,Kai Scott,Michael Fanning,Rainy Papademetriou,Stephanie M Sawyer,Chris Mallios,Scott Diclaudio,Daine Grey Jr,Vincent Furlong,Alice Beck Dubow,Emil Giordano,1
Mia Roberts Perez,10,35,34,34,35,34,31,31,31,31,31,30,1,40,1,1
Tracy B Roman,,1,35,34,35,35,31,31,31,31,31,30,1,35,1,1
Ken Powell,,,0,35,34,35,31,31,31,31,31,30,1,36,1,1
Lyris Younge,,,,0,34,34,31,32,32,31,31,30,1,35,2,1
Abbe Fletman,,,,,0,34,31,31,31,31,31,30,1,33,1,1
Kai Scott,,,,,,0,31,31,31,31,31,30,1,34,1,1
Michael Fanning,,,,,,,0,31,31,31,31,30,1,30,2,1
Rainy Papademetriou,,,,,,,,0,32,31,31,30,1,31,1,1
Stephanie M Sawyer,,,,,,,,,0,31,31,30,1,31,1,1
Chris Mallios,,,,,,,,,,0,31,30,1,30,1,1
Scott Diclaudio,,,,,,,,,,,0,30,1,30,1,1
Daine Grey Jr,,,,,,,,,,,,0,0,30,0,1
Vincent Furlong,,,,,,,,,,,,,0,1,1,1
Alice Beck Dubow,,,,,,,,,,,,,,0,0,1
Emil Giordano,,,,,,,,,,,,,,,0,1
Total,52,38,37,37,35,35,32,32,32,31,31,30,2,46,3,1
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Judge Of The Superior Court,,2
,Mia Roberts Perez,Abbe Fletman,Kai Scott,Tracy B Roman,Ken Powell,Lyris Younge,Chris Mallios,Daine Grey Jr,Michael Fanning,Rainy Papademetriou,Scott Diclaudio,Stephanie M Sawyer,Vincent Furlong,Alice Beck Dubow,Emil Giordano,2
Mia Roberts Perez,1,17,17,17,16,16,15,15,15,15,15,15,0,19,0,2
Abbe Fletman,,0,16,16,16,16,15,15,15,15,15,15,0,16,0,2
Kai Scott,,,0,16,16,16,15,15,15,15,15,15,0,17,0,2
Tracy B Roman,,,,0,16,16,15,15,15,15,15,15,0,16,0,2
Ken Powell,,,,,0,16,15,15,15,15,15,15,0,16,0,2
Lyris Younge,,,,,,0,15,15,15,15,15,15,0,16,0,2
Chris Mallios,,,,,,,0,15,15,15,15,15,0,15,0,2
Daine Grey Jr,,,,,,,,0,15,15,15,15,0,15,0,2
Michael Fanning,,,,,,,,,0,15,15,15,0,15,0,2
Rainy Papademetriou,,,,,,,,,,0,15,15,0,15,0,2
Scott Diclaudio,,,,,,,,,,,0,15,0,15,0,2
Stephanie M Sawyer,,,,,,,,,,,,0,0,15,0,2
Vincent Furlong,,,,,,,,,,,,,0,0,1,2
Alice Beck Dubow,,,,,,,,,,,,,,2,0,2
Emil Giordano,,,,,,,,,,,,,,,0,2
Total,22,17,17,17,16,16,15,15,15,15,15,15,1,21,1,2
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,3
,Alice Beck Dubow,Emil Giordano,Mia Roberts Perez,Tracy B Roman,Abbe Fletman,Chris Mallios,Daine Grey Jr,Kai Scott,Ken Powell,Lyris Younge,Michael Fanning,Rainy Papademetriou,Scott Diclaudio,Stephanie M Sawyer,Vincent Furlong,3
Alice Beck Dubow,1,0,18,17,17,17,17,17,17,17,17,17,17,17,0,3
Emil Giordano,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Mia Roberts Perez,,,1,17,17,17,17,17,17,17,17,17,17,17,0,3
Tracy B Roman,,,,2,17,17,17,17,17,17,17,17,17,17,0,3
Abbe Fletman,,,,,0,17,17,17,17,17,17,17,17,17,0,3
Chris Mallios,,,,,,0,17,17,17,17,17,17,17,17,0,3
