col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Mayor,,,,,Council At Large,,,,,,,,,,,,,,All
,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,Helen Gym,Derek S Green,Allan Domb,Blondell Reynolds Brown,William K Greenlee,David Oh,Al Taubenberger,Dennis M O Brien,Daniel Tinney,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,All
Jim Kenney,"16,075",0,0,0,0,"132,220","133,545","130,179","131,375","127,472","15,718","13,128","14,750","12,400","9,111","12,475","8,337","3,030","1,628",All
Melissa Murray Bailey,,"1,360",0,0,0,"5,811","3,948","6,613","2,980","3,803","16,595","19,196","17,373","17,540","17,169","2,060","1,312","1,186",355,All
James Foster,,,61,0,0,755,563,556,494,503,458,360,313,320,371,430,464,533,189,All
Osborne Hart,,,,20,0,777,435,356,457,385,133,81,63,62,77,436,639,324,658,All
Boris Kindij,,,,,20,139,98,108,90,104,69,66,42,38,54,104,103,100,53,All
Helen Gym,,,,,,547,"120,148","118,758","116,341","117,206","7,808","5,318","5,537","4,414","6,406","11,240","7,853","2,655","1,649",All
Derek S Green,,,,,,,"1,005","117,686","118,414","118,258","6,297","4,590","4,947","3,720","4,959","7,145","4,748","1,428",756,All
Allan Domb,,,,,,,,720,"113,304","115,578","8,499","8,512","7,123","6,221","6,014","6,870","2,861","1,364",560,All
Blondell Reynolds Brown,,,,,,,,,"1,303","117,779","6,786","3,659","3,315","2,525","2,473","4,889","4,372","1,455",753,All
William K Greenlee,,,,,,,,,,467,"7,362","5,742","5,931","3,849","2,815","4,858","4,089","1,283",653,All
David Oh,,,,,,,,,,,415,"18,865","20,213","17,688","16,604","1,513","1,299","1,081",378,All
Al Taubenberger,,,,,,,,,,,,326,"21,248","20,723","18,322","1,638",937,784,212,All
Dennis M O Brien,,,,,,,,,,,,,280,"20,577","17,309","1,247",832,640,176,All
Daniel Tinney,,,,,,,,,,,,,,226,"18,173","1,036",661,563,180,All
Terry Tracy,,,,,,,,,,,,,,,106,"3,703","1,028",731,182,All
Andrew C Stober,,,,,,,,,,,,,,,,76,"5,366","2,357","1,658",All
Kristin Combs,,,,,,,,,,,,,,,,,51,"3,132","2,055",All
Sheila E Armstrong,,,,,,,,,,,,,,,,,,48,"1,399",All
John Staggs,,,,,,,,,,,,,,,,,,,5,All
Total,"201,248","31,133","1,678","1,213",320,"143,321","142,578","141,541","139,644","135,535","34,334","34,181","33,751","31,440","27,691","16,054","11,170","5,340","2,943",All
