col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,District Council 8th District,,Council At Large,,,,,,,,,,,,,,All
,Cindy Bass,Michael Galganski,Derek S Green,Blondell Reynolds Brown,Helen Gym,William K Greenlee,Allan Domb,David Oh,Kristin Combs,Andrew C Stober,Terry Tracy,Dennis M O Brien,Al Taubenberger,Daniel Tinney,Sheila E Armstrong,John Staggs,All
Cindy Bass,657,0,"20,825","20,776","20,043","19,368","18,644","1,586","1,716","1,480",793,601,518,473,457,224,All
Michael Galganski,,9,295,205,409,272,330,306,190,197,285,233,254,212,110,65,All
Derek S Green,,,224,"19,121","19,279","18,810","17,951",932,"1,346","1,153",634,361,230,244,250,106,All
Blondell Reynolds Brown,,,,250,"18,659","18,761","17,396","1,023","1,208",714,302,258,214,206,231,95,All
Helen Gym,,,,,162,"18,514","17,808",982,"1,786","1,572",700,360,293,263,344,198,All
William K Greenlee,,,,,,111,"17,402",926,"1,179",670,256,336,234,183,200,78,All
Allan Domb,,,,,,,185,830,556,834,605,318,330,250,209,63,All
David Oh,,,,,,,,169,218,187,784,810,762,714,146,65,All
Kristin Combs,,,,,,,,,36,777,109,70,81,48,352,224,All
Andrew C Stober,,,,,,,,,,27,417,105,108,71,232,167,All
Terry Tracy,,,,,,,,,,,29,708,720,733,58,21,All
Dennis M O Brien,,,,,,,,,,,,25,691,696,40,5,All
Al Taubenberger,,,,,,,,,,,,,11,676,52,14,All
Daniel Tinney,,,,,,,,,,,,,,70,31,10,All
Sheila E Armstrong,,,,,,,,,,,,,,,14,143,All
John Staggs,,,,,,,,,,,,,,,,13,All
Total,"26,147",829,"22,480","22,201","21,874","20,705","20,071","2,620","2,283","2,070","1,682","1,341","1,227","1,213",651,338,All
