col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Ken Powell,Tracy B Roman,Mia Roberts Perez,Kai Scott,Abbe Fletman,Stephanie M Sawyer,Michael Fanning,Vincent Furlong,Lyris Younge,Scott Diclaudio,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,All
Ken Powell,103,"1,011",927,957,959,875,880,289,926,843,833,835,778,All
Tracy B Roman,,55,952,958,967,893,870,295,932,854,837,836,782,All
Mia Roberts Perez,,,56,921,925,836,810,217,888,792,802,796,758,All
Kai Scott,,,,17,955,850,843,244,916,811,832,821,774,All
Abbe Fletman,,,,,18,849,838,248,918,808,822,829,782,All
Stephanie M Sawyer,,,,,,19,879,294,806,852,858,865,797,All
Michael Fanning,,,,,,,32,292,808,854,854,845,789,All
Vincent Furlong,,,,,,,,577,227,269,259,257,206,All
Lyris Younge,,,,,,,,,10,788,794,798,748,All
Scott Diclaudio,,,,,,,,,,19,831,805,768,All
Chris Mallios,,,,,,,,,,,5,820,776,All
Daine Grey Jr,,,,,,,,,,,,6,770,All
Rainy Papademetriou,,,,,,,,,,,,,5,All
Total,"1,236","1,182","1,075","1,046","1,045","1,015","1,013",988,983,947,919,912,849,All
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Ken Powell,Vincent Furlong,Tracy B Roman,Kai Scott,Abbe Fletman,Mia Roberts Perez,Michael Fanning,Chris Mallios,Lyris Younge,Stephanie M Sawyer,Scott Diclaudio,Daine Grey Jr,Rainy Papademetriou,1
Ken Powell,5,19,62,62,61,59,49,50,54,50,45,47,40,1
Vincent Furlong,,49,18,18,18,15,20,19,13,20,19,19,10,1
Tracy B Roman,,,3,60,60,57,45,48,54,50,47,47,40,1
Kai Scott,,,,2,61,59,49,50,54,50,47,49,41,1
Abbe Fletman,,,,,0,60,48,49,54,50,46,48,42,1
Mia Roberts Perez,,,,,,1,46,48,53,47,44,46,39,1
Michael Fanning,,,,,,,3,50,40,48,47,48,40,1
Chris Mallios,,,,,,,,1,43,52,48,49,41,1
Lyris Younge,,,,,,,,,0,43,41,43,35,1
Stephanie M Sawyer,,,,,,,,,,0,49,50,41,1
Scott Diclaudio,,,,,,,,,,,1,47,38,1
Daine Grey Jr,,,,,,,,,,,,0,40,1
Rainy Papademetriou,,,,,,,,,,,,,0,1
Total,75,74,68,67,64,62,57,56,55,55,52,51,42,1
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Ken Powell,Tracy B Roman,Kai Scott,Stephanie M Sawyer,Mia Roberts Perez,Abbe Fletman,Lyris Younge,Chris Mallios,Michael Fanning,Scott Diclaudio,Daine Grey Jr,Rainy Papademetriou,Vincent Furlong,2
Ken Powell,6,28,29,24,24,26,25,22,24,21,21,21,6,2
Tracy B Roman,,3,29,27,26,28,26,24,25,23,22,23,10,2
Kai Scott,,,2,26,25,28,26,24,26,22,24,23,9,2
Stephanie M Sawyer,,,,4,22,25,21,25,26,24,24,24,7,2
Mia Roberts Perez,,,,,2,25,24,22,22,21,19,21,5,2
Abbe Fletman,,,,,,0,25,23,24,21,22,23,8,2
Lyris Younge,,,,,,,2,21,23,22,20,21,7,2
Chris Mallios,,,,,,,,0,25,22,22,24,8,2
Michael Fanning,,,,,,,,,0,24,24,24,7,2
Scott Diclaudio,,,,,,,,,,1,22,23,7,2
Daine Grey Jr,,,,,,,,,,,0,22,5,2
Rainy Papademetriou,,,,,,,,,,,,0,7,2
Vincent Furlong,,,,,,,,,,,,,10,2
Total,38,38,35,35,30,29,29,28,28,28,25,25,24,2
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,3
,Vincent Furlong,Ken Powell,Tracy B Roman,Abbe Fletman,Kai Scott,Michael Fanning,Stephanie M Sawyer,Chris Mallios,Lyris Younge,Scott Diclaudio,Daine Grey Jr,Mia Roberts Perez,Rainy Papademetriou,3
Vincent Furlong,79,54,46,43,40,45,44,46,39,41,38,29,30,3
Ken Powell,,10,100,88,88,84,82,84,87,78,78,70,70,3
Tracy B Roman,,,6,90,87,78,83,81,87,79,78,74,67,3
Abbe Fletman,,,,2,86,73,78,77,83,73,78,68,66,3
Kai Scott,,,,,2,75,77,79,83,74,74,70,68,3
Michael Fanning,,,,,,2,79,81,72,77,75,64,66,3
Stephanie M Sawyer,,,,,,,1,82,74,77,78,65,68,3
Chris Mallios,,,,,,,,0,77,80,77,65,68,3
Lyris Younge,,,,,,,,,1,72,73,67,62,3
Scott Diclaudio,,,,,,,,,,1,72,64,64,3
Daine Grey Jr,,,,,,,,,,,0,60,63,3
Mia Roberts Perez,,,,,,,,,,,,0,53,3
Rainy Papademetriou,,,,,,,,,,,,,0,3
Total,142,128,114,97,97,93,93,91,91,87,85,77,74,3
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,4
,Ken Powell,Tracy B Roman,Vincent Furlong,Mia Roberts Perez,Michael Fanning,Stephanie M Sawyer,Lyris Younge,Abbe Fletman,Kai Scott,Scott Diclaudio,Daine Grey Jr,Chris Mallios,Rainy Papademetriou,4
Ken Powell,8,84,32,78,75,74,80,80,78,71,72,71,69,4
Tracy B Roman,,5,36,81,73,75,83,79,79,74,72,71,70,4
Vincent Furlong,,,51,28,34,37,30,28,27,30,29,31,27,4
Mia Roberts Perez,,,,3,69,70,76,76,75,67,68,67,65,4
Michael Fanning,,,,,5,73,70,70,69,70,70,71,67,4
Stephanie M Sawyer,,,,,,1,72,69,68,72,73,72,69,4
Lyris Younge,,,,,,,1,78,78,70,68,70,67,4
Abbe Fletman,,,,,,,,0,77,67,67,69,66,4
Kai Scott,,,,,,,,,0,67,66,69,65,4
Scott Diclaudio,,,,,,,,,,2,67,71,66,4
Daine Grey Jr,,,,,,,,,,,1,68,67,4
Chris Mallios,,,,,,,,,,,,0,68,4
Rainy Papademetriou,,,,,,,,,,,,,1,4
Total,103,101,97,90,89,88,87,84,82,82,79,78,76,4
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,5
,Vincent Furlong,Ken Powell,Tracy B Roman,Abbe Fletman,Kai Scott,Michael Fanning,Stephanie M Sawyer,Mia Roberts Perez,Chris Mallios,Lyris Younge,Scott Diclaudio,Daine Grey Jr,Rainy Papademetriou,5
Vincent Furlong,48,15,17,12,12,17,17,10,15,9,15,14,10,5
Ken Powell,,4,51,50,49,44,43,45,41,44,39,42,39,5
Tracy B Roman,,,2,48,45,43,43,47,42,45,43,40,38,5
Abbe Fletman,,,,2,47,42,42,46,40,42,37,41,39,5
Kai Scott,,,,,0,42,42,46,42,43,37,40,38,5
Michael Fanning,,,,,,2,45,39,44,36,41,42,39,5
Stephanie M Sawyer,,,,,,,1,38,42,35,40,43,39,5
Mia Roberts Perez,,,,,,,,0,39,40,37,36,37,5
Chris Mallios,,,,,,,,,2,36,42,38,40,5
Lyris Younge,,,,,,,,,,0,34,36,34,5
Scott Diclaudio,,,,,,,,,,,1,35,35,5
Daine Grey Jr,,,,,,,,,,,,1,39,5
Rainy Papademetriou,,,,,,,,,,,,,2,5
Total,73,63,60,56,54,53,53,52,51,48,48,46,43,5
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,6
,Ken Powell,Tracy B Roman,Abbe Fletman,Kai Scott,Michael Fanning,Lyris Younge,Stephanie M Sawyer,Daine Grey Jr,Mia Roberts Perez,Vincent Furlong,Chris Mallios,Scott Diclaudio,Rainy Papademetriou,6
Ken Powell,5,33,32,33,33,34,30,31,29,9,30,27,27,6
Tracy B Roman,,1,31,31,29,31,29,28,28,10,28,26,25,6
Abbe Fletman,,,1,33,30,32,30,29,28,6,29,26,26,6
Kai Scott,,,,0,29,32,30,29,29,6,30,26,26,6
Michael Fanning,,,,,0,31,30,31,25,9,29,28,27,6
Lyris Younge,,,,,,0,30,30,28,7,30,27,27,6
Stephanie M Sawyer,,,,,,,1,31,26,8,29,27,27,6
Daine Grey Jr,,,,,,,,0,25,8,29,27,27,6
Mia Roberts Perez,,,,,,,,,2,3,26,22,22,6
Vincent Furlong,,,,,,,,,,19,6,7,5,6
Chris Mallios,,,,,,,,,,,0,26,26,6
Scott Diclaudio,,,,,,,,,,,,1,25,6
Rainy Papademetriou,,,,,,,,,,,,,0,6
Total,44,39,35,35,35,34,33,32,32,32,30,29,27,6
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,7
