col_1,col_2,col_3,division
,Judge Of The Superior Court,,1
,Alice Beck Dubow,Emil Giordano,1
Alice Beck Dubow,55,0,1
Emil Giordano,,12,1
Total,55,12,1
,Judge Of The Superior Court,,2
,Alice Beck Dubow,Emil Giordano,2
Alice Beck Dubow,50,0,2
Emil Giordano,,14,2
Total,50,14,2
,Judge Of The Superior Court,,3
,Alice Beck Dubow,Emil Giordano,3
Alice Beck Dubow,64,0,3
Emil Giordano,,17,3
Total,64,17,3
,Judge Of The Superior Court,,4
,Alice Beck Dubow,Emil Giordano,4
Alice Beck Dubow,59,0,4
Emil Giordano,,19,4
Total,59,19,4
,Judge Of The Superior Court,,5
,Alice Beck Dubow,Emil Giordano,5
Alice Beck Dubow,31,0,5
Emil Giordano,,9,5
Total,31,9,5
,Judge Of The Superior Court,,6
,Alice Beck Dubow,Emil Giordano,6
Alice Beck Dubow,60,0,6
Emil Giordano,,14,6
Total,60,14,6
,Judge Of The Superior Court,,7
,Alice Beck Dubow,Emil Giordano,7
Alice Beck Dubow,34,0,7
Emil Giordano,,16,7
Total,34,16,7
,Judge Of The Superior Court,,8
,Alice Beck Dubow,Emil Giordano,8
Alice Beck Dubow,39,0,8
Emil Giordano,,17,8
Total,39,17,8
,Judge Of The Superior Court,,9
,Alice Beck Dubow,Emil Giordano,9
Alice Beck Dubow,62,0,9
Emil Giordano,,18,9
Total,62,18,9
,Judge Of The Superior Court,,10
,Alice Beck Dubow,Emil Giordano,10
Alice Beck Dubow,57,0,10
Emil Giordano,,16,10
Total,57,16,10
,Judge Of The Superior Court,,11
,Alice Beck Dubow,Emil Giordano,11
Alice Beck Dubow,46,0,11
Emil Giordano,,16,11
Total,46,16,11
,Judge Of The Superior Court,,12
,Alice Beck Dubow,Emil Giordano,12
Alice Beck Dubow,50,0,12
Emil Giordano,,23,12
Total,50,23,12
,Judge Of The Superior Court,,13
,Alice Beck Dubow,Emil Giordano,13
Alice Beck Dubow,82,0,13
Emil Giordano,,27,13
Total,82,27,13
,Judge Of The Superior Court,,14
,Alice Beck Dubow,Emil Giordano,14
Alice Beck Dubow,64,0,14
Emil Giordano,,20,14
Total,64,20,14
,Judge Of The Superior Court,,15
,Alice Beck Dubow,Emil Giordano,15
Alice Beck Dubow,64,0,15
Emil Giordano,,28,15
Total,64,28,15
,Judge Of The Superior Court,,16
,Alice Beck Dubow,Emil Giordano,16
Alice Beck Dubow,40,0,16
Emil Giordano,,18,16
Total,40,18,16
,Judge Of The Superior Court,,17
,Alice Beck Dubow,Emil Giordano,17
Alice Beck Dubow,58,0,17
Emil Giordano,,32,17
Total,58,32,17
,Judge Of The Superior Court,,18
,Alice Beck Dubow,Emil Giordano,18
Alice Beck Dubow,57,0,18
Emil Giordano,,22,18
Total,57,22,18
,Judge Of The Superior Court,,19
,Alice Beck Dubow,Emil Giordano,19
Alice Beck Dubow,43,0,19
Emil Giordano,,28,19
Total,43,28,19
,Judge Of The Superior Court,,20
,Alice Beck Dubow,Emil Giordano,20
Alice Beck Dubow,54,0,20
Emil Giordano,,14,20
Total,54,14,20
,Judge Of The Superior Court,,21
,Alice Beck Dubow,Emil Giordano,21
Alice Beck Dubow,52,0,21
Emil Giordano,,23,21
Total,52,23,21
,Judge Of The Superior Court,,22
,Alice Beck Dubow,Emil Giordano,22
Alice Beck Dubow,60,0,22
Emil Giordano,,15,22
Total,60,15,22
,Judge Of The Superior Court,,23
,Alice Beck Dubow,Emil Giordano,23
Alice Beck Dubow,58,0,23
Emil Giordano,,25,23
Total,58,25,23
,Judge Of The Superior Court,,24
,Alice Beck Dubow,Emil Giordano,24
Alice Beck Dubow,57,0,24
Emil Giordano,,22,24
Total,57,22,24
,Judge Of The Superior Court,,25
,Alice Beck Dubow,Emil Giordano,25
Alice Beck Dubow,63,0,25
Emil Giordano,,26,25
Total,63,26,25
,Judge Of The Superior Court,,26
,Alice Beck Dubow,Emil Giordano,26
Alice Beck Dubow,41,0,26
Emil Giordano,,17,26
Total,41,17,26
,Judge Of The Superior Court,,All
,Alice Beck Dubow,Emil Giordano,All
Alice Beck Dubow,"1,400",0,All
Emil Giordano,,508,All
Total,"1,400",508,All
