col_1,col_2,col_3,col_4,division
,District Council 6th District,Judge Of The Commonwealth Court,,1
,Bobby Henon,Michael Wojcik,Paul Lalley,1
Bobby Henon,56,95,44,1
Michael Wojcik,,19,0,1
Paul Lalley,,,46,1
Total,195,114,90,1
,District Council 6th District,Judge Of The Commonwealth Court,,2
,Bobby Henon,Michael Wojcik,Paul Lalley,2
Bobby Henon,53,87,29,2
Michael Wojcik,,10,0,2
Paul Lalley,,,44,2
Total,169,97,73,2
,District Council 6th District,Judge Of The Commonwealth Court,,3
,Bobby Henon,Michael Wojcik,Paul Lalley,3
Bobby Henon,10,57,11,3
Michael Wojcik,,5,0,3
Paul Lalley,,,9,3
Total,78,62,20,3
,District Council 6th District,Judge Of The Commonwealth Court,,4
,Bobby Henon,Michael Wojcik,Paul Lalley,4
Bobby Henon,28,177,25,4
Michael Wojcik,,24,0,4
Paul Lalley,,,37,4
Total,230,201,62,4
,District Council 6th District,Judge Of The Commonwealth Court,,5
,Bobby Henon,Michael Wojcik,Paul Lalley,5
Bobby Henon,7,37,12,5
Michael Wojcik,,4,0,5
Paul Lalley,,,17,5
Total,56,41,29,5
,District Council 6th District,Judge Of The Commonwealth Court,,6
,Bobby Henon,Michael Wojcik,Paul Lalley,6
Bobby Henon,4,27,5,6
Michael Wojcik,,3,0,6
Paul Lalley,,,5,6
Total,36,30,10,6
,District Council 6th District,Judge Of The Commonwealth Court,,7
,Bobby Henon,Michael Wojcik,Paul Lalley,7
Bobby Henon,62,147,40,7
Michael Wojcik,,13,0,7
Paul Lalley,,,54,7
Total,249,160,94,7
,District Council 6th District,Judge Of The Commonwealth Court,,8
,Bobby Henon,Michael Wojcik,Paul Lalley,8
Bobby Henon,9,47,12,8
Michael Wojcik,,10,0,8
Paul Lalley,,,16,8
Total,68,57,28,8
,District Council 6th District,Judge Of The Commonwealth Court,,9
,Bobby Henon,Michael Wojcik,Paul Lalley,9
Bobby Henon,21,86,23,9
Michael Wojcik,,6,0,9
Paul Lalley,,,28,9
Total,130,92,51,9
,District Council 6th District,Judge Of The Commonwealth Court,,10
,Bobby Henon,Michael Wojcik,Paul Lalley,10
Bobby Henon,23,99,24,10
Michael Wojcik,,16,0,10
Paul Lalley,,,55,10
Total,146,115,79,10
,District Council 6th District,Judge Of The Commonwealth Court,,11
,Bobby Henon,Michael Wojcik,Paul Lalley,11
Bobby Henon,17,77,16,11
Michael Wojcik,,9,0,11
Paul Lalley,,,16,11
Total,110,86,32,11
,District Council 6th District,Judge Of The Commonwealth Court,,12
,Bobby Henon,Michael Wojcik,Paul Lalley,12
Bobby Henon,4,47,4,12
Michael Wojcik,,5,0,12
Paul Lalley,,,4,12
Total,55,52,8,12
,District Council 6th District,Judge Of The Commonwealth Court,,13
,Bobby Henon,Michael Wojcik,Paul Lalley,13
Bobby Henon,10,62,5,13
Michael Wojcik,,3,0,13
Paul Lalley,,,5,13
Total,77,65,10,13
,District Council 6th District,Judge Of The Commonwealth Court,,14
,Bobby Henon,Michael Wojcik,Paul Lalley,14
Bobby Henon,11,43,2,14
Michael Wojcik,,1,0,14
Paul Lalley,,,8,14
Total,56,44,10,14
,District Council 6th District,Judge Of The Commonwealth Court,,15
,Bobby Henon,Michael Wojcik,Paul Lalley,15
Bobby Henon,17,49,1,15
Michael Wojcik,,0,0,15
Paul Lalley,,,5,15
Total,67,49,6,15
,District Council 6th District,Judge Of The Commonwealth Court,,16
,Bobby Henon,Michael Wojcik,Paul Lalley,16
Bobby Henon,16,60,10,16
Michael Wojcik,,2,0,16
Paul Lalley,,,11,16
Total,86,62,21,16
,District Council 6th District,Judge Of The Commonwealth Court,,17
,Bobby Henon,Michael Wojcik,Paul Lalley,17
Bobby Henon,19,76,14,17
Michael Wojcik,,9,0,17
Paul Lalley,,,19,17
Total,109,85,33,17
,District Council 6th District,Judge Of The Commonwealth Court,,18
,Bobby Henon,Michael Wojcik,Paul Lalley,18
Bobby Henon,13,75,5,18
Michael Wojcik,,5,0,18
Paul Lalley,,,12,18
Total,93,80,17,18
,District Council 6th District,Judge Of The Commonwealth Court,,19
,Bobby Henon,Michael Wojcik,Paul Lalley,19
Bobby Henon,16,60,20,19
Michael Wojcik,,6,0,19
Paul Lalley,,,19,19
Total,96,66,39,19
,District Council 6th District,Judge Of The Commonwealth Court,,20
,Bobby Henon,Michael Wojcik,Paul Lalley,20
Bobby Henon,100,231,37,20
Michael Wojcik,,24,0,20
Paul Lalley,,,51,20
Total,368,255,88,20
,District Council 6th District,Judge Of The Commonwealth Court,,21
,Bobby Henon,Michael Wojcik,Paul Lalley,21
Bobby Henon,20,50,11,21
Michael Wojcik,,4,0,21
Paul Lalley,,,6,21
Total,81,54,17,21
,District Council 6th District,Judge Of The Commonwealth Court,,22
,Bobby Henon,Michael Wojcik,Paul Lalley,22
Bobby Henon,18,50,13,22
Michael Wojcik,,6,0,22
Paul Lalley,,,12,22
Total,81,56,25,22
,District Council 6th District,Judge Of The Commonwealth Court,,23
,Bobby Henon,Michael Wojcik,Paul Lalley,23
Bobby Henon,33,78,23,23
Michael Wojcik,,9,0,23
Paul Lalley,,,40,23
Total,134,87,63,23
,District Council 6th District,Judge Of The Commonwealth Court,,All
,Bobby Henon,Michael Wojcik,Paul Lalley,All
Bobby Henon,567,"1,817",386,All
Michael Wojcik,,193,0,All
Paul Lalley,,,519,All
Total,"2,770","2,010",905,All
