col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Municipal Court,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Ken Powell,Lyris Younge,Kai Scott,Tracy B Roman,Abbe Fletman,Mia Roberts Perez,Stephanie M Sawyer,Chris Mallios,Daine Grey Jr,Scott Diclaudio,Michael Fanning,Rainy Papademetriou,Vincent Furlong,1
Christine Hope,1,60,58,64,62,63,61,62,62,42,43,42,42,41,42,5,1
Sharon Williams Losier,,1,59,62,58,58,60,58,59,42,42,41,42,41,42,4,1
Joffie C Pittman,,,0,58,59,57,57,57,58,42,42,41,42,41,42,4,1
Ken Powell,,,,1,61,61,60,60,61,43,42,42,43,42,42,4,1
Lyris Younge,,,,,1,61,58,60,60,42,42,41,42,41,42,4,1
Kai Scott,,,,,,1,58,60,60,41,41,41,41,40,41,3,1
Tracy B Roman,,,,,,,2,57,59,42,42,41,42,41,42,4,1
Abbe Fletman,,,,,,,,0,60,41,42,40,41,40,41,3,1
Mia Roberts Perez,,,,,,,,,0,42,43,41,42,41,42,4,1
Stephanie M Sawyer,,,,,,,,,,1,42,41,43,42,42,4,1
Chris Mallios,,,,,,,,,,,0,41,42,41,42,4,1
Daine Grey Jr,,,,,,,,,,,,0,41,40,41,3,1
Scott Diclaudio,,,,,,,,,,,,,0,42,42,4,1
Michael Fanning,,,,,,,,,,,,,,0,41,3,1
Rainy Papademetriou,,,,,,,,,,,,,,,0,4,1
Vincent Furlong,,,,,,,,,,,,,,,,0,1
Total,70,65,61,69,65,64,64,63,62,44,43,43,43,42,42,5,1
,Judge Of The Municipal Court,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Ken Powell,Mia Roberts Perez,Tracy B Roman,Lyris Younge,Kai Scott,Abbe Fletman,Daine Grey Jr,Stephanie M Sawyer,Rainy Papademetriou,Chris Mallios,Michael Fanning,Scott Diclaudio,Vincent Furlong,2
Christine Hope,1,60,59,64,62,62,62,59,59,42,41,40,40,40,40,3,2
