col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Justice Of The Supreme Court,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ken Powell,Mia Roberts Perez,Kai Scott,Tracy B Roman,Abbe Fletman,Lyris Younge,Stephanie M Sawyer,Michael Fanning,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,All
Kevin M Dougherty,"16,191","144,382","142,635","4,997","2,921","2,447","2,492","139,362","134,544","133,283","131,017","130,146","125,297","115,578","112,342","111,789","111,422","110,203","106,079","16,301",All
Christine Donohue,,"1,502","145,813","7,104","1,632","1,437","2,546","127,703","128,118","127,409","123,146","125,986","119,630","112,553","107,892","109,303","108,452","108,209","101,994","12,222",All
David Wecht,,,"1,719","5,754","1,076","1,477","2,067","127,642","125,728","125,979","120,821","124,811","118,312","109,937","106,575","107,909","106,751","106,851","100,607","11,103",All
Judy Olson,,,,311,"16,489","15,581",912,"6,913","6,808","6,650","6,619","6,888","5,447","7,226","6,606","6,760","6,243","5,954","5,863","19,867",All
Anne Covey,,,,,119,"14,288",547,"3,529","3,491","3,263","3,724","3,310","3,030","3,916","3,613","3,422","3,378","3,019","3,436","16,449",All
Mike George,,,,,,216,622,"3,441","3,036","2,942","3,328","3,009","2,716","3,455","3,520","3,315","3,057","2,716","3,310","16,728",All
Paul P Panepinto,,,,,,,215,"2,572","2,761","2,673","2,431","2,611","2,227","2,691","2,422","2,479","2,366","2,457","2,124","2,050",All
Ken Powell,,,,,,,,243,"132,532","132,905","129,959","131,448","127,090","115,556","114,150","113,677","113,455","111,561","107,983","12,782",All
Mia Roberts Perez,,,,,,,,,238,"133,677","130,128","131,733","127,381","116,853","112,467","113,539","114,190","112,589","107,246","12,086",All
Kai Scott,,,,,,,,,,118,"128,531","133,004","127,583","115,786","112,688","114,267","113,764","112,616","106,755","11,701",All
Tracy B Roman,,,,,,,,,,,153,"127,436","127,374","113,377","110,027","109,246","110,324","107,807","108,048","12,838",All
Abbe Fletman,,,,,,,,,,,,56,"126,068","114,539","112,234","114,187","112,598","112,353","106,637","11,568",All
Lyris Younge,,,,,,,,,,,,,84,"110,673","108,611","108,256","109,535","107,070","106,397","10,995",All
Stephanie M Sawyer,,,,,,,,,,,,,,62,"114,219","113,898","115,494","112,577","108,388","12,989",All
Michael Fanning,,,,,,,,,,,,,,,29,"112,888","112,843","110,716","108,201","12,773",All
Chris Mallios,,,,,,,,,,,,,,,,21,"112,317","112,205","107,923","12,002",All
Daine Grey Jr,,,,,,,,,,,,,,,,,42,"111,052","107,023","11,660",All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,43,"105,548","10,059",All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,38,"11,456",All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,299,All
Total,"200,177","162,612","159,722","27,590","19,518","19,441","5,559","152,041","146,975","144,696","142,533","141,199","134,584","125,951","120,884","120,789","120,181","118,709","113,585","36,377",All
