col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Council At Large,,,,,,,,,,,,,,District Council 2nd District,1
,Helen Gym,Allan Domb,Derek S Green,Blondell Reynolds Brown,Andrew C Stober,William K Greenlee,Terry Tracy,David Oh,Dennis M O Brien,Al Taubenberger,Daniel Tinney,Kristin Combs,Sheila E Armstrong,John Staggs,Kenyatta Johnson,1
Helen Gym,1,103,94,77,61,63,11,7,6,4,3,11,4,2,102,1
Allan Domb,,3,86,72,52,55,13,12,6,4,2,7,2,0,92,1
Derek S Green,,,0,76,43,54,11,8,5,2,2,7,3,2,86,1
Blondell Reynolds Brown,,,,0,27,52,4,9,4,2,4,4,1,1,77,1
Andrew C Stober,,,,,3,15,14,4,6,3,1,11,7,4,50,1
William K Greenlee,,,,,,0,5,5,3,2,1,3,4,2,66,1
Terry Tracy,,,,,,,0,18,19,18,19,1,1,0,19,1
David Oh,,,,,,,,0,25,18,17,1,1,1,19,1
Dennis M O Brien,,,,,,,,,1,20,18,1,0,0,16,1
Al Taubenberger,,,,,,,,,,0,19,1,1,0,10,1
Daniel Tinney,,,,,,,,,,,0,2,1,0,11,1
Kristin Combs,,,,,,,,,,,,0,7,4,11,1
Sheila E Armstrong,,,,,,,,,,,,,1,4,7,1
John Staggs,,,,,,,,,,,,,,0,4,1
Kenyatta Johnson,,,,,,,,,,,,,,,1,1
Total,136,127,108,90,81,71,36,35,32,26,24,16,10,5,132,1
,District Council 2nd District,Council At Large,,,,,,,,,,,,,,2
,Kenyatta Johnson,Helen Gym,Allan Domb,Derek S Green,Blondell Reynolds Brown,William K Greenlee,Andrew C Stober,Terry Tracy,Al Taubenberger,David Oh,Daniel Tinney,Dennis M O Brien,Kristin Combs,Sheila E Armstrong,John Staggs,2
Kenyatta Johnson,6,116,97,97,81,81,53,25,13,11,10,11,16,8,4,2
Helen Gym,,4,100,103,86,85,57,24,7,7,4,5,13,8,3,2
Allan Domb,,,4,88,65,63,43,28,9,8,6,5,7,4,1,2
Derek S Green,,,,0,71,75,44,24,3,4,3,1,10,4,1,2
Blondell Reynolds Brown,,,,,0,65,24,6,2,3,5,3,8,2,2,2
William K Greenlee,,,,,,0,22,10,7,3,2,3,5,2,1,2
Andrew C Stober,,,,,,,2,20,4,2,2,2,10,7,2,2
Terry Tracy,,,,,,,,3,15,16,18,17,1,2,0,2
Al Taubenberger,,,,,,,,,0,13,14,16,2,2,0,2
David Oh,,,,,,,,,,1,14,15,1,0,0,2
Daniel Tinney,,,,,,,,,,,0,16,1,0,0,2
Dennis M O Brien,,,,,,,,,,,,0,2,1,0,2
Kristin Combs,,,,,,,,,,,,,0,9,3,2
Sheila E Armstrong,,,,,,,,,,,,,,0,3,2
John Staggs,,,,,,,,,,,,,,,0,2
Total,159,154,135,118,94,92,81,56,25,25,23,23,20,12,4,2
,District Council 2nd District,Council At Large,,,,,,,,,,,,,,3
