col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 7th District,Council At Large,,,,,,,,,,,,,,1
,Maria Quinones Sanchez,Allan Domb,Blondell Reynolds Brown,William K Greenlee,Derek S Green,Helen Gym,Daniel Tinney,Al Taubenberger,David Oh,Terry Tracy,Dennis M O Brien,Kristin Combs,Andrew C Stober,John Staggs,Sheila E Armstrong,1
Maria Quinones Sanchez,2,75,74,70,70,67,1,2,4,2,1,0,0,0,0,1
Allan Domb,,0,70,68,68,67,0,1,3,1,0,0,0,0,0,1
Blondell Reynolds Brown,,,1,68,68,66,1,0,3,1,1,0,0,0,0,1
William K Greenlee,,,,0,68,65,1,1,3,0,1,1,1,1,1,1
Derek S Green,,,,,0,65,0,0,1,0,0,0,0,0,0,1
Helen Gym,,,,,,0,0,0,1,1,0,0,0,0,0,1
Daniel Tinney,,,,,,,2,11,9,10,10,1,0,0,0,1
Al Taubenberger,,,,,,,,0,9,11,9,1,0,0,0,1
David Oh,,,,,,,,,1,9,9,0,0,0,0,1
Terry Tracy,,,,,,,,,,0,8,0,0,0,0,1
Dennis M O Brien,,,,,,,,,,,1,1,0,0,0,1
Kristin Combs,,,,,,,,,,,,0,1,1,1,1
Andrew C Stober,,,,,,,,,,,,,0,1,1,1
John Staggs,,,,,,,,,,,,,,0,1,1
Sheila E Armstrong,,,,,,,,,,,,,,,0,1
Total,83,75,75,71,70,67,14,13,13,12,11,2,1,1,1,1
,District Council 7th District,Council At Large,,,,,,,,,,,,,,2
,Maria Quinones Sanchez,Derek S Green,Helen Gym,Allan Domb,Blondell Reynolds Brown,William K Greenlee,Daniel Tinney,Al Taubenberger,Terry Tracy,David Oh,Dennis M O Brien,Andrew C Stober,Kristin Combs,John Staggs,Sheila E Armstrong,2
Maria Quinones Sanchez,2,48,48,46,44,45,1,1,1,1,0,0,0,0,0,2
Derek S Green,,1,46,45,44,45,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,0,46,45,45,1,1,1,0,0,0,0,0,0,2
Allan Domb,,,,1,44,45,1,1,1,0,0,0,0,0,0,2
Blondell Reynolds Brown,,,,,1,44,0,0,0,0,0,0,0,0,0,2
William K Greenlee,,,,,,0,0,0,0,0,0,0,0,0,0,2
Daniel Tinney,,,,,,,1,4,4,2,3,1,1,0,0,2
Al Taubenberger,,,,,,,,0,4,2,2,1,1,0,0,2
Terry Tracy,,,,,,,,,0,2,2,1,1,0,0,2
David Oh,,,,,,,,,,0,2,0,0,0,0,2
Dennis M O Brien,,,,,,,,,,,0,0,0,0,0,2
Andrew C Stober,,,,,,,,,,,,0,1,0,0,2
Kristin Combs,,,,,,,,,,,,,0,0,0,2
John Staggs,,,,,,,,,,,,,,0,0,2
Sheila E Armstrong,,,,,,,,,,,,,,,0,2
Total,54,50,50,47,46,45,6,4,4,3,3,1,1,0,0,2
,District Council 7th District,Council At Large,,,,,,,,,,,,,,3
,Maria Quinones Sanchez,Blondell Reynolds Brown,Derek S Green,Allan Domb,Helen Gym,William K Greenlee,Dennis M O Brien,David Oh,Al Taubenberger,Daniel Tinney,Terry Tracy,Kristin Combs,Andrew C Stober,John Staggs,Sheila E Armstrong,3
Maria Quinones Sanchez,3,40,41,41,41,41,8,7,5,5,2,1,0,0,0,3
Blondell Reynolds Brown,,1,39,38,38,41,3,3,2,1,0,0,0,0,0,3
Derek S Green,,,1,38,37,39,2,3,1,1,0,0,0,0,0,3
Allan Domb,,,,1,38,38,3,2,4,3,1,0,0,0,0,3
Helen Gym,,,,,1,39,4,3,2,0,0,1,0,0,0,3
William K Greenlee,,,,,,0,3,4,2,1,1,1,0,0,0,3
Dennis M O Brien,,,,,,,1,11,8,7,6,1,0,0,0,3
David Oh,,,,,,,,0,7,8,6,1,0,0,0,3
Al Taubenberger,,,,,,,,,1,7,6,0,0,0,0,3
Daniel Tinney,,,,,,,,,,0,7,0,0,0,0,3
Terry Tracy,,,,,,,,,,,0,0,0,0,0,3
Kristin Combs,,,,,,,,,,,,0,0,0,0,3
Andrew C Stober,,,,,,,,,,,,,0,0,0,3
John Staggs,,,,,,,,,,,,,,0,0,3
Sheila E Armstrong,,,,,,,,,,,,,,,0,3
Total,55,44,44,43,43,43,14,13,12,11,7,1,0,0,0,3
,District Council 7th District,Council At Large,,,,,,,,,,,,,,4
,Maria Quinones Sanchez,Derek S Green,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Helen Gym,Daniel Tinney,David Oh,Dennis M O Brien,Al Taubenberger,Terry Tracy,Sheila E Armstrong,Andrew C Stober,John Staggs,Kristin Combs,4
Maria Quinones Sanchez,1,81,74,72,68,69,6,9,8,5,4,0,0,0,0,4
Derek S Green,,1,70,68,66,68,2,5,4,2,0,0,0,0,0,4
Blondell Reynolds Brown,,,1,70,67,67,1,5,4,1,1,0,0,0,0,4
William K Greenlee,,,,2,69,66,2,6,3,3,2,0,0,0,0,4
Allan Domb,,,,,2,66,3,3,0,3,3,0,0,0,0,4
Helen Gym,,,,,,0,2,4,3,1,1,0,0,0,0,4
Daniel Tinney,,,,,,,3,5,6,7,8,0,0,0,0,4
David Oh,,,,,,,,0,8,5,4,0,0,0,0,4
Dennis M O Brien,,,,,,,,,1,5,4,0,0,0,0,4
Al Taubenberger,,,,,,,,,,0,7,0,0,0,0,4
Terry Tracy,,,,,,,,,,,0,0,0,0,0,4
Sheila E Armstrong,,,,,,,,,,,,1,0,0,0,4
Andrew C Stober,,,,,,,,,,,,,0,0,0,4
John Staggs,,,,,,,,,,,,,,0,0,4
Kristin Combs,,,,,,,,,,,,,,,0,4
Total,96,85,77,77,73,72,14,12,11,9,8,1,0,0,0,4
,District Council 7th District,Council At Large,,,,,,,,,,,,,,5
,Maria Quinones Sanchez,Derek S Green,Allan Domb,Helen Gym,William K Greenlee,Blondell Reynolds Brown,Dennis M O Brien,Daniel Tinney,Terry Tracy,Al Taubenberger,David Oh,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,5
Maria Quinones Sanchez,1,44,40,39,38,39,4,4,4,4,4,1,1,1,0,5
Derek S Green,,0,44,44,43,41,3,2,4,1,1,1,1,1,0,5
Allan Domb,,,1,44,42,40,3,2,2,1,2,1,1,1,0,5
Helen Gym,,,,0,43,40,1,1,2,0,1,1,0,0,0,5
William K Greenlee,,,,,1,41,2,1,1,0,1,0,0,0,0,5
Blondell Reynolds Brown,,,,,,0,1,0,1,0,0,0,1,1,0,5
