col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Commonwealth Court,,City Commissioners,,,1
,Michael Wojcik,Paul Lalley,Anthony Clark,Lisa M Deeley,Al Schmidt,1
Michael Wojcik,3,0,86,87,1,1
Paul Lalley,,0,0,0,0,1
Anthony Clark,,,6,82,0,1
Lisa M Deeley,,,,2,1,1
Al Schmidt,,,,,0,1
Total,95,0,93,90,1,1
,Judge Of The Commonwealth Court,,City Commissioners,,,2
,Michael Wojcik,Paul Lalley,Anthony Clark,Lisa M Deeley,Al Schmidt,2
Michael Wojcik,4,0,116,115,4,2
Paul Lalley,,0,0,0,2,2
Anthony Clark,,,6,111,1,2
Lisa M Deeley,,,,7,2,2
Al Schmidt,,,,,0,2
Total,128,2,125,125,6,2
,City Commissioners,,,Judge Of The Commonwealth Court,,3
,Anthony Clark,Lisa M Deeley,Al Schmidt,Michael Wojcik,Paul Lalley,3
Anthony Clark,1,92,1,97,0,3
Lisa M Deeley,,3,0,90,0,3
Al Schmidt,,,0,1,2,3
Michael Wojcik,,,,3,0,3
Paul Lalley,,,,,1,3
Total,103,98,3,103,3,3
,Judge Of The Commonwealth Court,,City Commissioners,,,4
,Michael Wojcik,Paul Lalley,Anthony Clark,Lisa M Deeley,Al Schmidt,4
Michael Wojcik,1,0,98,97,0,4
Paul Lalley,,0,0,0,0,4
Anthony Clark,,,4,92,0,4
Lisa M Deeley,,,,1,0,4
Al Schmidt,,,,,0,4
Total,104,0,102,98,0,4
,City Commissioners,,,Judge Of The Commonwealth Court,,5
,Anthony Clark,Lisa M Deeley,Al Schmidt,Michael Wojcik,Paul Lalley,5
Anthony Clark,4,92,0,93,1,5
Lisa M Deeley,,1,0,92,1,5
Al Schmidt,,,0,0,0,5
Michael Wojcik,,,,0,0,5
Paul Lalley,,,,,0,5
Total,100,96,0,96,1,5
,Judge Of The Commonwealth Court,,City Commissioners,,,6
,Michael Wojcik,Paul Lalley,Anthony Clark,Lisa M Deeley,Al Schmidt,6
Michael Wojcik,16,0,108,92,2,6
Paul Lalley,,0,2,2,2,6
Anthony Clark,,,7,85,1,6
Lisa M Deeley,,,,0,1,6
Al Schmidt,,,,,0,6
Total,135,4,119,96,4,6
,Judge Of The Commonwealth Court,,City Commissioners,,,7
,Michael Wojcik,Paul Lalley,Anthony Clark,Lisa M Deeley,Al Schmidt,7
Michael Wojcik,6,0,130,122,2,7
Paul Lalley,,0,2,2,2,7
Anthony Clark,,,4,120,1,7
Lisa M Deeley,,,,1,1,7
Al Schmidt,,,,,0,7
Total,141,4,137,126,4,7
,Judge Of The Commonwealth Court,,City Commissioners,,,8
,Michael Wojcik,Paul Lalley,Anthony Clark,Lisa M Deeley,Al Schmidt,8
Michael Wojcik,7,0,131,130,5,8
Paul Lalley,,3,1,1,2,8
Anthony Clark,,,16,116,3,8
Lisa M Deeley,,,,2,3,8
Al Schmidt,,,,,0,8
Total,157,5,152,137,7,8
