col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,1
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,1
Kevin M Dougherty,9,73,72,2,0,0,0,74,3,1
David Wecht,,1,72,2,0,0,0,74,3,1
Christine Donohue,,,0,0,1,0,1,71,5,1
Judy Olson,,,,0,10,9,1,2,9,1
Anne Covey,,,,,0,9,2,0,10,1
Mike George,,,,,,0,0,0,8,1
Paul P Panepinto,,,,,,,0,0,2,1
Ronald R Donatucci,,,,,,,,1,0,1
Ross Feinberg,,,,,,,,,0,1
Total,87,79,78,12,11,9,2,82,14,1
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,2
,Kevin M Dougherty,David Wecht,Christine Donohue,Mike George,Anne Covey,Judy Olson,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,2
Kevin M Dougherty,10,41,41,1,1,0,0,42,2,2
David Wecht,,3,41,1,1,0,0,36,2,2
Christine Donohue,,,0,0,0,0,0,35,1,2
Mike George,,,,0,5,5,0,0,7,2
Anne Covey,,,,,0,5,0,1,5,2
Judy Olson,,,,,,0,0,0,5,2
Paul P Panepinto,,,,,,,0,0,0,2
Ronald R Donatucci,,,,,,,,0,0,2
Ross Feinberg,,,,,,,,,0,2
Total,63,48,45,7,6,5,0,47,8,2
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,3
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,3
Kevin M Dougherty,6,77,76,0,1,0,0,84,1,3
Christine Donohue,,0,78,2,0,1,0,78,1,3
David Wecht,,,2,1,0,0,0,76,0,3
Judy Olson,,,,0,4,5,0,2,3,3
Mike George,,,,,0,4,0,0,4,3
Anne Covey,,,,,,0,0,1,3,3
Paul P Panepinto,,,,,,,0,0,0,3
Ronald R Donatucci,,,,,,,,0,0,3
Ross Feinberg,,,,,,,,,0,3
Total,95,82,81,6,6,5,0,90,5,3
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,4
,Christine Donohue,Kevin M Dougherty,David Wecht,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,4
Christine Donohue,3,33,35,0,0,0,0,37,0,4
Kevin M Dougherty,,6,32,0,0,0,0,35,0,4
David Wecht,,,1,0,0,0,0,35,0,4
Anne Covey,,,,0,0,0,0,0,0,4
Judy Olson,,,,,0,0,0,0,0,4
Mike George,,,,,,0,0,0,0,4
Paul P Panepinto,,,,,,,0,0,0,4
Ronald R Donatucci,,,,,,,,0,0,4
Ross Feinberg,,,,,,,,,0,4
Total,41,41,37,0,0,0,0,40,0,4
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,5
,Kevin M Dougherty,David Wecht,Christine Donohue,Mike George,Judy Olson,Anne Covey,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,5
Kevin M Dougherty,9,81,80,2,1,0,0,90,0,5
David Wecht,,3,76,2,0,0,0,80,0,5
Christine Donohue,,,2,0,1,0,0,76,0,5
Mike George,,,,0,5,5,0,2,5,5
Judy Olson,,,,,0,5,0,1,5,5
Anne Covey,,,,,,0,0,0,5,5
Paul P Panepinto,,,,,,,0,0,0,5
Ronald R Donatucci,,,,,,,,2,0,5
Ross Feinberg,,,,,,,,,1,5
Total,106,87,83,7,6,5,0,96,6,5
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,6
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,6
Kevin M Dougherty,2,50,47,1,0,0,3,56,4,6
Christine Donohue,,1,47,2,1,0,3,51,4,6
David Wecht,,,0,0,1,0,0,44,3,6
Judy Olson,,,,0,4,4,0,0,5,6
Anne Covey,,,,,0,4,0,1,4,6
Mike George,,,,,,0,0,0,4,6
Paul P Panepinto,,,,,,,0,2,1,6
Ronald R Donatucci,,,,,,,,0,0,6
Ross Feinberg,,,,,,,,,0,6
Total,64,58,49,6,5,4,3,62,9,6
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,7
,Kevin M Dougherty,Christine Donohue,David Wecht,Mike George,Anne Covey,Judy Olson,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,7
Kevin M Dougherty,6,60,59,0,0,0,0,62,1,7
Christine Donohue,,2,59,0,0,0,0,60,1,7
David Wecht,,,2,1,0,0,0,58,1,7
Mike George,,,,0,7,7,0,1,8,7
Anne Covey,,,,,0,7,0,0,7,7
Judy Olson,,,,,,0,0,0,7,7
Paul P Panepinto,,,,,,,0,0,0,7
Ronald R Donatucci,,,,,,,,0,0,7
Ross Feinberg,,,,,,,,,0,7
Total,70,64,62,9,7,7,0,65,9,7
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,8
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne Covey,Judy Olson,Paul P Panepinto,Mike George,Ronald R Donatucci,Ross Feinberg,8
Kevin M Dougherty,4,70,68,1,0,0,0,72,3,8
Christine Donohue,,1,67,0,0,1,0,71,2,8
David Wecht,,,3,2,1,0,0,66,3,8
Anne Covey,,,,0,4,1,2,1,4,8
Judy Olson,,,,,0,1,2,1,3,8
Paul P Panepinto,,,,,,1,0,1,1,8
Mike George,,,,,,,0,0,2,8
Ronald R Donatucci,,,,,,,,0,0,8
Ross Feinberg,,,,,,,,,0,8
Total,81,75,73,5,4,3,2,77,6,8
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,9
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,9
Kevin M Dougherty,3,43,44,0,1,0,1,48,0,9
David Wecht,,1,44,1,1,0,0,46,1,9
Christine Donohue,,,1,1,0,0,1,44,1,9
Anne Covey,,,,0,3,3,0,0,4,9
Judy Olson,,,,,0,3,0,1,3,9
Mike George,,,,,,0,0,0,3,9
Paul P Panepinto,,,,,,,0,1,0,9
Ronald R Donatucci,,,,,,,,0,0,9
Ross Feinberg,,,,,,,,,0,9
Total,52,49,47,4,4,3,1,52,4,9
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,10
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,10
Kevin M Dougherty,6,54,53,2,0,2,0,55,2,10
Christine Donohue,,0,50,2,1,1,0,51,2,10
David Wecht,,,2,0,0,0,0,50,1,10
Judy Olson,,,,0,8,7,0,1,9,10
Anne Covey,,,,,0,6,0,0,8,10
Mike George,,,,,,0,0,1,7,10
Paul P Panepinto,,,,,,,0,0,0,10
Ronald R Donatucci,,,,,,,,0,0,10
Ross Feinberg,,,,,,,,,0,10
Total,69,57,57,10,8,8,0,59,10,10
,Justice Of The Supreme Court,,,,,,,Register Of Wills,,11
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ronald R Donatucci,Ross Feinberg,11
Kevin M Dougherty,7,68,67,1,1,1,0,67,4,11
David Wecht,,4,69,2,0,0,0,67,2,11
Christine Donohue,,,0,2,1,0,0,69,1,11
Judy Olson,,,,0,3,2,0,2,4,11
Anne Covey,,,,,0,3,0,1,3,11
Mike George,,,,,,0,0,0,3,11
Paul P Panepinto,,,,,,,0,0,0,11
Ronald R Donatucci,,,,,,,,0,0,11
