col_1,col_2,division
,District Council 2nd District,All
,Kenyatta Johnson,All
Kenyatta Johnson,"2,166",All
Total,"2,166",All
,District Council 2nd District,1
,Kenyatta Johnson,1
Kenyatta Johnson,62,1
Total,62,1
,District Council 2nd District,2
,Kenyatta Johnson,2
Kenyatta Johnson,116,2
Total,116,2
,District Council 2nd District,3
,Kenyatta Johnson,3
Kenyatta Johnson,137,3
Total,137,3
,District Council 2nd District,4
,Kenyatta Johnson,4
Kenyatta Johnson,112,4
Total,112,4
,District Council 2nd District,5
,Kenyatta Johnson,5
Kenyatta Johnson,85,5
Total,85,5
,District Council 2nd District,6
,Kenyatta Johnson,6
Kenyatta Johnson,117,6
Total,117,6
,District Council 2nd District,7
,Kenyatta Johnson,7
Kenyatta Johnson,96,7
Total,96,7
,District Council 2nd District,8
,Kenyatta Johnson,8
Kenyatta Johnson,139,8
Total,139,8
,District Council 2nd District,9
,Kenyatta Johnson,9
Kenyatta Johnson,98,9
Total,98,9
,District Council 2nd District,10
,Kenyatta Johnson,10
Kenyatta Johnson,43,10
Total,43,10
,District Council 2nd District,11
,Kenyatta Johnson,11
Kenyatta Johnson,37,11
Total,37,11
,District Council 2nd District,12
,Kenyatta Johnson,12
Kenyatta Johnson,109,12
Total,109,12
,District Council 2nd District,13
,Kenyatta Johnson,13
Kenyatta Johnson,80,13
Total,80,13
,District Council 2nd District,14
,Kenyatta Johnson,14
Kenyatta Johnson,58,14
Total,58,14
,District Council 2nd District,15
,Kenyatta Johnson,15
Kenyatta Johnson,109,15
Total,109,15
,District Council 2nd District,16
,Kenyatta Johnson,16
Kenyatta Johnson,97,16
Total,97,16
,District Council 2nd District,17
,Kenyatta Johnson,17
Kenyatta Johnson,91,17
Total,91,17
,District Council 2nd District,18
,Kenyatta Johnson,18
Kenyatta Johnson,77,18
Total,77,18
,District Council 2nd District,19
,Kenyatta Johnson,19
Kenyatta Johnson,44,19
Total,44,19
,District Council 2nd District,20
,Kenyatta Johnson,20
Kenyatta Johnson,75,20
Total,75,20
,District Council 2nd District,21
,Kenyatta Johnson,21
Kenyatta Johnson,228,21
Total,228,21
,District Council 2nd District,22
,Kenyatta Johnson,22
Kenyatta Johnson,39,22
Total,39,22
,District Council 2nd District,23
,Kenyatta Johnson,23
Kenyatta Johnson,117,23
Total,117,23
