col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Sheriff,,All
,Ken Powell,Tracy B Roman,Scott Diclaudio,Mia Roberts Perez,Abbe Fletman,Kai Scott,Lyris Younge,Michael Fanning,Stephanie M Sawyer,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Vincent Furlong,Jewell Williams,Christopher Sawyer,All
Ken Powell,53,"1,394","1,231","1,372","1,360","1,357","1,332","1,218","1,202","1,196","1,172","1,150",262,"1,241",252,All
Tracy B Roman,,27,"1,226","1,353","1,337","1,336","1,333","1,184","1,199","1,172","1,151","1,124",255,"1,197",230,All
Scott Diclaudio,,,59,"1,179","1,175","1,163","1,167","1,226","1,211","1,218","1,161","1,157",312,"1,085",286,All
Mia Roberts Perez,,,,17,"1,351","1,352","1,319","1,177","1,199","1,182","1,167","1,145",233,"1,170",233,All
Abbe Fletman,,,,,4,"1,353","1,318","1,178","1,186","1,180","1,160","1,142",222,"1,140",230,All
Kai Scott,,,,,,6,"1,316","1,172","1,177","1,174","1,160","1,133",212,"1,142",215,All
Lyris Younge,,,,,,,5,"1,146","1,148","1,151","1,132","1,113",215,"1,127",197,All
Michael Fanning,,,,,,,,21,"1,205","1,206","1,173","1,152",258,"1,023",244,All
Stephanie M Sawyer,,,,,,,,,3,"1,196","1,187","1,144",242,"1,035",240,All
Chris Mallios,,,,,,,,,,4,"1,165","1,152",249,"1,005",239,All
Daine Grey Jr,,,,,,,,,,,3,"1,128",216,996,204,All
Rainy Papademetriou,,,,,,,,,,,,7,182,986,200,All
Vincent Furlong,,,,,,,,,,,,,79,118,720,All
Jewell Williams,,,,,,,,,,,,,,108,0,All
Christopher Sawyer,,,,,,,,,,,,,,,70,All
Total,"1,675","1,564","1,527","1,511","1,459","1,456","1,402","1,369","1,342","1,317","1,259","1,255",961,"1,567",974,All
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Sheriff,,1
,Ken Powell,Scott Diclaudio,Tracy B Roman,Mia Roberts Perez,Abbe Fletman,Kai Scott,Lyris Younge,Stephanie M Sawyer,Michael Fanning,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Vincent Furlong,Jewell Williams,Christopher Sawyer,1
Ken Powell,2,71,83,81,84,80,78,68,67,66,66,63,13,74,11,1
Scott Diclaudio,,4,70,68,67,66,67,73,70,68,67,67,16,63,16,1
