col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Justice Of The Supreme Court,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Mike George,Paul P Panepinto,Anne Covey,Ken Powell,Kai Scott,Tracy B Roman,Lyris Younge,Mia Roberts Perez,Abbe Fletman,Stephanie M Sawyer,Daine Grey Jr,Chris Mallios,Rainy Papademetriou,Michael Fanning,Scott Diclaudio,Vincent Furlong,1
Kevin M Dougherty,5,74,72,0,0,1,0,78,73,67,65,64,63,50,46,42,44,42,42,7,1
David Wecht,,1,72,0,1,0,0,67,66,64,63,59,60,46,44,43,44,43,42,6,1
Christine Donohue,,,1,0,1,0,0,66,65,62,63,58,59,46,44,41,42,43,40,7,1
Judy Olson,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mike George,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Paul P Panepinto,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Anne Covey,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ken Powell,,,,,,,,0,71,71,65,65,67,48,46,44,43,44,45,8,1
Kai Scott,,,,,,,,,0,67,66,66,67,49,46,43,45,44,42,7,1
Tracy B Roman,,,,,,,,,,0,65,64,64,48,45,44,43,44,45,8,1
Lyris Younge,,,,,,,,,,,0,63,64,47,46,43,43,44,42,7,1
Mia Roberts Perez,,,,,,,,,,,,0,61,48,46,44,43,42,44,6,1
Abbe Fletman,,,,,,,,,,,,,0,46,43,42,43,42,42,7,1
Stephanie M Sawyer,,,,,,,,,,,,,,0,47,43,45,43,43,7,1
Daine Grey Jr,,,,,,,,,,,,,,,0,42,42,43,41,5,1
Chris Mallios,,,,,,,,,,,,,,,,0,40,40,41,5,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,0,41,40,4,1
Michael Fanning,,,,,,,,,,,,,,,,,,0,41,5,1
Scott Diclaudio,,,,,,,,,,,,,,,,,,,0,6,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,0,1
Total,102,83,79,1,1,1,0,87,79,76,71,70,68,53,49,46,46,45,45,10,1
,Justice Of The Supreme Court,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Ken Powell,Tracy B Roman,Kai Scott,Mia Roberts Perez,Lyris Younge,Abbe Fletman,Stephanie M Sawyer,Daine Grey Jr,Rainy Papademetriou,Chris Mallios,Michael Fanning,Scott Diclaudio,Vincent Furlong,2
Kevin M Dougherty,5,101,99,1,0,0,0,103,100,99,99,96,94,88,88,87,85,87,85,3,2
Christine Donohue,,1,100,1,0,0,0,96,99,96,95,96,94,88,86,84,85,85,87,3,2
David Wecht,,,1,0,0,0,0,95,95,94,93,95,92,87,86,84,84,84,84,3,2
Judy Olson,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2
Anne Covey,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mike George,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Paul P Panepinto,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ken Powell,,,,,,,,0,98,97,99,97,96,90,88,86,87,86,86,3,2
Tracy B Roman,,,,,,,,,1,98,99,98,96,89,87,87,87,88,89,3,2
