col_1,col_2,division
,District Council 3rd District,1
,Jannie L Blackwell,1
Jannie L Blackwell,101,1
Total,101,1
,District Council 3rd District,2
,Jannie L Blackwell,2
Jannie L Blackwell,111,2
Total,111,2
,District Council 3rd District,3
,Jannie L Blackwell,3
Jannie L Blackwell,153,3
Total,153,3
,District Council 3rd District,4
,Jannie L Blackwell,4
Jannie L Blackwell,184,4
Total,184,4
,District Council 3rd District,5
,Jannie L Blackwell,5
Jannie L Blackwell,113,5
Total,113,5
,District Council 3rd District,6
,Jannie L Blackwell,6
Jannie L Blackwell,130,6
Total,130,6
,District Council 3rd District,7
,Jannie L Blackwell,7
Jannie L Blackwell,124,7
Total,124,7
,District Council 3rd District,8
,Jannie L Blackwell,8
Jannie L Blackwell,133,8
Total,133,8
,District Council 3rd District,9
,Jannie L Blackwell,9
Jannie L Blackwell,167,9
Total,167,9
,District Council 3rd District,10
,Jannie L Blackwell,10
Jannie L Blackwell,136,10
Total,136,10
,District Council 3rd District,11
,Jannie L Blackwell,11
Jannie L Blackwell,171,11
Total,171,11
,District Council 3rd District,12
,Jannie L Blackwell,12
Jannie L Blackwell,142,12
Total,142,12
,District Council 3rd District,13
,Jannie L Blackwell,13
Jannie L Blackwell,110,13
Total,110,13
,District Council 3rd District,14
,Jannie L Blackwell,14
Jannie L Blackwell,167,14
Total,167,14
,District Council 3rd District,15
,Jannie L Blackwell,15
Jannie L Blackwell,161,15
Total,161,15
,District Council 3rd District,16
,Jannie L Blackwell,16
Jannie L Blackwell,163,16
Total,163,16
,District Council 3rd District,17
,Jannie L Blackwell,17
Jannie L Blackwell,172,17
Total,172,17
,District Council 3rd District,18
,Jannie L Blackwell,18
Jannie L Blackwell,174,18
Total,174,18
,District Council 3rd District,19
,Jannie L Blackwell,19
Jannie L Blackwell,198,19
Total,198,19
,District Council 3rd District,20
,Jannie L Blackwell,20
Jannie L Blackwell,124,20
Total,124,20
,District Council 3rd District,21
,Jannie L Blackwell,21
Jannie L Blackwell,67,21
Total,67,21
,District Council 3rd District,22
,Jannie L Blackwell,22
Jannie L Blackwell,109,22
Total,109,22
,District Council 3rd District,All
,Jannie L Blackwell,All
Jannie L Blackwell,"3,110",All
Total,"3,110",All
