col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,District Council 9th District,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Ken Powell,Mia Roberts Perez,Tracy B Roman,Kai Scott,Lyris Younge,Abbe Fletman,Stephanie M Sawyer,Daine Grey Jr,Michael Fanning,Chris Mallios,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,All
Cherelle Parker,"1,322",0,0,"17,401","16,960","16,874","16,848","16,387","16,014","14,345","14,033","13,679","13,537","13,530","13,347",715,All
Kevin Strickland,,199,0,563,560,584,551,484,514,581,503,512,498,430,490,"1,238",All
Bobbie T Curry,,,25,98,109,100,97,94,93,99,88,85,84,80,77,56,All
Ken Powell,,,,329,"19,170","19,175","19,170","18,894","18,802","16,423","16,246","16,111","15,931","15,805","15,742","1,049",All
Mia Roberts Perez,,,,,229,"19,245","19,251","18,961","18,786","16,588","16,329","16,042","15,980","15,898","15,731","1,072",All
Tracy B Roman,,,,,,160,"19,084","18,884","18,745","16,492","16,229","16,023","15,903","15,812","15,762","1,087",All
Kai Scott,,,,,,,124,"18,996","18,835","16,524","16,289","16,054","15,954","15,866","15,695","1,040",All
Lyris Younge,,,,,,,,76,"18,628","16,281","16,176","15,969","15,847","15,778","15,668","1,001",All
Abbe Fletman,,,,,,,,,43,"16,116","15,995","15,916","15,814","15,721","15,612",971,All
Stephanie M Sawyer,,,,,,,,,,38,"16,508","16,194","16,077","15,989","15,814","1,087",All
Daine Grey Jr,,,,,,,,,,,24,"16,122","15,945","15,884","15,721","1,006",All
Michael Fanning,,,,,,,,,,,,9,"15,928","15,796","15,733","1,008",All
Chris Mallios,,,,,,,,,,,,,7,"15,755","15,679",947,All
Rainy Papademetriou,,,,,,,,,,,,,,11,"15,532",847,All
Scott Diclaudio,,,,,,,,,,,,,,,12,871,All
Vincent Furlong,,,,,,,,,,,,,,,,176,All
Total,"21,423","1,900",178,"21,404","20,890","20,723","20,646","19,959","19,510","17,514","17,040","16,622","16,415","16,336","16,189","2,350",All
