col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Judge Of The Commonwealth Court,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Michael Wojcik,Paul Lalley,Ken Powell,Mia Roberts Perez,Tracy B Roman,Kai Scott,Abbe Fletman,Michael Fanning,Lyris Younge,Chris Mallios,Stephanie M Sawyer,Scott Diclaudio,Rainy Papademetriou,Daine Grey Jr,Vincent Furlong,All
Michael Wojcik,388,0,"3,311","3,197","3,087","3,113","3,079","2,736","2,888","2,713","2,785","2,668","2,679","2,666",316,All
Paul Lalley,,60,127,115,120,116,108,146,96,128,129,157,104,114,603,All
Ken Powell,,,210,"3,114","3,047","3,087","3,063","2,865","2,943","2,811","2,745","2,665","2,732","2,673",326,All
Mia Roberts Perez,,,,37,"3,075","3,130","3,121","2,720","2,956","2,731","2,802","2,630","2,700","2,724",324,All
Tracy B Roman,,,,,33,"3,002","2,997","2,683","2,964","2,640","2,720","2,652","2,581","2,628",332,All
Kai Scott,,,,,,18,"3,112","2,716","2,938","2,730","2,744","2,587","2,684","2,700",300,All
Abbe Fletman,,,,,,,18,"2,700","2,927","2,730","2,740","2,587","2,675","2,687",295,All
Michael Fanning,,,,,,,,32,"2,605","2,824","2,751","2,687","2,745","2,707",360,All
Lyris Younge,,,,,,,,,8,"2,584","2,604","2,555","2,529","2,571",279,All
Chris Mallios,,,,,,,,,,7,"2,747","2,638","2,772","2,691",319,All
Stephanie M Sawyer,,,,,,,,,,,8,"2,651","2,694","2,739",328,All
Scott Diclaudio,,,,,,,,,,,,57,"2,562","2,584",354,All
Rainy Papademetriou,,,,,,,,,,,,,12,"2,639",277,All
Daine Grey Jr,,,,,,,,,,,,,,5,298,All
Vincent Furlong,,,,,,,,,,,,,,,47,All
Total,"4,354",732,"3,891","3,483","3,376","3,338","3,301","3,111","3,080","3,012","3,003","2,989","2,963","2,854","1,005",All
,Judge Of The Commonwealth Court,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Michael Wojcik,Paul Lalley,Tracy B Roman,Ken Powell,Kai Scott,Lyris Younge,Mia Roberts Perez,Abbe Fletman,Scott Diclaudio,Rainy Papademetriou,Chris Mallios,Stephanie M Sawyer,Daine Grey Jr,Michael Fanning,Vincent Furlong,1
Michael Wojcik,3,0,43,37,36,36,34,35,34,33,30,31,32,32,6,1
Paul Lalley,,2,4,2,2,2,2,2,3,3,4,3,2,2,9,1
Tracy B Roman,,,3,37,38,38,38,37,37,35,35,36,35,35,7,1
Ken Powell,,,,0,38,37,35,36,33,33,32,32,33,33,5,1
Kai Scott,,,,,0,38,36,38,34,35,33,33,34,34,6,1
Lyris Younge,,,,,,0,37,36,33,33,32,33,34,33,5,1
Mia Roberts Perez,,,,,,,0,34,32,33,31,33,32,31,4,1
Abbe Fletman,,,,,,,,1,33,34,33,32,33,33,5,1
Scott Diclaudio,,,,,,,,,0,36,35,34,34,35,7,1
Rainy Papademetriou,,,,,,,,,,0,34,34,34,34,7,1
Chris Mallios,,,,,,,,,,,0,33,33,33,7,1
Stephanie M Sawyer,,,,,,,,,,,,0,34,33,6,1
Daine Grey Jr,,,,,,,,,,,,,0,34,6,1
Michael Fanning,,,,,,,,,,,,,,0,6,1
Vincent Furlong,,,,,,,,,,,,,,,0,1
Total,54,13,53,41,40,40,40,39,39,38,36,36,35,35,15,1
,Judge Of The Commonwealth Court,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Michael Wojcik,Paul Lalley,Mia Roberts Perez,Ken Powell,Abbe Fletman,Kai Scott,Lyris Younge,Rainy Papademetriou,Tracy B Roman,Stephanie M Sawyer,Chris Mallios,Daine Grey Jr,Michael Fanning,Scott Diclaudio,Vincent Furlong,2
Michael Wojcik,2,0,54,52,48,48,47,46,46,45,44,44,43,42,2,2
Paul Lalley,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Mia Roberts Perez,,,0,50,48,48,46,44,46,44,44,44,43,41,2,2
Ken Powell,,,,1,48,47,46,43,45,43,43,43,43,40,2,2
Abbe Fletman,,,,,0,47,46,42,45,43,42,43,43,40,1,2
Kai Scott,,,,,,0,45,42,45,43,42,44,43,40,1,2
Lyris Younge,,,,,,,0,41,45,42,40,41,41,41,1,2
Rainy Papademetriou,,,,,,,,0,41,44,43,42,42,41,0,2
Tracy B Roman,,,,,,,,,0,42,41,41,41,41,1,2
Stephanie M Sawyer,,,,,,,,,,0,43,43,43,42,1,2
Chris Mallios,,,,,,,,,,,0,42,42,40,1,2
Daine Grey Jr,,,,,,,,,,,,0,43,40,1,2
Michael Fanning,,,,,,,,,,,,,0,41,1,2
Scott Diclaudio,,,,,,,,,,,,,,0,1,2
Vincent Furlong,,,,,,,,,,,,,,,0,2
Total,60,2,54,53,48,48,47,46,46,45,44,44,44,43,4,2
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Judge Of The Commonwealth Court,,3
,Ken Powell,Tracy B Roman,Kai Scott,Lyris Younge,Mia Roberts Perez,Michael Fanning,Abbe Fletman,Daine Grey Jr,Stephanie M Sawyer,Chris Mallios,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,Michael Wojcik,Paul Lalley,3
Ken Powell,10,118,118,118,116,113,117,109,108,108,107,106,11,118,8,3
Tracy B Roman,,0,116,116,115,107,115,106,106,106,106,106,10,113,6,3
Kai Scott,,,0,114,114,109,116,110,108,108,108,104,9,113,4,3
Lyris Younge,,,,0,114,108,114,107,108,107,107,105,10,112,6,3
Mia Roberts Perez,,,,,1,107,116,105,105,105,105,104,8,111,5,3
Michael Fanning,,,,,,2,109,110,108,107,108,106,13,108,6,3
Abbe Fletman,,,,,,,0,108,106,107,107,104,8,112,4,3
Daine Grey Jr,,,,,,,,0,108,108,107,103,11,105,5,3
Stephanie M Sawyer,,,,,,,,,1,106,106,103,9,104,5,3
Chris Mallios,,,,,,,,,,0,106,103,9,104,4,3
Rainy Papademetriou,,,,,,,,,,,0,104,9,102,5,3
Scott Diclaudio,,,,,,,,,,,,0,10,100,7,3
Vincent Furlong,,,,,,,,,,,,,0,7,14,3
Michael Wojcik,,,,,,,,,,,,,,13,0,3
Paul Lalley,,,,,,,,,,,,,,,3,3
Total,141,123,121,120,120,120,119,113,111,110,109,109,23,141,18,3
,Judge Of The Commonwealth Court,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,4
,Michael Wojcik,Paul Lalley,Mia Roberts Perez,Abbe Fletman,Tracy B Roman,Ken Powell,Lyris Younge,Kai Scott,Rainy Papademetriou,Stephanie M Sawyer,Michael Fanning,Scott Diclaudio,Chris Mallios,Daine Grey Jr,Vincent Furlong,4
Michael Wojcik,6,0,50,45,45,45,44,44,36,35,34,35,33,34,3,4
Paul Lalley,,1,2,3,3,2,2,1,1,2,2,2,2,1,18,4
