col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor,,,,,Judge Of The Municipal Court,,,1
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Sharon Williams Losier,Joffie C Pittman,Christine Hope,1
Jim Kenney,26,0,0,0,0,99,97,93,1
Melissa Murray Bailey,,1,0,0,0,6,6,5,1
Boris Kindij,,,0,0,0,1,1,1,1
James Foster,,,,0,0,0,1,0,1
Osborne Hart,,,,,0,0,0,0,1
Sharon Williams Losier,,,,,,2,92,90,1
Joffie C Pittman,,,,,,,1,86,1
Christine Hope,,,,,,,,0,1
Total,143,8,1,1,0,108,106,99,1
,Mayor,,,,,Judge Of The Municipal Court,,,2
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Christine Hope,Sharon Williams Losier,Joffie C Pittman,2
Jim Kenney,10,0,0,0,0,94,92,90,2
Melissa Murray Bailey,,0,0,0,0,2,1,1,2
James Foster,,,0,0,0,1,0,0,2
Boris Kindij,,,,0,0,0,0,0,2
Osborne Hart,,,,,0,0,0,0,2
Christine Hope,,,,,,1,88,88,2
Sharon Williams Losier,,,,,,,1,89,2
Joffie C Pittman,,,,,,,,2,2
Total,111,2,1,0,0,98,94,93,2
,Mayor,,,,,Judge Of The Municipal Court,,,3
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,Osborne Hart,James Foster,Christine Hope,Sharon Williams Losier,Joffie C Pittman,3
Jim Kenney,17,0,0,0,0,92,93,88,3
Melissa Murray Bailey,,0,0,0,0,9,5,5,3
Boris Kindij,,,1,0,0,0,0,0,3
Osborne Hart,,,,0,0,1,1,1,3
James Foster,,,,,0,0,0,0,3
Christine Hope,,,,,,1,87,88,3
Sharon Williams Losier,,,,,,,1,88,3
Joffie C Pittman,,,,,,,,0,3
Total,124,9,1,1,0,103,100,94,3
,Mayor,,,,,Judge Of The Municipal Court,,,4
,Jim Kenney,Osborne Hart,Melissa Murray Bailey,Boris Kindij,James Foster,Sharon Williams Losier,Christine Hope,Joffie C Pittman,4
Jim Kenney,13,0,0,0,0,115,113,112,4
Osborne Hart,,2,0,0,0,1,1,1,4
Melissa Murray Bailey,,,0,0,0,1,1,0,4
Boris Kindij,,,,0,0,0,0,0,4
James Foster,,,,,0,0,0,0,4
Sharon Williams Losier,,,,,,0,107,109,4
Christine Hope,,,,,,,1,106,4
Joffie C Pittman,,,,,,,,0,4
Total,141,3,2,0,0,118,117,114,4
,Mayor,,,,,Judge Of The Municipal Court,,,5
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Christine Hope,Sharon Williams Losier,Joffie C Pittman,5
Jim Kenney,12,0,0,0,0,59,56,52,5
Melissa Murray Bailey,,0,0,0,0,2,2,1,5
Boris Kindij,,,0,0,0,0,0,0,5
James Foster,,,,0,0,0,0,0,5
Osborne Hart,,,,,0,0,0,0,5
Christine Hope,,,,,,1,52,49,5
Sharon Williams Losier,,,,,,,1,48,5
Joffie C Pittman,,,,,,,,1,5
Total,80,3,0,0,0,62,59,54,5
,Mayor,,,,,Judge Of The Municipal Court,,,6
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Christine Hope,Sharon Williams Losier,Joffie C Pittman,6
Jim Kenney,21,0,0,0,0,99,96,95,6
Melissa Murray Bailey,,0,0,0,0,2,1,1,6
Boris Kindij,,,0,0,0,0,0,0,6
James Foster,,,,0,0,0,0,0,6
Osborne Hart,,,,,0,0,0,0,6
Christine Hope,,,,,,3,91,92,6
Sharon Williams Losier,,,,,,,1,92,6
Joffie C Pittman,,,,,,,,0,6
Total,130,2,0,0,0,105,100,98,6
,Mayor,,,,,Judge Of The Municipal Court,,,7
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Christine Hope,Sharon Williams Losier,Joffie C Pittman,7
Jim Kenney,12,0,0,0,0,119,120,114,7
Melissa Murray Bailey,,1,0,0,0,2,2,2,7
Boris Kindij,,,0,0,0,0,0,0,7
James Foster,,,,0,0,0,0,0,7
Osborne Hart,,,,,0,0,0,0,7
Christine Hope,,,,,,3,116,116,7
Sharon Williams Losier,,,,,,,0,117,7
Joffie C Pittman,,,,,,,,0,7
Total,141,4,0,0,0,127,126,120,7
,Mayor,,,,,Judge Of The Municipal Court,,,8
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Christine Hope,Joffie C Pittman,Sharon Williams Losier,8
Jim Kenney,11,0,0,0,0,48,50,51,8
Melissa Murray Bailey,,0,0,0,0,3,3,1,8
Boris Kindij,,,0,0,0,0,0,0,8
James Foster,,,,0,0,0,0,0,8
Osborne Hart,,,,,0,0,0,0,8
Christine Hope,,,,,,2,45,44,8
Joffie C Pittman,,,,,,,0,45,8
Sharon Williams Losier,,,,,,,,1,8
Total,72,4,0,0,0,53,53,53,8
,Mayor,,,,,Judge Of The Municipal Court,,,9
,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,Christine Hope,Sharon Williams Losier,Joffie C Pittman,9
Jim Kenney,6,0,0,0,0,64,66,62,9
Melissa Murray Bailey,,0,0,0,0,2,2,1,9
James Foster,,,0,0,0,1,1,1,9
Osborne Hart,,,,0,0,0,0,1,9
Boris Kindij,,,,,0,0,0,0,9
Christine Hope,,,,,,4,64,63,9
Sharon Williams Losier,,,,,,,1,64,9
Joffie C Pittman,,,,,,,,0,9
Total,76,2,1,1,0,71,71,66,9
,Mayor,,,,,Judge Of The Municipal Court,,,10
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Christine Hope,Sharon Williams Losier,Joffie C Pittman,10
Jim Kenney,10,0,0,0,0,51,50,43,10
Melissa Murray Bailey,,1,0,0,0,4,2,2,10
James Foster,,,0,0,0,1,1,0,10
Boris Kindij,,,,0,0,0,0,0,10
Osborne Hart,,,,,0,0,0,0,10
Christine Hope,,,,,,1,47,44,10
Sharon Williams Losier,,,,,,,0,47,10
Joffie C Pittman,,,,,,,,0,10
Total,68,5,1,0,0,58,55,47,10
,Mayor,,,,,Judge Of The Municipal Court,,,11
,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,Sharon Williams Losier,Christine Hope,Joffie C Pittman,11
Jim Kenney,20,0,0,0,0,95,89,88,11
Melissa Murray Bailey,,0,0,0,0,2,6,1,11
James Foster,,,0,0,0,1,0,1,11
Osborne Hart,,,,1,0,0,0,0,11
Boris Kindij,,,,,0,0,0,0,11
Sharon Williams Losier,,,,,,2,88,86,11
Christine Hope,,,,,,,3,85,11
Joffie C Pittman,,,,,,,,3,11
Total,124,6,1,1,0,101,99,94,11
,Mayor,,,,,Judge Of The Municipal Court,,,12
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Sharon Williams Losier,Joffie C Pittman,Christine Hope,12
Jim Kenney,16,0,0,0,0,64,54,51,12
Melissa Murray Bailey,,0,0,0,0,1,1,1,12
Boris Kindij,,,0,0,0,0,0,0,12
James Foster,,,,0,0,0,0,0,12
Osborne Hart,,,,,0,0,0,0,12
Sharon Williams Losier,,,,,,1,53,49,12
Joffie C Pittman,,,,,,,0,48,12
Christine Hope,,,,,,,,2,12
Total,84,2,0,0,0,66,55,54,12
,Mayor,,,,,Judge Of The Municipal Court,,,13
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Christine Hope,Sharon Williams Losier,Joffie C Pittman,13
Jim Kenney,8,0,0,0,0,85,80,78,13
Melissa Murray Bailey,,0,0,0,0,4,4,4,13
James Foster,,,0,0,0,0,0,1,13
Boris Kindij,,,,0,0,0,0,0,13
Osborne Hart,,,,,0,0,0,0,13
Christine Hope,,,,,,1,83,83,13
Sharon Williams Losier,,,,,,,2,83,13
Joffie C Pittman,,,,,,,,0,13
Total,99,4,1,0,0,94,90,86,13
,Mayor,,,,,Judge Of The Municipal Court,,,14
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Christine Hope,Joffie C Pittman,Sharon Williams Losier,14
Jim Kenney,12,0,0,0,0,68,64,65,14
Melissa Murray Bailey,,2,0,0,0,2,2,2,14
James Foster,,,0,0,0,2,0,0,14
Boris Kindij,,,,0,0,0,0,0,14
Osborne Hart,,,,,0,0,0,0,14
