col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Sheriff,,All
,Mia Roberts Perez,Ken Powell,Kai Scott,Abbe Fletman,Tracy B Roman,Lyris Younge,Stephanie M Sawyer,Michael Fanning,Chris Mallios,Rainy Papademetriou,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,Jewell Williams,Christopher Sawyer,All
Mia Roberts Perez,25,"1,384","1,441","1,413","1,374","1,350","1,289","1,253","1,261","1,268","1,251","1,182",144,"1,196",311,All
Ken Powell,,19,"1,404","1,394","1,358","1,348","1,266","1,264","1,257","1,232","1,236","1,192",141,"1,168",289,All
Kai Scott,,,5,"1,450","1,376","1,368","1,285","1,266","1,296","1,276","1,264","1,188",142,"1,165",310,All
Abbe Fletman,,,,6,"1,373","1,357","1,281","1,258","1,295","1,263","1,262","1,189",146,"1,141",309,All
Tracy B Roman,,,,,13,"1,375","1,263","1,237","1,229","1,212","1,216","1,204",160,"1,160",270,All
Lyris Younge,,,,,,6,"1,231","1,219","1,222","1,205","1,205","1,192",146,"1,118",252,All
Stephanie M Sawyer,,,,,,,3,"1,275","1,275","1,260","1,275","1,206",160,"1,052",296,All
Michael Fanning,,,,,,,,16,"1,275","1,245","1,263","1,221",164,"1,034",283,All
Chris Mallios,,,,,,,,,1,"1,257","1,258","1,208",156,"1,013",300,All
Rainy Papademetriou,,,,,,,,,,6,"1,245","1,182",132,"1,028",273,All
Daine Grey Jr,,,,,,,,,,,3,"1,192",139,"1,015",261,All
Scott Diclaudio,,,,,,,,,,,,2,144,995,230,All
Vincent Furlong,,,,,,,,,,,,,18,82,272,All
Jewell Williams,,,,,,,,,,,,,,67,0,All
Christopher Sawyer,,,,,,,,,,,,,,,77,All
Total,"1,611","1,556","1,554","1,529","1,512","1,431","1,403","1,387","1,363","1,352","1,324","1,267",382,"1,473",654,All
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Sheriff,,1
,Abbe Fletman,Mia Roberts Perez,Kai Scott,Ken Powell,Lyris Younge,Tracy B Roman,Stephanie M Sawyer,Rainy Papademetriou,Chris Mallios,Michael Fanning,Scott Diclaudio,Daine Grey Jr,Vincent Furlong,Jewell Williams,Christopher Sawyer,1
Abbe Fletman,0,148,151,150,147,148,130,130,132,129,126,128,11,123,31,1
Mia Roberts Perez,,0,151,145,146,147,132,130,127,128,125,128,12,124,32,1
Kai Scott,,,0,148,151,148,130,131,130,128,125,128,12,123,31,1
