col_1,col_2,col_3,division
,Judge Of The Commonwealth Court,,1
,Michael Wojcik,Paul Lalley,1
Michael Wojcik,242,0,1
Paul Lalley,,27,1
Total,242,27,1
,Judge Of The Commonwealth Court,,2
,Michael Wojcik,Paul Lalley,2
Michael Wojcik,141,0,2
Paul Lalley,,17,2
Total,141,17,2
,Judge Of The Commonwealth Court,,3
,Michael Wojcik,Paul Lalley,3
Michael Wojcik,86,0,3
Paul Lalley,,11,3
Total,86,11,3
,Judge Of The Commonwealth Court,,4
,Michael Wojcik,Paul Lalley,4
Michael Wojcik,56,0,4
Paul Lalley,,12,4
Total,56,12,4
,Judge Of The Commonwealth Court,,5
,Michael Wojcik,Paul Lalley,5
Michael Wojcik,127,0,5
Paul Lalley,,7,5
Total,127,7,5
,Judge Of The Commonwealth Court,,6
,Michael Wojcik,Paul Lalley,6
Michael Wojcik,205,0,6
Paul Lalley,,13,6
Total,205,13,6
,Judge Of The Commonwealth Court,,7
,Michael Wojcik,Paul Lalley,7
Michael Wojcik,257,0,7
Paul Lalley,,31,7
Total,257,31,7
,Judge Of The Commonwealth Court,,8
,Michael Wojcik,Paul Lalley,8
Michael Wojcik,224,0,8
Paul Lalley,,16,8
Total,224,16,8
,Judge Of The Commonwealth Court,,9
,Michael Wojcik,Paul Lalley,9
Michael Wojcik,184,0,9
Paul Lalley,,28,9
Total,184,28,9
,Judge Of The Commonwealth Court,,10
,Michael Wojcik,Paul Lalley,10
Michael Wojcik,103,0,10
Paul Lalley,,15,10
Total,103,15,10
,Judge Of The Commonwealth Court,,11
,Michael Wojcik,Paul Lalley,11
Michael Wojcik,119,0,11
Paul Lalley,,11,11
Total,119,11,11
,Judge Of The Commonwealth Court,,12
,Michael Wojcik,Paul Lalley,12
Michael Wojcik,122,0,12
Paul Lalley,,11,12
Total,122,11,12
,Judge Of The Commonwealth Court,,13
,Michael Wojcik,Paul Lalley,13
Michael Wojcik,181,0,13
Paul Lalley,,20,13
Total,181,20,13
,Judge Of The Commonwealth Court,,14
,Michael Wojcik,Paul Lalley,14
Michael Wojcik,129,0,14
Paul Lalley,,9,14
Total,129,9,14
,Judge Of The Commonwealth Court,,15
,Michael Wojcik,Paul Lalley,15
Michael Wojcik,164,0,15
Paul Lalley,,6,15
Total,164,6,15
,Judge Of The Commonwealth Court,,16
,Michael Wojcik,Paul Lalley,16
Michael Wojcik,192,0,16
Paul Lalley,,25,16
Total,192,25,16
,Judge Of The Commonwealth Court,,17
,Michael Wojcik,Paul Lalley,17
Michael Wojcik,252,0,17
Paul Lalley,,30,17
Total,252,30,17
,Judge Of The Commonwealth Court,,All
,Michael Wojcik,Paul Lalley,All
Michael Wojcik,"2,784",0,All
Paul Lalley,,289,All
Total,"2,784",289,All
