col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Justice Of The Supreme Court,,,,,,,Mayor,,,,,All
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,All
Kevin M Dougherty,106,"2,100","2,055",91,40,48,26,"2,590",189,11,2,3,All
Christine Donohue,,26,"2,059",72,28,21,24,"2,112",136,9,2,3,All
David Wecht,,,26,55,26,9,11,"2,046",118,11,1,2,All
Judy Olson,,,,4,316,329,12,84,361,7,0,1,All
Mike George,,,,,3,290,13,49,322,7,1,1,All
Anne Covey,,,,,,3,8,37,313,4,0,1,All
Paul P Panepinto,,,,,,,0,21,17,9,2,1,All
Jim Kenney,,,,,,,,98,0,0,0,0,All
Melissa Murray Bailey,,,,,,,,,16,0,0,0,All
James Foster,,,,,,,,,,0,0,0,All
Osborne Hart,,,,,,,,,,,1,0,All
Boris Kindij,,,,,,,,,,,,0,All
Total,"2,973","2,362","2,271",478,393,370,52,"2,965",585,22,5,4,All
,Justice Of The Supreme Court,,,,,,,Mayor,,,,,1
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,1
Kevin M Dougherty,3,67,68,4,2,2,2,92,10,3,0,0,1
Christine Donohue,,0,67,6,2,1,1,59,11,3,0,0,1
David Wecht,,,0,3,1,0,1,57,9,3,0,0,1
Judy Olson,,,,0,23,21,1,2,25,1,0,0,1
Mike George,,,,,0,19,2,3,21,1,0,0,1
Anne Covey,,,,,,0,0,2,20,0,0,0,1
Paul P Panepinto,,,,,,,0,2,0,2,0,0,1
Jim Kenney,,,,,,,,2,0,0,0,0,1
Melissa Murray Bailey,,,,,,,,,2,0,0,0,1
James Foster,,,,,,,,,,0,0,0,1
Osborne Hart,,,,,,,,,,,1,0,1
Boris Kindij,,,,,,,,,,,,0,1
Total,112,76,72,30,26,23,4,97,38,5,1,0,1
,Justice Of The Supreme Court,,,,,,,Mayor,,,,,2
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Jim Kenney,Melissa Murray Bailey,Osborne Hart,Boris Kindij,James Foster,2
Kevin M Dougherty,1,73,69,11,10,8,5,87,23,0,0,0,2
Christine Donohue,,0,71,3,2,3,2,76,5,1,0,0,2
David Wecht,,,1,3,2,4,2,74,7,0,0,0,2
Judy Olson,,,,0,27,25,2,3,33,0,0,0,2
Anne Covey,,,,,0,21,3,5,29,0,0,0,2
Mike George,,,,,,0,3,6,27,1,0,0,2
Paul P Panepinto,,,,,,,0,3,6,1,0,0,2
Jim Kenney,,,,,,,,2,0,0,0,0,2
Melissa Murray Bailey,,,,,,,,,2,0,0,0,2
Osborne Hart,,,,,,,,,,0,0,0,2
Boris Kindij,,,,,,,,,,,0,0,2
James Foster,,,,,,,,,,,,0,2
Total,114,85,84,38,35,35,10,108,54,1,0,0,2
,Mayor,,,,,Justice Of The Supreme Court,,,,,,,3
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,3
Jim Kenney,4,0,0,0,0,80,55,55,9,3,2,1,3
Melissa Murray Bailey,,0,0,0,0,8,11,7,12,11,10,1,3
Boris Kindij,,,0,0,0,0,0,0,0,0,0,0,3
James Foster,,,,0,0,0,0,0,0,0,0,0,3
Osborne Hart,,,,,0,0,0,0,0,0,0,0,3
Kevin M Dougherty,,,,,,5,59,51,5,2,0,1,3
Christine Donohue,,,,,,,1,55,6,1,1,2,3
David Wecht,,,,,,,,0,5,2,0,1,3
Judy Olson,,,,,,,,,1,11,11,0,3
Mike George,,,,,,,,,,1,9,0,3
Anne Covey,,,,,,,,,,,0,0,3
Paul P Panepinto,,,,,,,,,,,,0,3
Total,95,24,0,0,0,94,68,62,22,15,12,2,3
,Mayor,,,,,Justice Of The Supreme Court,,,,,,,4
,Jim Kenney,Melissa Murray Bailey,Osborne Hart,Boris Kindij,James Foster,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,4
Jim Kenney,4,0,0,0,0,56,51,44,3,3,1,0,4
Melissa Murray Bailey,,0,0,0,0,5,3,2,24,23,19,1,4
Osborne Hart,,,0,0,0,0,0,0,0,0,0,1,4
Boris Kindij,,,,0,0,0,0,0,0,0,0,0,4
James Foster,,,,,0,0,0,0,0,0,0,0,4
Kevin M Dougherty,,,,,,3,47,42,4,3,1,0,4
Christine Donohue,,,,,,,1,43,3,2,0,0,4
David Wecht,,,,,,,,0,3,0,1,0,4
Judy Olson,,,,,,,,,0,21,20,1,4
Mike George,,,,,,,,,,0,18,1,4
Anne Covey,,,,,,,,,,,0,0,4
Paul P Panepinto,,,,,,,,,,,,0,4
Total,73,29,1,0,0,67,57,48,28,26,20,2,4
,Justice Of The Supreme Court,,,,,,,Mayor,,,,,5
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,5
Kevin M Dougherty,12,106,105,7,3,5,3,119,24,3,0,0,5
Christine Donohue,,2,110,15,4,4,1,104,17,0,0,0,5
David Wecht,,,2,9,2,0,0,98,18,0,0,0,5
Judy Olson,,,,2,49,49,1,16,49,1,0,0,5
Mike George,,,,,0,45,2,7,50,1,0,0,5
Anne Covey,,,,,,0,1,5,45,0,0,0,5
