col_1,col_2,col_3,col_4,col_5,division
,Judge Of The Municipal Court,,,District Council 6th District,1
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,1
Christine Hope,20,69,69,0,1
Sharon Williams Losier,,3,69,0,1
Joffie C Pittman,,,1,0,1
Bobby Henon,,,,0,1
Total,89,72,70,0,1
,Judge Of The Municipal Court,,,District Council 6th District,2
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,2
Christine Hope,9,45,45,0,2
Sharon Williams Losier,,3,45,0,2
Joffie C Pittman,,,2,0,2
Bobby Henon,,,,0,2
Total,54,48,47,0,2
,Judge Of The Municipal Court,,,District Council 6th District,3
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,3
Christine Hope,14,42,42,0,3
Sharon Williams Losier,,6,41,0,3
Joffie C Pittman,,,1,0,3
Bobby Henon,,,,0,3
Total,57,48,43,0,3
,Judge Of The Municipal Court,,,District Council 6th District,4
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,4
Christine Hope,14,70,70,0,4
Sharon Williams Losier,,9,69,0,4
Joffie C Pittman,,,5,0,4
Bobby Henon,,,,0,4
Total,85,79,75,0,4
,Judge Of The Municipal Court,,,District Council 6th District,5
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,5
Christine Hope,13,44,43,0,5
Sharon Williams Losier,,5,44,0,5
Joffie C Pittman,,,1,0,5
Bobby Henon,,,,0,5
Total,57,50,45,0,5
,Judge Of The Municipal Court,,,District Council 6th District,6
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,6
Christine Hope,17,67,65,0,6
Sharon Williams Losier,,8,65,0,6
Joffie C Pittman,,,6,0,6
Bobby Henon,,,,0,6
Total,85,76,72,0,6
,Judge Of The Municipal Court,,,District Council 6th District,7
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,7
Christine Hope,9,65,60,0,7
Sharon Williams Losier,,2,61,0,7
Joffie C Pittman,,,0,0,7
Bobby Henon,,,,0,7
Total,74,68,61,0,7
,Judge Of The Municipal Court,,,District Council 6th District,8
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,8
Christine Hope,20,92,91,0,8
Sharon Williams Losier,,1,91,0,8
Joffie C Pittman,,,1,0,8
Bobby Henon,,,,0,8
Total,112,93,92,0,8
,Judge Of The Municipal Court,,,District Council 6th District,9
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Bobby Henon,9
Christine Hope,9,38,35,0,9
Joffie C Pittman,,2,34,0,9
Sharon Williams Losier,,,2,0,9
Bobby Henon,,,,0,9
Total,48,40,37,0,9
,Judge Of The Municipal Court,,,District Council 6th District,10
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,10
Christine Hope,11,72,71,0,10
Sharon Williams Losier,,0,71,0,10
Joffie C Pittman,,,0,0,10
Bobby Henon,,,,0,10
Total,84,73,72,0,10
,Judge Of The Municipal Court,,,District Council 6th District,11
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,11
Christine Hope,8,103,104,0,11
Sharon Williams Losier,,5,104,0,11
Joffie C Pittman,,,1,0,11
Bobby Henon,,,,0,11
Total,113,110,107,0,11
,Judge Of The Municipal Court,,,District Council 6th District,12
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,12
Christine Hope,14,61,62,0,12
Sharon Williams Losier,,2,63,0,12
Joffie C Pittman,,,0,0,12
Bobby Henon,,,,0,12
Total,76,65,64,0,12
,Judge Of The Municipal Court,,,District Council 6th District,13
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,13
Christine Hope,28,77,76,0,13
Sharon Williams Losier,,6,77,0,13
Joffie C Pittman,,,2,0,13
Bobby Henon,,,,0,13
Total,106,85,80,0,13
,Judge Of The Municipal Court,,,District Council 6th District,14
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,14
Christine Hope,16,135,134,0,14
Sharon Williams Losier,,5,134,0,14
Joffie C Pittman,,,0,0,14
Bobby Henon,,,,0,14
Total,151,140,134,0,14
,Judge Of The Municipal Court,,,District Council 6th District,15
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,15
Christine Hope,23,63,61,0,15
Sharon Williams Losier,,2,62,0,15
Joffie C Pittman,,,2,0,15
Bobby Henon,,,,0,15
Total,87,67,65,0,15
,Judge Of The Municipal Court,,,District Council 6th District,16
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Bobby Henon,16
Christine Hope,16,65,64,0,16
Joffie C Pittman,,5,64,0,16
Sharon Williams Losier,,,3,0,16
Bobby Henon,,,,0,16
Total,81,70,67,0,16
,District Council 6th District,Judge Of The Municipal Court,,,17
,Bobby Henon,Christine Hope,Sharon Williams Losier,Joffie C Pittman,17
Bobby Henon,7,87,73,67,17
Christine Hope,,11,70,66,17
Sharon Williams Losier,,,0,67,17
Joffie C Pittman,,,,0,17
Total,102,101,76,69,17
,Judge Of The Municipal Court,,,District Council 6th District,18
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Bobby Henon,18
Christine Hope,18,61,59,0,18
Joffie C Pittman,,4,59,0,18
Sharon Williams Losier,,,3,0,18
Bobby Henon,,,,0,18
Total,79,65,62,0,18
,Judge Of The Municipal Court,,,District Council 6th District,19
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,19
Christine Hope,23,60,58,0,19
Sharon Williams Losier,,6,58,0,19
Joffie C Pittman,,,1,0,19
Bobby Henon,,,,0,19
Total,83,66,59,0,19
,Judge Of The Municipal Court,,,District Council 6th District,20
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,20
Christine Hope,22,60,58,0,20
Sharon Williams Losier,,5,58,0,20
Joffie C Pittman,,,3,0,20
Bobby Henon,,,,0,20
Total,82,65,61,0,20
,District Council 6th District,Judge Of The Municipal Court,,,21
,Bobby Henon,Christine Hope,Joffie C Pittman,Sharon Williams Losier,21
Bobby Henon,7,48,41,41,21
Christine Hope,,7,39,39,21
Joffie C Pittman,,,1,39,21
Sharon Williams Losier,,,,1,21
Total,58,55,42,42,21
,Judge Of The Municipal Court,,,District Council 6th District,22
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,22
Christine Hope,12,48,48,65,22
Sharon Williams Losier,,2,48,51,22
Joffie C Pittman,,,0,49,22
Bobby Henon,,,,3,22
Total,78,54,50,73,22
,Judge Of The Municipal Court,,,District Council 6th District,23
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,23
Christine Hope,15,43,41,0,23
Sharon Williams Losier,,2,41,0,23
Joffie C Pittman,,,0,0,23
Bobby Henon,,,,0,23
Total,58,45,41,0,23
,District Council 6th District,Judge Of The Municipal Court,,,24
,Bobby Henon,Christine Hope,Sharon Williams Losier,Joffie C Pittman,24
Bobby Henon,7,53,47,44,24
Christine Hope,,9,43,43,24
Sharon Williams Losier,,,0,43,24
Joffie C Pittman,,,,1,24
Total,66,63,48,46,24
,Judge Of The Municipal Court,,,District Council 6th District,25
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,25
Christine Hope,14,46,42,53,25
Sharon Williams Losier,,0,43,47,25
Joffie C Pittman,,,1,43,25
Bobby Henon,,,,8,25
Total,69,49,45,64,25
,Judge Of The Municipal Court,,,District Council 6th District,26
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,26
Christine Hope,14,47,45,64,26
Sharon Williams Losier,,1,47,48,26
Joffie C Pittman,,,0,47,26
Bobby Henon,,,,6,26
Total,81,53,51,78,26
,Judge Of The Municipal Court,,,District Council 6th District,All
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Bobby Henon,All
Christine Hope,386,"1,619","1,597",370,All
Sharon Williams Losier,,82,"1,597",307,All
Joffie C Pittman,,,40,291,All
Bobby Henon,,,,38,All
Total,"2,108","1,738","1,666",441,All
