col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Bobby Henon,16
Jim Kenney,11,0,0,0,0,41,16
Melissa Murray Bailey,,10,0,0,0,7,16
Boris Kindij,,,0,0,0,0,16
James Foster,,,,0,0,0,16
Osborne Hart,,,,,0,0,16
Bobby Henon,,,,,,3,16
Total,52,17,0,0,0,51,16
,District Council 6th District,Mayor,,,,,17
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,17
Bobby Henon,3,66,13,0,0,0,17
Jim Kenney,,10,0,0,0,0,17
Melissa Murray Bailey,,,18,0,0,0,17
James Foster,,,,1,0,0,17
Boris Kindij,,,,,0,0,17
Osborne Hart,,,,,,0,17
Total,82,76,31,1,0,0,17
,District Council 6th District,Mayor,,,,,18
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,18
Bobby Henon,1,55,16,0,0,0,18
Jim Kenney,,15,0,0,0,0,18
Melissa Murray Bailey,,,16,0,0,0,18
Boris Kindij,,,,0,0,0,18
James Foster,,,,,0,0,18
Osborne Hart,,,,,,0,18
Total,72,70,32,0,0,0,18
,District Council 6th District,Mayor,,,,,19
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,19
Bobby Henon,0,43,15,0,0,0,19
Jim Kenney,,11,0,0,0,0,19
Melissa Murray Bailey,,,21,0,0,0,19
Boris Kindij,,,,0,0,0,19
James Foster,,,,,0,0,19
Osborne Hart,,,,,,0,19
Total,58,54,36,0,0,0,19
,District Council 6th District,Mayor,,,,,20
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,20
Bobby Henon,5,58,5,1,1,0,20
Jim Kenney,,6,0,0,0,0,20
Melissa Murray Bailey,,,9,0,0,0,20
James Foster,,,,0,0,0,20
Osborne Hart,,,,,0,0,20
Boris Kindij,,,,,,0,20
Total,70,64,14,1,1,0,20
,District Council 6th District,Mayor,,,,,21
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,21
Bobby Henon,4,62,8,0,0,0,21
Jim Kenney,,12,0,0,0,0,21
Melissa Murray Bailey,,,14,0,0,0,21
Boris Kindij,,,,0,0,0,21
James Foster,,,,,0,0,21
Osborne Hart,,,,,,0,21
Total,74,74,22,0,0,0,21
,District Council 6th District,Mayor,,,,,22
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,22
Bobby Henon,6,61,11,1,0,0,22
Jim Kenney,,12,0,0,0,0,22
Melissa Murray Bailey,,,8,0,0,0,22
James Foster,,,,0,0,0,22
Boris Kindij,,,,,0,0,22
Osborne Hart,,,,,,0,22
Total,79,73,19,1,0,0,22
,Mayor,,,,,District Council 6th District,23
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Bobby Henon,23
Jim Kenney,15,0,0,0,0,51,23
Melissa Murray Bailey,,22,0,0,0,10,23
Boris Kindij,,,0,0,0,0,23
James Foster,,,,0,0,0,23
Osborne Hart,,,,,0,0,23
Bobby Henon,,,,,,4,23
Total,66,32,0,0,0,65,23
,District Council 6th District,Mayor,,,,,24
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,24
Bobby Henon,7,54,20,2,1,0,24
Jim Kenney,,12,0,0,0,0,24
Melissa Murray Bailey,,,12,0,0,0,24
James Foster,,,,0,0,0,24
Boris Kindij,,,,,0,0,24
Osborne Hart,,,,,,0,24
Total,84,66,32,2,1,0,24
,District Council 6th District,Mayor,,,,,25
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,25
Bobby Henon,2,68,14,3,0,0,25
Jim Kenney,,14,0,0,0,0,25
Melissa Murray Bailey,,,15,0,0,0,25
James Foster,,,,0,0,0,25
Boris Kindij,,,,,0,0,25
Osborne Hart,,,,,,0,25
Total,87,82,29,3,0,0,25
,Mayor,,,,,District Council 6th District,26
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Bobby Henon,26
Jim Kenney,7,0,0,0,0,51,26
Melissa Murray Bailey,,11,0,0,0,5,26
Boris Kindij,,,0,0,0,0,26
James Foster,,,,0,0,0,26
Osborne Hart,,,,,0,0,26
Bobby Henon,,,,,,0,26
Total,58,16,0,0,0,56,26
,District Council 6th District,Mayor,,,,,All
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,All
Bobby Henon,82,"1,427",253,15,3,3,All
Jim Kenney,,267,0,0,0,0,All
Melissa Murray Bailey,,,315,0,0,0,All
James Foster,,,,6,0,0,All
Boris Kindij,,,,,1,0,All
Osborne Hart,,,,,,1,All
Total,"1,783","1,694",568,21,4,4,All
