col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Council At Large,,,,,,,,,,,,,,1
,Dennis M O Brien,Al Taubenberger,Daniel Tinney,David Oh,Allan Domb,Terry Tracy,Helen Gym,William K Greenlee,Derek S Green,Blondell Reynolds Brown,Andrew C Stober,Sheila E Armstrong,Kristin Combs,John Staggs,1
Dennis M O Brien,20,98,77,82,31,60,20,30,16,8,3,1,1,0,1
Al Taubenberger,,5,86,69,34,62,22,20,9,5,10,4,2,1,1
Daniel Tinney,,,7,67,21,61,14,14,11,6,5,4,2,1,1
David Oh,,,,5,12,53,9,9,6,5,2,0,0,0,1
Allan Domb,,,,,6,10,52,48,40,32,5,1,1,0,1
Terry Tracy,,,,,,2,11,5,6,3,3,1,0,0,1
Helen Gym,,,,,,,4,38,40,31,7,4,2,0,1
William K Greenlee,,,,,,,,1,42,35,2,1,0,0,1
Derek S Green,,,,,,,,,2,32,3,1,1,0,1
Blondell Reynolds Brown,,,,,,,,,,3,0,0,0,0,1
Andrew C Stober,,,,,,,,,,,0,6,5,2,1
Sheila E Armstrong,,,,,,,,,,,,0,6,2,1
Kristin Combs,,,,,,,,,,,,,0,2,1
John Staggs,,,,,,,,,,,,,,0,1
Total,153,135,112,96,87,75,72,69,57,43,15,9,6,2,1
,Council At Large,,,,,,,,,,,,,,2
,Daniel Tinney,Dennis M O Brien,Al Taubenberger,Allan Domb,David Oh,William K Greenlee,Terry Tracy,Helen Gym,Derek S Green,Blondell Reynolds Brown,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,2
Daniel Tinney,8,65,73,29,55,15,48,10,8,8,4,0,1,1,2
Dennis M O Brien,,11,67,28,60,14,47,12,7,5,2,1,2,0,2
Al Taubenberger,,,8,27,51,11,51,10,5,5,1,1,1,0,2
Allan Domb,,,,7,14,42,10,49,39,36,4,0,0,0,2
David Oh,,,,,4,6,44,2,2,7,1,0,1,1,2
William K Greenlee,,,,,,5,0,40,33,40,2,2,0,0,2
Terry Tracy,,,,,,,1,9,5,1,4,0,2,1,2
Helen Gym,,,,,,,,2,39,35,4,2,1,1,2
Derek S Green,,,,,,,,,5,30,3,2,0,0,2
Blondell Reynolds Brown,,,,,,,,,,2,0,1,0,0,2
Andrew C Stober,,,,,,,,,,,1,1,2,2,2
Kristin Combs,,,,,,,,,,,,0,1,1,2
Sheila E Armstrong,,,,,,,,,,,,,0,1,2
John Staggs,,,,,,,,,,,,,,0,2
Total,104,104,99,84,77,63,62,61,50,48,9,3,3,2,2
,Council At Large,,,,,,,,,,,,,,3
,Allan Domb,William K Greenlee,Derek S Green,Helen Gym,Blondell Reynolds Brown,Daniel Tinney,Al Taubenberger,Dennis M O Brien,David Oh,Terry Tracy,Kristin Combs,Andrew C Stober,John Staggs,Sheila E Armstrong,3
Allan Domb,5,39,34,38,34,9,8,4,4,2,2,2,0,1,3
William K Greenlee,,0,41,38,37,5,7,4,4,1,2,0,0,1,3
Derek S Green,,,3,35,35,2,4,3,4,2,0,1,0,0,3
Helen Gym,,,,0,33,8,4,6,3,3,2,2,1,1,3
Blondell Reynolds Brown,,,,,2,2,1,3,4,0,1,0,0,1,3
Daniel Tinney,,,,,,1,19,18,19,13,0,1,0,0,3
Al Taubenberger,,,,,,,1,16,16,11,1,0,0,0,3
Dennis M O Brien,,,,,,,,1,17,13,1,0,0,0,3
David Oh,,,,,,,,,1,12,0,0,0,0,3
Terry Tracy,,,,,,,,,,0,0,2,0,0,3
Kristin Combs,,,,,,,,,,,0,0,1,0,3
Andrew C Stober,,,,,,,,,,,,0,0,0,3
John Staggs,,,,,,,,,,,,,0,0,3
Sheila E Armstrong,,,,,,,,,,,,,,0,3
Total,50,47,46,46,41,27,24,24,23,15,3,2,1,1,3
,Council At Large,,,,,,,,,,,,,,4
,Allan Domb,Helen Gym,Derek S Green,William K Greenlee,Blondell Reynolds Brown,Al Taubenberger,Dennis M O Brien,Daniel Tinney,David Oh,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,4
Allan Domb,21,128,121,116,95,32,20,17,18,18,12,3,0,1,4
Helen Gym,,4,118,115,97,20,9,11,3,20,10,3,1,1,4
Derek S Green,,,8,111,94,14,8,10,5,12,7,0,0,0,4
William K Greenlee,,,,2,99,19,14,12,9,10,3,1,1,1,4
Blondell Reynolds Brown,,,,,0,6,3,6,2,1,1,0,0,0,4
Al Taubenberger,,,,,,9,52,48,49,50,6,2,1,1,4
Dennis M O Brien,,,,,,,7,45,58,45,2,1,2,0,4
Daniel Tinney,,,,,,,,7,41,43,3,0,2,0,4
David Oh,,,,,,,,,0,42,0,0,0,0,4
Terry Tracy,,,,,,,,,,1,9,1,2,0,4
Andrew C Stober,,,,,,,,,,,1,2,1,1,4
Kristin Combs,,,,,,,,,,,,0,1,2,4
Sheila E Armstrong,,,,,,,,,,,,,0,1,4
John Staggs,,,,,,,,,,,,,,0,4
Total,191,153,145,139,105,102,85,75,69,69,16,4,3,2,4
,Council At Large,,,,,,,,,,,,,,5
,Daniel Tinney,Allan Domb,Derek S Green,Al Taubenberger,Dennis M O Brien,William K Greenlee,David Oh,Helen Gym,Blondell Reynolds Brown,Terry Tracy,John Staggs,Andrew C Stober,Sheila E Armstrong,Kristin Combs,5
Daniel Tinney,7,4,5,23,22,3,23,6,2,19,1,1,0,0,5
Allan Domb,,3,20,5,1,23,2,20,19,2,1,0,0,0,5
Derek S Green,,,4,2,2,22,2,21,21,1,0,0,0,0,5
Al Taubenberger,,,,1,20,4,21,3,1,17,0,0,0,0,5
Dennis M O Brien,,,,,2,2,24,2,2,18,1,1,1,0,5
William K Greenlee,,,,,,1,3,21,20,1,1,0,1,0,5
David Oh,,,,,,,0,2,2,18,1,1,1,0,5
Helen Gym,,,,,,,,1,18,1,1,0,1,0,5
Blondell Reynolds Brown,,,,,,,,,2,1,1,0,0,0,5
Terry Tracy,,,,,,,,,,0,0,0,0,0,5
John Staggs,,,,,,,,,,,1,1,0,0,5
Andrew C Stober,,,,,,,,,,,,0,0,0,5
Sheila E Armstrong,,,,,,,,,,,,,0,0,5
Kristin Combs,,,,,,,,,,,,,,0,5
Total,37,30,30,29,28,28,27,26,25,20,3,1,1,0,5
,Council At Large,,,,,,,,,,,,,,6
,Allan Domb,William K Greenlee,Blondell Reynolds Brown,Helen Gym,Derek S Green,Daniel Tinney,Al Taubenberger,Dennis M O Brien,Terry Tracy,David Oh,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,6
Allan Domb,3,24,19,22,18,4,4,2,4,3,2,1,1,0,6
William K Greenlee,,0,20,20,18,3,3,2,3,4,1,1,1,0,6
Blondell Reynolds Brown,,,2,17,19,0,2,0,1,2,1,0,0,0,6
Helen Gym,,,,0,18,3,2,0,4,0,1,2,1,0,6
Derek S Green,,,,,0,1,1,1,1,0,1,1,0,0,6
Daniel Tinney,,,,,,2,8,8,8,5,0,0,0,0,6
Al Taubenberger,,,,,,,0,8,8,7,1,0,0,0,6
Dennis M O Brien,,,,,,,,1,5,6,0,0,0,0,6
Terry Tracy,,,,,,,,,0,5,1,0,0,0,6
David Oh,,,,,,,,,,1,0,0,0,0,6
Andrew C Stober,,,,,,,,,,,0,0,0,0,6
Kristin Combs,,,,,,,,,,,,0,1,0,6
Sheila E Armstrong,,,,,,,,,,,,,0,0,6
John Staggs,,,,,,,,,,,,,,0,6
Total,29,25,23,23,21,14,13,11,10,9,2,2,1,0,6
,Council At Large,,,,,,,,,,,,,,7
,Allan Domb,Al Taubenberger,Dennis M O Brien,Daniel Tinney,William K Greenlee,Helen Gym,David Oh,Derek S Green,Blondell Reynolds Brown,Terry Tracy,Andrew C Stober,Kristin Combs,John Staggs,Sheila E Armstrong,7
Allan Domb,30,50,38,27,83,85,24,83,72,13,3,1,1,0,7
Al Taubenberger,,14,100,94,17,19,78,12,9,64,2,2,0,0,7
Dennis M O Brien,,,8,83,15,19,84,9,8,59,0,1,0,0,7
Daniel Tinney,,,,8,10,13,73,9,7,63,2,0,0,0,7
William K Greenlee,,,,,5,74,7,79,77,2,1,1,1,0,7
Helen Gym,,,,,,3,9,69,69,11,2,1,1,0,7
David Oh,,,,,,,0,10,1,54,0,1,0,0,7
Derek S Green,,,,,,,,1,73,2,2,1,0,0,7
Blondell Reynolds Brown,,,,,,,,,4,1,1,0,1,0,7
Terry Tracy,,,,,,,,,,3,1,1,0,0,7
Andrew C Stober,,,,,,,,,,,0,0,0,0,7
Kristin Combs,,,,,,,,,,,,1,0,0,7
John Staggs,,,,,,,,,,,,,0,0,7
Sheila E Armstrong,,,,,,,,,,,,,,0,7
Total,175,160,134,124,108,101,95,91,86,75,4,4,1,0,7
,Council At Large,,,,,,,,,,,,,,8
,Daniel Tinney,Al Taubenberger,Allan Domb,William K Greenlee,Blondell Reynolds Brown,Derek S Green,Helen Gym,David Oh,Dennis M O Brien,Terry Tracy,Kristin Combs,Andrew C Stober,John Staggs,Sheila E Armstrong,8
Daniel Tinney,5,30,8,9,8,5,6,17,21,18,0,0,1,0,8
Al Taubenberger,,2,8,6,5,4,4,16,18,18,1,0,1,0,8
Allan Domb,,,4,25,21,23,23,5,4,3,1,0,2,0,8
William K Greenlee,,,,1,22,25,23,4,5,2,1,2,0,0,8
Blondell Reynolds Brown,,,,,3,23,21,2,3,0,0,0,1,0,8
Derek S Green,,,,,,2,24,4,4,2,1,1,0,0,8
Helen Gym,,,,,,,2,5,3,2,2,1,1,0,8
David Oh,,,,,,,,2,14,12,1,0,1,0,8
Dennis M O Brien,,,,,,,,,1,12,0,0,0,0,8
Terry Tracy,,,,,,,,,,0,0,0,0,0,8
Kristin Combs,,,,,,,,,,,0,1,1,0,8
Andrew C Stober,,,,,,,,,,,,0,0,0,8
John Staggs,,,,,,,,,,,,,0,0,8
Sheila E Armstrong,,,,,,,,,,,,,,0,8
Total,45,39,36,35,32,32,32,25,25,20,3,2,2,0,8
,Council At Large,,,,,,,,,,,,,,9
,Allan Domb,Helen Gym,Derek S Green,Daniel Tinney,William K Greenlee,Blondell Reynolds Brown,Al Taubenberger,Dennis M O Brien,Terry Tracy,David Oh,Sheila E Armstrong,Kristin Combs,Andrew C Stober,John Staggs,9
Allan Domb,3,59,61,16,56,52,13,12,9,8,4,1,1,0,9
Helen Gym,,6,60,8,51,54,9,6,7,4,2,1,0,0,9
Derek S Green,,,0,10,52,55,11,8,4,0,4,2,0,0,9
Daniel Tinney,,,,6,7,6,45,41,35,31,0,0,0,0,9
William K Greenlee,,,,,2,53,6,10,1,5,1,0,0,0,9
Blondell Reynolds Brown,,,,,,2,7,6,3,5,2,1,1,0,9
Al Taubenberger,,,,,,,3,39,34,29,2,1,1,0,9
Dennis M O Brien,,,,,,,,3,33,39,1,1,0,0,9
Terry Tracy,,,,,,,,,2,31,1,1,1,0,9
David Oh,,,,,,,,,,0,2,1,2,0,9
Sheila E Armstrong,,,,,,,,,,,1,4,3,0,9
Kristin Combs,,,,,,,,,,,,0,2,0,9
