col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,City Commissioners,,,1
,Ken Powell,Tracy B Roman,Mia Roberts Perez,Lyris Younge,Abbe Fletman,Kai Scott,Michael Fanning,Rainy Papademetriou,Stephanie M Sawyer,Chris Mallios,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,Lisa M Deeley,Anthony Clark,Al Schmidt,1
Ken Powell,2,43,47,45,45,45,42,42,40,41,40,38,1,45,41,3,1
Tracy B Roman,,0,44,43,43,43,38,38,39,38,38,38,2,44,43,2,1
Mia Roberts Perez,,,0,45,45,45,42,42,40,41,40,38,1,46,40,3,1
Lyris Younge,,,,0,44,44,40,40,39,40,39,38,1,42,42,2,1
Abbe Fletman,,,,,0,45,40,40,40,40,39,38,1,42,41,2,1
Kai Scott,,,,,,0,40,40,39,40,39,38,1,42,40,2,1
Michael Fanning,,,,,,,0,42,40,41,40,38,1,41,37,3,1
Rainy Papademetriou,,,,,,,,0,40,41,40,38,1,40,38,3,1
Stephanie M Sawyer,,,,,,,,,0,40,40,37,1,39,39,3,1
Chris Mallios,,,,,,,,,,0,40,38,1,39,37,3,1
Daine Grey Jr,,,,,,,,,,,0,37,2,39,36,4,1
Scott Diclaudio,,,,,,,,,,,,0,2,36,37,1,1
Vincent Furlong,,,,,,,,,,,,,0,0,0,4,1
Lisa M Deeley,,,,,,,,,,,,,,0,40,2,1
Anthony Clark,,,,,,,,,,,,,,,1,0,1
Al Schmidt,,,,,,,,,,,,,,,,0,1
Total,51,50,49,47,46,45,43,43,43,41,41,39,5,51,49,6,1
,City Commissioners,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Lisa M Deeley,Anthony Clark,Al Schmidt,Tracy B Roman,Ken Powell,Mia Roberts Perez,Kai Scott,Abbe Fletman,Lyris Younge,Rainy Papademetriou,Stephanie M Sawyer,Daine Grey Jr,Scott Diclaudio,Chris Mallios,Michael Fanning,Vincent Furlong,2
Lisa M Deeley,1,62,3,73,68,67,69,66,67,61,60,59,57,57,56,5,2
Anthony Clark,,4,0,64,64,63,62,62,63,57,55,55,53,54,54,1,2
Al Schmidt,,,0,4,3,3,3,2,3,3,3,3,3,1,3,8,2
Tracy B Roman,,,,0,69,69,68,67,69,63,63,61,59,58,58,5,2
Ken Powell,,,,,2,66,67,66,68,61,61,61,59,58,58,5,2
Mia Roberts Perez,,,,,,1,67,64,67,61,61,60,58,57,57,5,2
Kai Scott,,,,,,,0,65,68,61,60,60,59,58,57,5,2
Abbe Fletman,,,,,,,,0,65,61,58,59,58,57,56,4,2
Lyris Younge,,,,,,,,,0,62,60,61,59,58,58,5,2
Rainy Papademetriou,,,,,,,,,,0,60,61,59,58,58,4,2
Stephanie M Sawyer,,,,,,,,,,,0,60,58,57,58,4,2
Daine Grey Jr,,,,,,,,,,,,0,59,58,58,4,2
Scott Diclaudio,,,,,,,,,,,,,0,57,56,4,2
Chris Mallios,,,,,,,,,,,,,,0,55,2,2
Michael Fanning,,,,,,,,,,,,,,,0,3,2
Vincent Furlong,,,,,,,,,,,,,,,,1,2
Total,81,74,9,78,76,73,72,70,70,64,63,61,59,58,58,11,2
,City Commissioners,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,3
,Anthony Clark,Lisa M Deeley,Al Schmidt,Tracy B Roman,Mia Roberts Perez,Ken Powell,Abbe Fletman,Lyris Younge,Kai Scott,Stephanie M Sawyer,Daine Grey Jr,Michael Fanning,Chris Mallios,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,3
Anthony Clark,0,56,2,55,54,55,52,53,55,46,45,43,42,42,42,3,3
Lisa M Deeley,,0,2,56,55,53,54,52,54,48,45,44,43,44,43,2,3
Al Schmidt,,,0,5,4,3,5,2,1,4,2,3,3,3,2,14,3
Tracy B Roman,,,,0,57,54,53,54,53,47,45,44,44,45,44,5,3
Mia Roberts Perez,,,,,2,53,53,52,53,46,45,44,44,44,44,5,3
Ken Powell,,,,,,1,52,52,52,44,43,45,43,43,43,4,3
Abbe Fletman,,,,,,,0,50,52,46,43,44,43,42,42,6,3
Lyris Younge,,,,,,,,2,52,44,42,43,43,43,43,2,3
Kai Scott,,,,,,,,,0,46,44,44,43,43,43,2,3
Stephanie M Sawyer,,,,,,,,,,0,46,45,45,45,44,4,3
Daine Grey Jr,,,,,,,,,,,0,44,43,43,43,3,3
Michael Fanning,,,,,,,,,,,,0,44,44,44,4,3
Chris Mallios,,,,,,,,,,,,,0,44,44,4,3
