col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 1st District,Council At Large,,,,,,,,,,,,,,All
,Mark F Squilla,Helen Gym,Allan Domb,Derek S Green,William K Greenlee,Blondell Reynolds Brown,David Oh,Dennis M O Brien,Terry Tracy,Daniel Tinney,Al Taubenberger,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,All
Mark F Squilla,"1,941","13,275","12,574","11,942","11,383","10,939","2,869","2,594","2,165","2,114","2,053","3,140","1,897",840,526,All
Helen Gym,,363,"13,535","13,518","12,766","12,442","1,614",958,"1,554",717,834,"3,497","2,100",724,498,All
Allan Domb,,,409,"12,744","12,261","11,604","1,673","1,178","1,395",937,"1,359","2,121",791,314,153,All
Derek S Green,,,,216,"12,457","12,184",993,826,"1,070",588,690,"2,119","1,169",303,220,All
William K Greenlee,,,,,143,"12,095","1,178",949,533,641,829,"1,352",861,244,158,All
Blondell Reynolds Brown,,,,,,172,893,448,488,348,508,"1,456",989,270,201,All
David Oh,,,,,,,244,"3,328","2,888","2,955","3,045",468,329,226,76,All
Dennis M O Brien,,,,,,,,135,"2,876","3,404","3,075",336,204,140,40,All
Terry Tracy,,,,,,,,,90,"3,020","3,002","1,166",324,191,49,All
Daniel Tinney,,,,,,,,,,227,"3,082",276,149,110,42,All
Al Taubenberger,,,,,,,,,,,143,423,229,181,57,All
Andrew C Stober,,,,,,,,,,,,105,"1,731",749,522,All
Kristin Combs,,,,,,,,,,,,,36,918,663,All
Sheila E Armstrong,,,,,,,,,,,,,,17,426,All
John Staggs,,,,,,,,,,,,,,,11,All
Total,"21,522","18,504","17,295","16,110","15,215","14,560","6,124","5,513","5,283","5,224","5,072","4,934","2,951","1,317",858,All
