col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,City Commissioners,,,Judge Of The Municipal Court,,,All
,Anthony Clark,Lisa M Deeley,Al Schmidt,Christine Hope,Sharon Williams Losier,Joffie C Pittman,All
Anthony Clark,210,"3,695",56,"3,916","3,908","3,742",All
Lisa M Deeley,,48,73,"3,786","3,729","3,701",All
Al Schmidt,,,14,242,92,109,All
Christine Hope,,,,83,"3,736","3,731",All
Sharon Williams Losier,,,,,46,"3,740",All
Joffie C Pittman,,,,,,21,All
Total,"4,571","4,081",276,"4,395","4,163","3,954",All
,City Commissioners,,,Judge Of The Municipal Court,,,1
,Anthony Clark,Lisa M Deeley,Al Schmidt,Christine Hope,Sharon Williams Losier,Joffie C Pittman,1
Anthony Clark,3,44,1,46,47,43,1
Lisa M Deeley,,1,2,47,43,45,1
Al Schmidt,,,1,5,2,3,1
Christine Hope,,,,1,44,44,1
Sharon Williams Losier,,,,,2,43,1
Joffie C Pittman,,,,,,0,1
Total,57,52,7,55,52,48,1
,City Commissioners,,,Judge Of The Municipal Court,,,2
,Anthony Clark,Lisa M Deeley,Al Schmidt,Christine Hope,Sharon Williams Losier,Joffie C Pittman,2
Anthony Clark,4,77,1,80,85,78,2
Lisa M Deeley,,2,0,78,77,72,2
Al Schmidt,,,0,0,0,0,2
Christine Hope,,,,4,78,74,2
Sharon Williams Losier,,,,,1,75,2
Joffie C Pittman,,,,,,0,2
Total,96,83,1,87,87,78,2
,City Commissioners,,,Judge Of The Municipal Court,,,3
,Anthony Clark,Lisa M Deeley,Al Schmidt,Christine Hope,Sharon Williams Losier,Joffie C Pittman,3
Anthony Clark,11,122,2,134,135,128,3
Lisa M Deeley,,1,2,125,126,124,3
Al Schmidt,,,0,4,2,3,3
Christine Hope,,,,1,128,128,3
Sharon Williams Losier,,,,,0,128,3
Joffie C Pittman,,,,,,0,3
Total,160,131,4,142,142,132,3
,City Commissioners,,,Judge Of The Municipal Court,,,4
,Anthony Clark,Lisa M Deeley,Al Schmidt,Christine Hope,Sharon Williams Losier,Joffie C Pittman,4
Anthony Clark,3,103,0,102,104,104,4
Lisa M Deeley,,1,1,102,103,102,4
Al Schmidt,,,0,1,1,1,4
Christine Hope,,,,1,97,98,4
Sharon Williams Losier,,,,,0,100,4
Joffie C Pittman,,,,,,0,4
Total,117,110,1,107,107,105,4
,City Commissioners,,,Judge Of The Municipal Court,,,5
,Anthony Clark,Lisa M Deeley,Al Schmidt,Christine Hope,Sharon Williams Losier,Joffie C Pittman,5
Anthony Clark,13,125,0,132,125,127,5
Lisa M Deeley,,1,1,128,126,124,5
Al Schmidt,,,0,3,1,1,5
Christine Hope,,,,1,126,127,5
Sharon Williams Losier,,,,,3,125,5
Joffie C Pittman,,,,,,0,5
