col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Justice Of The Supreme Court,,,,,,,Judge Of The Municipal Court,,,All
,Christine Donohue,David Wecht,Kevin M Dougherty,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Christine Hope,Joffie C Pittman,Sharon Williams Losier,All
Christine Donohue,32,"3,673","3,362",298,60,30,55,"2,773","2,976","2,637",All
David Wecht,,20,"3,327",275,43,35,56,"2,695","2,942","2,604",All
Kevin M Dougherty,,,110,73,51,41,56,"2,707","2,846","2,572",All
Judy Olson,,,,5,355,342,19,526,223,168,All
Anne Covey,,,,,2,305,11,383,102,82,All
Mike George,,,,,,1,11,356,79,61,All
Paul P Panepinto,,,,,,,4,78,75,54,All
Christine Hope,,,,,,,,4,"2,668","2,643",All
Joffie C Pittman,,,,,,,,,11,"2,660",All
Sharon Williams Losier,,,,,,,,,,3,All
Total,"3,944","3,871","3,798",715,431,398,122,"3,366","3,228","2,862",All
,Justice Of The Supreme Court,,,,,,,Judge Of The Municipal Court,,,1
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Christine Hope,Joffie C Pittman,Sharon Williams Losier,1
Kevin M Dougherty,6,228,222,3,2,2,6,205,205,202,1
Christine Donohue,,1,233,9,2,2,5,198,202,192,1
David Wecht,,,1,6,2,1,2,192,201,190,1
Judy Olson,,,,0,12,9,0,18,12,11,1
Mike George,,,,,0,9,0,13,7,7,1
Anne Covey,,,,,,0,1,11,6,7,1
Paul P Panepinto,,,,,,,0,8,6,5,1
Christine Hope,,,,,,,,0,204,202,1
Joffie C Pittman,,,,,,,,,0,200,1
Sharon Williams Losier,,,,,,,,,,0,1
Total,260,251,242,20,14,12,8,228,226,217,1
,Justice Of The Supreme Court,,,,,,,Judge Of The Municipal Court,,,2
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Mike George,Paul P Panepinto,Anne Covey,Joffie C Pittman,Christine Hope,Sharon Williams Losier,2
Kevin M Dougherty,8,249,246,3,4,7,1,225,201,191,2
David Wecht,,2,263,11,2,6,0,223,198,190,2
Christine Donohue,,,1,13,3,6,1,224,201,189,2
Judy Olson,,,,1,11,1,8,7,18,4,2
Mike George,,,,,0,2,9,6,12,1,2
Paul P Panepinto,,,,,,0,1,8,7,5,2
Anne Covey,,,,,,,0,3,10,0,2
Joffie C Pittman,,,,,,,,3,199,193,2
Christine Hope,,,,,,,,,0,185,2
Sharon Williams Losier,,,,,,,,,,0,2
Total,279,278,276,27,16,14,10,244,227,204,2
,Justice Of The Supreme Court,,,,,,,Judge Of The Municipal Court,,,3
,David Wecht,Christine Donohue,Kevin M Dougherty,Judy Olson,Anne Covey,Paul P Panepinto,Mike George,Joffie C Pittman,Christine Hope,Sharon Williams Losier,3
David Wecht,0,303,265,7,3,9,0,275,130,130,3
Christine Donohue,,2,265,7,4,9,0,272,133,129,3
Kevin M Dougherty,,,5,2,1,2,0,245,125,122,3
Judy Olson,,,,0,12,1,9,12,16,9,3
Anne Covey,,,,,0,1,10,8,15,6,3
Paul P Panepinto,,,,,,0,0,9,8,8,3
Mike George,,,,,,,0,2,10,2,3
Joffie C Pittman,,,,,,,,1,134,138,3
