col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Justice Of The Supreme Court,,,,,,,Judge Of The Commonwealth Court,,All
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Michael Wojcik,Paul Lalley,All
Kevin M Dougherty,355,"3,770","3,733",28,27,11,36,"3,960",33,All
Christine Donohue,,69,"3,742",53,21,10,41,"3,677",29,All
David Wecht,,,90,41,13,18,40,"3,651",31,All
Judy Olson,,,,3,114,111,9,48,117,All
Anne Covey,,,,,4,102,1,26,108,All
Mike George,,,,,,2,6,13,116,All
Paul P Panepinto,,,,,,,5,53,12,All
Michael Wojcik,,,,,,,,19,0,All
Paul Lalley,,,,,,,,,3,All
Total,"4,695","4,107","4,095",192,149,141,80,"4,319",172,All
,Justice Of The Supreme Court,,,,,,,Judge Of The Commonwealth Court,,1
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne Covey,Mike George,Judy Olson,Paul P Panepinto,Michael Wojcik,Paul Lalley,1
Kevin M Dougherty,8,91,85,1,0,0,0,103,0,1
Christine Donohue,,1,84,1,1,0,0,93,0,1
David Wecht,,,2,0,1,0,0,88,0,1
Anne Covey,,,,0,1,1,0,2,0,1
Mike George,,,,,0,1,0,2,0,1
Judy Olson,,,,,,0,0,1,0,1
Paul P Panepinto,,,,,,,0,0,0,1
Michael Wojcik,,,,,,,,1,0,1
Paul Lalley,,,,,,,,,0,1
Total,113,96,92,2,2,1,0,111,0,1
,Justice Of The Supreme Court,,,,,,,Judge Of The Commonwealth Court,,2
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Michael Wojcik,Paul Lalley,2
Kevin M Dougherty,15,132,127,2,1,0,3,140,1,2
David Wecht,,2,129,2,0,1,1,131,0,2
Christine Donohue,,,2,0,1,0,2,126,1,2
Judy Olson,,,,0,9,9,0,1,9,2
Anne Covey,,,,,0,9,0,0,10,2
Mike George,,,,,,0,0,0,9,2
Paul P Panepinto,,,,,,,0,1,0,2
Michael Wojcik,,,,,,,,1,0,2
Paul Lalley,,,,,,,,,0,2
