col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Mayor,,,,,Justice Of The Supreme Court,,,,,,,All
,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,All
Jim Kenney,"5,811",0,0,0,0,"176,907","145,640","143,346","7,502","3,215","3,102","2,980",All
Melissa Murray Bailey,,"1,115",0,0,0,"10,266","8,768","7,631","18,273","15,243","15,190","1,556",All
James Foster,,,71,0,0,829,949,865,409,267,250,429,All
Osborne Hart,,,,58,0,815,987,905,93,37,30,234,All
Boris Kindij,,,,,17,161,174,180,57,40,43,90,All
Kevin M Dougherty,,,,,,"6,059","144,382","142,635","4,997","2,921","2,447","2,492",All
Christine Donohue,,,,,,,"1,052","145,813","7,104","1,632","1,437","2,546",All
David Wecht,,,,,,,,"1,695","5,754","1,076","1,477","2,067",All
Judy Olson,,,,,,,,,223,"16,489","15,581",912,All
Anne Covey,,,,,,,,,,72,"14,288",547,All
Mike George,,,,,,,,,,,165,622,All
Paul P Panepinto,,,,,,,,,,,,65,All
Total,"201,248","31,133","1,678","1,213",320,"200,177","162,612","159,722","27,590","19,518","19,441","5,559",All
