col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,All
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Mike George,Anne Covey,Paul P Panepinto,Blondell Reynolds Brown,Helen Gym,Derek S Green,William K Greenlee,Allan Domb,David Oh,Andrew C Stober,Kristin Combs,Terry Tracy,Al Taubenberger,Dennis M O Brien,Sheila E Armstrong,Daniel Tinney,John Staggs,All
Kevin M Dougherty,84,"1,222","1,227",12,6,4,10,"1,202","1,180","1,153","1,120","1,072",79,116,76,28,31,20,35,12,28,All
David Wecht,,14,"1,236",42,7,2,14,"1,091","1,151","1,083","1,058","1,053",60,128,81,45,21,28,38,14,32,All
Christine Donohue,,,11,41,6,3,18,"1,095","1,163","1,085","1,066","1,045",66,128,84,40,18,22,43,13,30,All
Judy Olson,,,,1,42,42,8,22,39,29,16,31,43,28,12,58,42,41,12,39,5,All
Mike George,,,,,1,40,3,12,8,10,9,9,42,2,3,36,38,33,6,38,1,All
Anne Covey,,,,,,0,8,6,8,4,7,5,40,5,6,39,36,31,11,33,3,All
Paul P Panepinto,,,,,,,0,12,12,11,9,13,9,13,14,5,6,7,17,3,8,All
Blondell Reynolds Brown,,,,,,,,9,"1,070","1,075","1,068","1,026",53,56,36,14,8,15,21,7,13,All
Helen Gym,,,,,,,,,0,"1,082","1,064","1,053",45,118,65,35,11,13,32,9,21,All
Derek S Green,,,,,,,,,,3,"1,071","1,034",47,70,40,24,9,17,17,6,13,All
William K Greenlee,,,,,,,,,,,1,"1,024",43,56,40,13,10,15,13,7,9,All
Allan Domb,,,,,,,,,,,,1,34,50,25,23,15,15,9,6,9,All
David Oh,,,,,,,,,,,,,22,11,6,41,40,40,13,40,8,All
Andrew C Stober,,,,,,,,,,,,,,0,55,24,6,8,29,6,22,All
Kristin Combs,,,,,,,,,,,,,,,2,5,6,5,34,2,24,All
Terry Tracy,,,,,,,,,,,,,,,,1,42,37,9,45,1,All
Al Taubenberger,,,,,,,,,,,,,,,,,0,37,4,38,0,All
