col_1,col_2,col_3,col_4,col_5,col_6,division
,Register Of Wills,,Judge Of The Municipal Court,,,All
,Ronald R Donatucci,Ross Feinberg,Christine Hope,Sharon Williams Losier,Joffie C Pittman,All
Ronald R Donatucci,107,0,"2,404","2,414","2,309",All
Ross Feinberg,,10,76,42,48,All
Christine Hope,,,100,"2,335","2,322",All
Sharon Williams Losier,,,,60,"2,348",All
Joffie C Pittman,,,,,28,All
Total,"2,746",98,"2,669","2,599","2,467",All
,Register Of Wills,,Judge Of The Municipal Court,,,1
,Ronald R Donatucci,Ross Feinberg,Sharon Williams Losier,Christine Hope,Joffie C Pittman,1
Ronald R Donatucci,2,0,87,83,79,1
Ross Feinberg,,0,1,2,0,1
Sharon Williams Losier,,,2,81,79,1
Christine Hope,,,,0,79,1
Joffie C Pittman,,,,,0,1
Total,96,2,93,89,82,1
,Register Of Wills,,Judge Of The Municipal Court,,,2
,Ronald R Donatucci,Ross Feinberg,Christine Hope,Sharon Williams Losier,Joffie C Pittman,2
Ronald R Donatucci,1,0,74,70,68,2
Ross Feinberg,,1,5,3,3,2
Christine Hope,,,0,69,67,2
Sharon Williams Losier,,,,4,68,2
Joffie C Pittman,,,,,1,2
Total,83,7,80,78,73,2
,Judge Of The Municipal Court,,,Register Of Wills,,3
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Ronald R Donatucci,Ross Feinberg,3
Christine Hope,4,75,73,80,2,3
Sharon Williams Losier,,2,75,75,3,3
Joffie C Pittman,,,0,70,3,3
Ronald R Donatucci,,,,4,0,3
Ross Feinberg,,,,,0,3
Total,88,82,75,88,3,3
,Register Of Wills,,Judge Of The Municipal Court,,,4
,Ronald R Donatucci,Ross Feinberg,Christine Hope,Sharon Williams Losier,Joffie C Pittman,4
Ronald R Donatucci,2,0,94,93,91,4
Ross Feinberg,,0,0,0,1,4
Christine Hope,,,3,91,92,4
Sharon Williams Losier,,,,2,91,4
Joffie C Pittman,,,,,0,4
Total,100,1,99,97,94,4
,Register Of Wills,,Judge Of The Municipal Court,,,5
,Ronald R Donatucci,Ross Feinberg,Sharon Williams Losier,Christine Hope,Joffie C Pittman,5
Ronald R Donatucci,3,0,87,87,83,5
Ross Feinberg,,0,5,5,4,5
Sharon Williams Losier,,,2,85,89,5
Christine Hope,,,,3,83,5
Joffie C Pittman,,,,,1,5
Total,102,6,99,98,93,5
,Judge Of The Municipal Court,,,Register Of Wills,,6
,Joffie C Pittman,Christine Hope,Sharon Williams Losier,Ronald R Donatucci,Ross Feinberg,6
Joffie C Pittman,3,120,122,118,13,6
Christine Hope,,2,122,115,8,6
Sharon Williams Losier,,,1,115,8,6
Ronald R Donatucci,,,,3,0,6
Ross Feinberg,,,,,1,6
Total,140,131,131,134,14,6
,Register Of Wills,,Judge Of The Municipal Court,,,7
,Ronald R Donatucci,Ross Feinberg,Christine Hope,Joffie C Pittman,Sharon Williams Losier,7
Ronald R Donatucci,2,0,67,68,66,7
Ross Feinberg,,0,1,0,0,7
Christine Hope,,,3,64,63,7
Joffie C Pittman,,,,1,67,7
Sharon Williams Losier,,,,,0,7
Total,76,1,73,71,68,7
,Register Of Wills,,Judge Of The Municipal Court,,,8
,Ronald R Donatucci,Ross Feinberg,Christine Hope,Sharon Williams Losier,Joffie C Pittman,8
Ronald R Donatucci,4,0,69,71,64,8
Ross Feinberg,,0,1,0,0,8
Christine Hope,,,4,62,64,8
Sharon Williams Losier,,,,5,62,8
Joffie C Pittman,,,,,2,8
Total,84,1,77,77,68,8
,Judge Of The Municipal Court,,,Register Of Wills,,9
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Ronald R Donatucci,Ross Feinberg,9
Christine Hope,4,74,72,74,0,9
Joffie C Pittman,,1,72,71,0,9
Sharon Williams Losier,,,1,68,0,9
Ronald R Donatucci,,,,5,0,9
Ross Feinberg,,,,,1,9
Total,82,76,74,79,1,9
,Judge Of The Municipal Court,,,Register Of Wills,,10
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Ronald R Donatucci,Ross Feinberg,10
Christine Hope,5,58,56,57,11,10
Sharon Williams Losier,,1,59,61,3,10
Joffie C Pittman,,,0,57,3,10
Ronald R Donatucci,,,,4,0,10
Ross Feinberg,,,,,1,10
Total,73,65,60,68,12,10
,Register Of Wills,,Judge Of The Municipal Court,,,11
,Ronald R Donatucci,Ross Feinberg,Christine Hope,Sharon Williams Losier,Joffie C Pittman,11
Ronald R Donatucci,6,0,91,89,87,11
Ross Feinberg,,1,2,0,1,11
Christine Hope,,,0,90,90,11
Sharon Williams Losier,,,,0,88,11
Joffie C Pittman,,,,,0,11
Total,99,3,97,92,91,11
,Register Of Wills,,Judge Of The Municipal Court,,,12
,Ronald R Donatucci,Ross Feinberg,Sharon Williams Losier,Christine Hope,Joffie C Pittman,12
Ronald R Donatucci,4,0,115,105,103,12
Ross Feinberg,,0,3,2,2,12
Sharon Williams Losier,,,2,106,107,12
Christine Hope,,,,3,102,12
Joffie C Pittman,,,,,1,12
Total,125,3,124,114,109,12
,Judge Of The Municipal Court,,,Register Of Wills,,13
