col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,1
,Christine Donohue,Kevin M Dougherty,David Wecht,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Derek S Green,Blondell Reynolds Brown,Helen Gym,Allan Domb,William K Greenlee,David Oh,Dennis M O Brien,Al Taubenberger,Andrew C Stober,Daniel Tinney,Terry Tracy,John Staggs,Kristin Combs,Sheila E Armstrong,1
Christine Donohue,1,51,50,1,0,0,0,52,50,51,47,45,4,1,0,1,1,1,0,0,0,1
Kevin M Dougherty,,0,51,1,1,0,0,49,51,48,49,48,5,1,1,1,1,1,0,0,0,1
David Wecht,,,0,0,1,0,0,49,48,46,45,44,2,1,0,1,1,1,0,0,0,1
Anne Covey,,,,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Judy Olson,,,,,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Mike George,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul P Panepinto,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Derek S Green,,,,,,,,0,52,53,49,48,4,2,0,0,1,1,0,0,0,1
Blondell Reynolds Brown,,,,,,,,,0,51,49,48,3,1,0,0,0,1,0,0,0,1
Helen Gym,,,,,,,,,,0,49,46,4,1,0,0,1,0,0,0,0,1
Allan Domb,,,,,,,,,,,1,44,3,0,1,0,1,0,0,0,0,1
William K Greenlee,,,,,,,,,,,,0,2,1,0,0,0,1,0,0,0,1
David Oh,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1
Dennis M O Brien,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1
Al Taubenberger,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Andrew C Stober,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Daniel Tinney,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Terry Tracy,,,,,,,,,,,,,,,,,,0,0,0,0,1
John Staggs,,,,,,,,,,,,,,,,,,,0,0,0,1
Kristin Combs,,,,,,,,,,,,,,,,,,,,0,0,1
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,,,0,1
Total,60,59,55,1,1,0,0,58,56,55,54,50,5,2,1,1,1,1,0,0,0,1
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,2
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Blondell Reynolds Brown,Derek S Green,Allan Domb,Helen Gym,William K Greenlee,David Oh,Terry Tracy,Daniel Tinney,Al Taubenberger,Sheila E Armstrong,Andrew C Stober,Dennis M O Brien,Kristin Combs,John Staggs,2
Kevin M Dougherty,9,100,97,2,1,0,0,95,98,93,94,97,9,4,2,1,2,0,0,1,1,2
Christine Donohue,,2,96,0,0,0,1,96,92,91,92,91,5,2,0,0,1,1,0,2,1,2
David Wecht,,,2,1,0,0,1,93,89,85,90,89,6,2,0,1,1,1,1,2,1,2
Anne Covey,,,,0,3,2,0,1,1,2,3,1,4,2,2,1,1,1,1,0,0,2
Judy Olson,,,,,0,2,0,0,0,1,2,0,3,2,3,1,1,1,1,0,0,2
Mike George,,,,,,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2
Paul P Panepinto,,,,,,,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,2
Blondell Reynolds Brown,,,,,,,,0,91,90,90,92,6,2,0,1,1,1,1,2,1,2
Derek S Green,,,,,,,,,0,92,89,93,4,2,0,1,1,0,0,0,0,2
Allan Domb,,,,,,,,,,0,92,90,4,0,0,0,2,2,0,1,0,2
Helen Gym,,,,,,,,,,,0,87,7,1,1,1,3,2,1,1,1,2
William K Greenlee,,,,,,,,,,,,0,3,3,0,1,0,0,0,1,0,2
David Oh,,,,,,,,,,,,,0,5,2,3,3,1,2,1,1,2
Terry Tracy,,,,,,,,,,,,,,0,2,2,0,0,1,1,0,2
Daniel Tinney,,,,,,,,,,,,,,,0,1,0,0,1,0,0,2
Al Taubenberger,,,,,,,,,,,,,,,,0,0,0,2,0,0,2
Sheila E Armstrong,,,,,,,,,,,,,,,,,0,1,0,0,1,2
Andrew C Stober,,,,,,,,,,,,,,,,,,0,0,1,0,2
Dennis M O Brien,,,,,,,,,,,,,,,,,,,0,0,0,2
Kristin Combs,,,,,,,,,,,,,,,,,,,,0,0,2
John Staggs,,,,,,,,,,,,,,,,,,,,,0,2
Total,132,110,105,5,4,2,1,105,103,100,100,99,13,5,4,3,3,2,2,2,1,2
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,3
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Derek S Green,Allan Domb,Blondell Reynolds Brown,William K Greenlee,Helen Gym,David Oh,Dennis M O Brien,Terry Tracy,Al Taubenberger,Daniel Tinney,Andrew C Stober,Sheila E Armstrong,John Staggs,Kristin Combs,3
Kevin M Dougherty,1,51,52,0,0,0,1,50,49,49,49,47,1,1,1,0,0,2,1,0,0,3
Christine Donohue,,1,51,0,0,0,0,48,45,47,46,47,0,0,0,0,0,0,0,0,0,3
David Wecht,,,0,0,0,0,0,47,46,48,47,47,0,0,0,0,0,0,0,0,0,3
Judy Olson,,,,1,4,4,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,3
Anne Covey,,,,,0,4,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,3
Mike George,,,,,,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,3
Paul P Panepinto,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3
Derek S Green,,,,,,,,0,46,46,47,46,1,0,0,0,0,1,1,0,0,3
Allan Domb,,,,,,,,,0,46,46,46,0,0,1,0,0,1,0,0,0,3
Blondell Reynolds Brown,,,,,,,,,,0,46,47,0,0,0,0,0,0,0,0,0,3
William K Greenlee,,,,,,,,,,,0,46,1,1,0,0,0,1,1,0,0,3
Helen Gym,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3
David Oh,,,,,,,,,,,,,0,4,4,4,4,1,1,0,0,3
Dennis M O Brien,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,3
Terry Tracy,,,,,,,,,,,,,,,0,4,4,1,0,0,0,3
Al Taubenberger,,,,,,,,,,,,,,,,0,4,0,0,0,0,3
Daniel Tinney,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Andrew C Stober,,,,,,,,,,,,,,,,,,0,2,1,1,3
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,0,1,1,3
John Staggs,,,,,,,,,,,,,,,,,,,,0,1,3
Kristin Combs,,,,,,,,,,,,,,,,,,,,,0,3
Total,61,55,52,5,4,4,2,52,49,49,49,48,5,5,5,4,4,3,2,1,1,3
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,4
,Kevin M Dougherty,Christine Donohue,David Wecht,Mike George,Anne Covey,Judy Olson,Paul P Panepinto,William K Greenlee,Derek S Green,Allan Domb,Blondell Reynolds Brown,Helen Gym,David Oh,Al Taubenberger,Andrew C Stober,John Staggs,Terry Tracy,Daniel Tinney,Dennis M O Brien,Kristin Combs,Sheila E Armstrong,4
Kevin M Dougherty,5,48,45,0,0,0,0,46,47,46,46,45,2,1,0,0,0,0,0,0,0,4
Christine Donohue,,2,45,0,0,0,0,46,45,44,45,44,1,1,0,0,0,0,0,0,0,4
David Wecht,,,3,0,0,0,0,45,44,43,42,43,1,1,0,0,0,0,0,0,0,4
Mike George,,,,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,4
Anne Covey,,,,,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,4
Judy Olson,,,,,,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,4
Paul P Panepinto,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
William K Greenlee,,,,,,,,0,44,45,45,45,1,1,0,0,0,0,0,0,0,4
Derek S Green,,,,,,,,,0,44,44,44,0,0,0,0,0,0,0,0,0,4
Allan Domb,,,,,,,,,,0,44,47,1,1,0,0,0,0,0,0,0,4
Blondell Reynolds Brown,,,,,,,,,,,0,44,0,0,0,0,0,0,0,0,0,4
Helen Gym,,,,,,,,,,,,0,2,2,1,0,1,0,0,0,0,4
David Oh,,,,,,,,,,,,,0,2,1,0,1,0,0,0,0,4
Al Taubenberger,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,4
Andrew C Stober,,,,,,,,,,,,,,,0,0,1,0,0,0,0,4
John Staggs,,,,,,,,,,,,,,,,0,0,0,0,0,0,4
Terry Tracy,,,,,,,,,,,,,,,,,0,0,0,0,0,4
Daniel Tinney,,,,,,,,,,,,,,,,,,0,0,0,0,4
Dennis M O Brien,,,,,,,,,,,,,,,,,,,0,0,0,4
Kristin Combs,,,,,,,,,,,,,,,,,,,,0,0,4
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,,,0,4
Total,63,53,51,2,1,1,0,50,49,48,48,48,3,2,1,1,1,0,0,0,0,4
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,5
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne Covey,Judy Olson,Mike George,Paul P Panepinto,Blondell Reynolds Brown,Allan Domb,Derek S Green,William K Greenlee,Helen Gym,Daniel Tinney,David Oh,Andrew C Stober,Dennis M O Brien,John Staggs,Terry Tracy,Al Taubenberger,Kristin Combs,Sheila E Armstrong,5
Kevin M Dougherty,1,44,44,0,0,0,0,51,48,46,47,41,1,1,1,0,0,0,0,0,0,5
Christine Donohue,,2,44,0,0,0,0,41,43,41,39,39,0,1,0,0,0,0,0,0,0,5
David Wecht,,,1,0,0,0,0,42,42,43,40,40,0,1,0,0,0,0,0,0,0,5
Anne Covey,,,,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5
Judy Olson,,,,,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5
Mike George,,,,,,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5
Paul P Panepinto,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Blondell Reynolds Brown,,,,,,,,0,44,44,46,39,0,0,1,0,0,0,0,0,0,5
Allan Domb,,,,,,,,,0,43,42,41,0,1,1,0,0,0,0,0,0,5
Derek S Green,,,,,,,,,,0,44,40,0,0,1,0,0,0,0,0,0,5
William K Greenlee,,,,,,,,,,,0,39,0,0,1,0,0,0,0,0,0,5
Helen Gym,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,5
Daniel Tinney,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,5
David Oh,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,5
Andrew C Stober,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5
Dennis M O Brien,,,,,,,,,,,,,,,,0,0,1,0,0,0,5
John Staggs,,,,,,,,,,,,,,,,,1,0,0,0,0,5
Terry Tracy,,,,,,,,,,,,,,,,,,0,0,0,0,5
Al Taubenberger,,,,,,,,,,,,,,,,,,,0,0,0,5
Kristin Combs,,,,,,,,,,,,,,,,,,,,0,0,5
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,,,0,5
Total,60,49,47,1,1,1,0,52,50,47,47,42,2,2,1,1,1,1,0,0,0,5
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,6
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Helen Gym,Derek S Green,Daniel Tinney,David Oh,Al Taubenberger,Terry Tracy,Dennis M O Brien,Andrew C Stober,John Staggs,Kristin Combs,Sheila E Armstrong,6
Kevin M Dougherty,4,32,32,1,0,0,1,29,32,28,30,27,3,3,0,1,0,0,0,0,0,6
David Wecht,,1,32,1,1,0,0,29,27,27,27,25,0,2,0,0,0,0,0,0,0,6
Christine Donohue,,,1,0,0,0,0,26,27,26,27,26,0,2,0,0,0,0,0,0,0,6
Judy Olson,,,,1,2,1,1,1,1,1,1,0,1,2,2,2,1,0,0,0,0,6
Anne Covey,,,,,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,6
Mike George,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,6
Paul P Panepinto,,,,,,,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,6
Blondell Reynolds Brown,,,,,,,,0,27,25,28,25,0,3,0,1,0,0,0,0,0,6
William K Greenlee,,,,,,,,,0,25,28,25,0,2,0,1,0,0,0,0,0,6
Allan Domb,,,,,,,,,,0,26,25,0,1,0,0,0,0,0,0,0,6
Helen Gym,,,,,,,,,,,1,26,0,3,0,1,0,0,0,0,0,6
Derek S Green,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,6
Daniel Tinney,,,,,,,,,,,,,0,1,1,1,1,0,0,0,0,6
David Oh,,,,,,,,,,,,,,0,1,2,1,0,0,0,0,6
Al Taubenberger,,,,,,,,,,,,,,,0,1,1,0,0,0,0,6
Terry Tracy,,,,,,,,,,,,,,,,0,1,0,0,0,0,6
Dennis M O Brien,,,,,,,,,,,,,,,,,0,0,0,0,0,6
Andrew C Stober,,,,,,,,,,,,,,,,,,0,0,0,0,6
John Staggs,,,,,,,,,,,,,,,,,,,0,0,0,6
Kristin Combs,,,,,,,,,,,,,,,,,,,,0,0,6
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,,,0,6
Total,49,38,35,5,2,1,1,32,32,31,31,28,4,4,2,2,1,0,0,0,0,6
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,7
,Kevin M Dougherty,Christine Donohue,David Wecht,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,Blondell Reynolds Brown,Derek S Green,Allan Domb,William K Greenlee,Helen Gym,Daniel Tinney,David Oh,Al Taubenberger,Terry Tracy,Dennis M O Brien,John Staggs,Andrew C Stober,Kristin Combs,Sheila E Armstrong,7
Kevin M Dougherty,5,52,51,0,0,0,0,49,50,50,48,43,1,2,0,1,0,0,0,0,0,7
Christine Donohue,,2,52,0,0,0,0,54,50,50,49,44,0,1,0,0,0,0,0,0,0,7
David Wecht,,,1,0,0,0,0,49,52,49,49,44,0,1,0,0,0,0,0,0,0,7
Judy Olson,,,,1,4,4,0,1,0,0,0,0,3,3,3,3,3,0,0,0,0,7
Anne Covey,,,,,0,4,0,1,0,0,0,0,3,3,3,3,3,0,0,0,0,7
Mike George,,,,,,0,0,1,0,0,0,0,3,3,3,3,3,0,0,0,0,7
Paul P Panepinto,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Blondell Reynolds Brown,,,,,,,,0,52,52,53,45,0,1,0,0,0,0,0,0,0,7
Derek S Green,,,,,,,,,0,51,52,45,0,0,0,0,0,0,0,0,0,7
Allan Domb,,,,,,,,,,0,51,45,0,2,0,1,0,0,0,0,0,7
William K Greenlee,,,,,,,,,,,0,46,0,1,0,0,0,0,0,0,0,7
Helen Gym,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,7
Daniel Tinney,,,,,,,,,,,,,0,3,4,3,3,1,0,0,0,7
David Oh,,,,,,,,,,,,,,0,3,4,3,0,0,0,0,7
Al Taubenberger,,,,,,,,,,,,,,,0,3,3,1,0,0,0,7
Terry Tracy,,,,,,,,,,,,,,,,0,3,0,0,0,0,7
Dennis M O Brien,,,,,,,,,,,,,,,,,0,0,0,0,0,7
John Staggs,,,,,,,,,,,,,,,,,,0,0,0,0,7
Andrew C Stober,,,,,,,,,,,,,,,,,,,0,0,0,7
Kristin Combs,,,,,,,,,,,,,,,,,,,,0,0,7
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,,,0,7
Total,63,60,56,5,4,4,0,59,57,54,54,46,5,5,4,4,3,1,0,0,0,7
,Justice Of The Supreme Court,,,,,,,Council At Large,,,,,,,,,,,,,,8
,Kevin M Dougherty,David Wecht,Christine Donohue,Judy Olson,Anne Covey,Mike George,Paul P Panepinto,William K Greenlee,Allan Domb,Blondell Reynolds Brown,Helen Gym,Derek S Green,David Oh,Dennis M O Brien,Daniel Tinney,Al Taubenberger,Terry Tracy,Kristin Combs,Sheila E Armstrong,Andrew C Stober,John Staggs,8
Kevin M Dougherty,3,34,33,1,2,0,0,37,34,35,33,31,3,2,0,0,0,1,1,1,0,8
David Wecht,,1,33,0,0,0,0,35,34,33,35,33,3,1,0,0,0,0,0,0,0,8
Christine Donohue,,,1,0,0,0,0,33,30,32,32,32,3,1,0,0,0,0,0,0,0,8
Judy Olson,,,,0,2,2,0,0,0,0,1,0,3,4,3,3,3,1,1,1,0,8
Anne Covey,,,,,0,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,0,8
Mike George,,,,,,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,8
Paul P Panepinto,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
William K Greenlee,,,,,,,,0,35,34,33,32,3,1,0,0,0,0,0,0,0,8
Allan Domb,,,,,,,,,0,31,32,30,2,0,0,0,0,0,0,0,0,8
Blondell Reynolds Brown,,,,,,,,,,0,32,30,2,1,0,0,0,0,0,0,0,8
Helen Gym,,,,,,,,,,,0,31,1,1,0,0,0,1,1,1,0,8
