col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 4th District,Council At Large,,,,,,,,,,,,,,All
,Curtis J Jones Jr,Blondell Reynolds Brown,Derek S Green,Helen Gym,Allan Domb,William K Greenlee,David Oh,Dennis M O Brien,Daniel Tinney,Al Taubenberger,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,All
Curtis J Jones Jr,709,"17,082","16,733","16,274","16,156","15,972","2,006","1,500","1,296","1,286","1,208","1,114",775,461,211,All
Blondell Reynolds Brown,,242,"15,272","14,921","14,776","15,105",900,429,265,313,255,444,372,180,71,All
Derek S Green,,,131,"15,238","15,116","15,153",782,522,384,366,551,689,388,162,69,All
Helen Gym,,,,176,"15,175","14,922",932,597,511,476,673,"1,018",643,292,146,All
Allan Domb,,,,,174,"14,880",937,660,605,665,648,700,275,156,51,All
William K Greenlee,,,,,,96,914,640,404,456,306,481,374,161,57,All
David Oh,,,,,,,117,"1,995","1,782","1,782","1,659",172,173,150,45,All
Dennis M O Brien,,,,,,,,61,"1,934","1,845","1,718",166,107,72,20,All
Daniel Tinney,,,,,,,,,112,"1,937","1,861",153,96,74,23,All
Al Taubenberger,,,,,,,,,,67,"1,830",191,110,79,15,All
Terry Tracy,,,,,,,,,,,44,395,113,76,19,All
Andrew C Stober,,,,,,,,,,,,27,479,259,162,All
Kristin Combs,,,,,,,,,,,,,13,359,190,All
Sheila E Armstrong,,,,,,,,,,,,,,14,145,All
John Staggs,,,,,,,,,,,,,,,6,All
Total,"22,773","18,204","17,904","17,782","17,622","17,056","3,576","3,046","2,951","2,880","2,816","1,576","1,032",613,279,All
