col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Council At Large,,,,,,,,,,,,,,Judge Of The Commonwealth Court,,1
,Dennis M O Brien,Al Taubenberger,Daniel Tinney,David Oh,Allan Domb,Helen Gym,William K Greenlee,Terry Tracy,Derek S Green,Blondell Reynolds Brown,Kristin Combs,Andrew C Stober,Sheila E Armstrong,John Staggs,Michael Wojcik,Paul Lalley,1
Dennis M O Brien,9,52,43,51,20,15,20,33,11,5,1,0,2,0,30,35,1
Al Taubenberger,,1,44,43,18,11,13,37,6,3,2,0,3,1,22,35,1
Daniel Tinney,,,3,34,11,10,6,35,6,2,2,0,1,0,17,39,1
David Oh,,,,0,12,8,13,31,6,5,1,0,1,1,20,31,1
Allan Domb,,,,,0,35,35,7,28,22,2,2,1,0,39,7,1
Helen Gym,,,,,,3,32,9,26,22,3,2,1,0,37,3,1
William K Greenlee,,,,,,,0,4,31,26,2,1,0,1,41,3,1
Terry Tracy,,,,,,,,1,5,1,2,3,2,0,11,28,1
Derek S Green,,,,,,,,,1,22,3,2,0,0,30,4,1
Blondell Reynolds Brown,,,,,,,,,,0,1,0,0,0,28,0,1
Kristin Combs,,,,,,,,,,,0,1,1,0,3,2,1
Andrew C Stober,,,,,,,,,,,,0,0,0,1,0,1
Sheila E Armstrong,,,,,,,,,,,,,0,0,1,2,1
John Staggs,,,,,,,,,,,,,,0,1,0,1
Michael Wojcik,,,,,,,,,,,,,,,4,0,1
Paul Lalley,,,,,,,,,,,,,,,,1,1
Total,89,73,68,60,54,53,51,48,40,28,6,4,3,1,72,49,1
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,2
,Michael Wojcik,Paul Lalley,Allan Domb,Dennis M O Brien,Helen Gym,Derek S Green,Al Taubenberger,Blondell Reynolds Brown,William K Greenlee,David Oh,Daniel Tinney,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,2
Michael Wojcik,5,0,80,29,72,68,20,67,64,19,16,12,2,0,0,0,2
Paul Lalley,,0,6,45,7,2,44,4,5,43,40,40,1,2,2,1,2
Allan Domb,,,1,17,69,62,14,66,63,15,11,4,2,0,0,0,2
Dennis M O Brien,,,,6,14,9,59,9,9,54,53,45,1,1,1,1,2
Helen Gym,,,,,0,60,10,62,60,10,10,6,2,0,0,0,2
Derek S Green,,,,,,3,7,62,59,2,5,2,1,0,0,0,2
Al Taubenberger,,,,,,,0,6,6,49,51,48,0,0,0,0,2
Blondell Reynolds Brown,,,,,,,,1,62,7,3,3,2,0,0,0,2
William K Greenlee,,,,,,,,,0,5,5,2,0,0,0,0,2
David Oh,,,,,,,,,,1,45,42,1,0,0,0,2
Daniel Tinney,,,,,,,,,,,1,45,0,1,1,0,2
Terry Tracy,,,,,,,,,,,,0,0,1,1,0,2
Andrew C Stober,,,,,,,,,,,,,0,1,1,1,2
Kristin Combs,,,,,,,,,,,,,,0,2,1,2
Sheila E Armstrong,,,,,,,,,,,,,,,0,1,2
John Staggs,,,,,,,,,,,,,,,,0,2
Total,109,58,92,89,81,74,73,73,70,67,66,54,3,2,2,1,2
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,3
,Michael Wojcik,Paul Lalley,Dennis M O Brien,Al Taubenberger,Allan Domb,Daniel Tinney,Helen Gym,William K Greenlee,Derek S Green,David Oh,Terry Tracy,Blondell Reynolds Brown,Andrew C Stober,Sheila E Armstrong,John Staggs,Kristin Combs,3
Michael Wojcik,3,0,23,21,51,11,45,46,47,12,8,46,2,2,0,0,3
Paul Lalley,,0,40,44,8,40,6,4,2,30,37,0,1,0,1,1,3
Dennis M O Brien,,,5,50,13,39,12,9,8,40,35,4,1,1,0,0,3
Al Taubenberger,,,,2,17,44,10,8,6,38,40,5,2,2,1,1,3
Allan Domb,,,,,1,12,44,45,43,6,6,38,1,0,0,0,3
Daniel Tinney,,,,,,2,8,8,7,31,39,4,2,0,1,1,3
Helen Gym,,,,,,,0,40,42,3,5,35,2,0,0,0,3
William K Greenlee,,,,,,,,0,43,5,5,39,1,2,0,0,3
Derek S Green,,,,,,,,,0,2,1,40,2,1,0,0,3
David Oh,,,,,,,,,,0,31,2,1,0,0,0,3
Terry Tracy,,,,,,,,,,,0,1,0,1,0,0,3
Blondell Reynolds Brown,,,,,,,,,,,,0,2,1,0,0,3
Andrew C Stober,,,,,,,,,,,,,0,0,1,1,3
Sheila E Armstrong,,,,,,,,,,,,,,1,0,0,3
John Staggs,,,,,,,,,,,,,,,0,1,3
Kristin Combs,,,,,,,,,,,,,,,,0,3
Total,78,54,74,72,64,58,55,53,51,47,47,46,4,3,1,1,3
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,4
,Michael Wojcik,Paul Lalley,Allan Domb,Helen Gym,William K Greenlee,Blondell Reynolds Brown,Derek S Green,Al Taubenberger,Dennis M O Brien,Daniel Tinney,David Oh,Terry Tracy,Kristin Combs,Sheila E Armstrong,Andrew C Stober,John Staggs,4
Michael Wojcik,3,0,64,60,58,53,56,19,22,13,9,9,2,1,0,0,4
Paul Lalley,,0,4,4,1,1,0,23,21,23,18,19,1,2,0,0,4
Allan Domb,,,3,55,53,47,48,16,21,9,5,6,3,2,0,0,4
Helen Gym,,,,0,50,48,47,7,12,8,1,6,4,2,0,0,4
William K Greenlee,,,,,1,53,52,8,11,1,4,4,1,0,0,0,4
Blondell Reynolds Brown,,,,,,2,51,5,5,4,2,2,1,0,0,0,4
Derek S Green,,,,,,,1,7,6,2,1,2,0,0,0,0,4
Al Taubenberger,,,,,,,,7,32,31,26,25,0,1,0,0,4
Dennis M O Brien,,,,,,,,,2,25,25,22,2,2,0,0,4
Daniel Tinney,,,,,,,,,,0,21,23,1,1,0,0,4
David Oh,,,,,,,,,,,0,20,0,0,0,0,4
Terry Tracy,,,,,,,,,,,,0,0,0,0,0,4
Kristin Combs,,,,,,,,,,,,,0,2,0,0,4
Sheila E Armstrong,,,,,,,,,,,,,,0,0,0,4
Andrew C Stober,,,,,,,,,,,,,,,0,0,4
John Staggs,,,,,,,,,,,,,,,,0,4
Total,88,30,75,65,64,59,59,56,53,40,29,29,4,3,0,0,4
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,5
,Michael Wojcik,Paul Lalley,Allan Domb,Derek S Green,Helen Gym,Al Taubenberger,Blondell Reynolds Brown,William K Greenlee,Daniel Tinney,Dennis M O Brien,Terry Tracy,David Oh,Andrew C Stober,John Staggs,Kristin Combs,Sheila E Armstrong,5
Michael Wojcik,5,0,43,42,34,9,30,27,6,6,7,5,0,0,0,0,5
Paul Lalley,,1,5,1,0,22,0,0,19,20,18,18,2,1,1,1,5
Allan Domb,,,2,37,33,12,28,27,6,5,8,1,2,0,0,0,5
Derek S Green,,,,1,30,3,29,27,1,3,5,2,0,0,0,0,5
Helen Gym,,,,,3,3,26,25,2,0,3,1,1,0,0,0,5
Al Taubenberger,,,,,,2,0,1,27,21,22,19,1,0,0,0,5
Blondell Reynolds Brown,,,,,,,1,24,0,1,2,1,0,0,0,0,5
William K Greenlee,,,,,,,,1,0,0,0,0,0,0,0,0,5
Daniel Tinney,,,,,,,,,0,17,19,17,1,0,0,0,5
Dennis M O Brien,,,,,,,,,,1,22,19,1,0,0,0,5
Terry Tracy,,,,,,,,,,,0,19,2,1,1,1,5
David Oh,,,,,,,,,,,,0,0,0,0,0,5
Andrew C Stober,,,,,,,,,,,,,0,1,1,1,5
John Staggs,,,,,,,,,,,,,,1,1,1,5
Kristin Combs,,,,,,,,,,,,,,,0,1,5
Sheila E Armstrong,,,,,,,,,,,,,,,,0,5
Total,69,28,55,46,42,38,35,30,29,29,29,24,3,2,1,1,5
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,6
,Michael Wojcik,Paul Lalley,Allan Domb,Derek S Green,Blondell Reynolds Brown,Helen Gym,William K Greenlee,Al Taubenberger,Dennis M O Brien,David Oh,Daniel Tinney,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,6
Michael Wojcik,5,0,91,89,91,92,81,16,13,5,5,6,4,2,2,1,6
Paul Lalley,,0,0,0,0,0,0,25,25,21,26,23,2,1,1,1,6
Allan Domb,,,7,84,77,79,77,7,5,5,2,3,4,1,0,0,6
Derek S Green,,,,2,80,79,80,6,7,2,3,3,3,1,0,0,6
Blondell Reynolds Brown,,,,,1,72,76,7,6,5,3,3,0,1,1,0,6
Helen Gym,,,,,,1,72,7,6,1,1,4,5,2,0,1,6
William K Greenlee,,,,,,,1,5,5,2,1,3,2,0,1,0,6
Al Taubenberger,,,,,,,,2,32,25,26,26,3,1,2,2,6
Dennis M O Brien,,,,,,,,,3,23,26,24,1,1,2,0,6
David Oh,,,,,,,,,,2,22,24,0,0,1,0,6
Daniel Tinney,,,,,,,,,,,0,24,2,1,1,1,6
Terry Tracy,,,,,,,,,,,,0,3,0,2,1,6
Andrew C Stober,,,,,,,,,,,,,0,2,1,2,6
Kristin Combs,,,,,,,,,,,,,,0,1,1,6
Sheila E Armstrong,,,,,,,,,,,,,,,0,0,6
John Staggs,,,,,,,,,,,,,,,,0,6
Total,133,31,107,100,98,96,88,50,45,34,32,31,7,3,3,2,6
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,7
,Michael Wojcik,Paul Lalley,Derek S Green,Helen Gym,Allan Domb,Blondell Reynolds Brown,William K Greenlee,Al Taubenberger,David Oh,Dennis M O Brien,Terry Tracy,Daniel Tinney,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,7
Michael Wojcik,2,0,46,43,42,40,37,5,5,5,4,3,3,2,2,1,7
Paul Lalley,,0,0,2,0,0,0,14,14,12,12,12,0,1,1,1,7
Derek S Green,,,1,38,40,38,34,3,3,3,3,1,1,1,1,0,7
Helen Gym,,,,0,37,35,35,5,4,4,5,2,3,3,2,2,7
Allan Domb,,,,,3,37,32,5,4,1,3,1,2,1,1,0,7
Blondell Reynolds Brown,,,,,,1,35,2,2,2,0,0,0,0,0,0,7
William K Greenlee,,,,,,,0,2,0,1,0,1,0,0,0,0,7
Al Taubenberger,,,,,,,,2,15,14,16,14,1,1,1,1,7
David Oh,,,,,,,,,0,17,14,12,1,1,0,1,7
Dennis M O Brien,,,,,,,,,,1,13,13,0,0,0,0,7
Terry Tracy,,,,,,,,,,,1,13,1,0,1,0,7
Daniel Tinney,,,,,,,,,,,,2,1,0,1,0,7
Andrew C Stober,,,,,,,,,,,,,1,1,1,1,7
Kristin Combs,,,,,,,,,,,,,,0,2,2,7
Sheila E Armstrong,,,,,,,,,,,,,,,0,1,7
John Staggs,,,,,,,,,,,,,,,,0,7
Total,58,16,49,49,47,43,38,25,23,22,19,17,5,3,3,2,7
,Judge Of The Commonwealth Court,,Council At Large,,,,,,,,,,,,,,8
,Michael Wojcik,Paul Lalley,Allan Domb,Al Taubenberger,Dennis M O Brien,Helen Gym,William K Greenlee,Derek S Green,Blondell Reynolds Brown,Daniel Tinney,David Oh,Terry Tracy,Andrew C Stober,Kristin Combs,John Staggs,Sheila E Armstrong,8
Michael Wojcik,5,0,79,33,27,68,67,66,65,18,20,15,5,1,1,1,8
Paul Lalley,,0,6,39,37,3,3,3,1,33,30,32,1,0,0,0,8
Allan Domb,,,2,30,19,61,61,63,60,14,12,10,2,0,0,1,8
Al Taubenberger,,,,1,52,15,14,11,13,50,39,42,3,1,0,1,8
Dennis M O Brien,,,,,7,12,11,8,5,38,41,41,3,0,1,1,8
Helen Gym,,,,,,3,57,56,55,8,9,4,3,1,1,0,8
William K Greenlee,,,,,,,0,58,57,5,8,4,1,1,0,0,8
Derek S Green,,,,,,,,0,58,6,5,7,3,0,0,0,8
