col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,All
,Alice Beck Dubow,Emil Giordano,Christine Hope,Sharon Williams Losier,Joffie C Pittman,All
Alice Beck Dubow,46,0,"1,379","1,344","1,329",All
Emil Giordano,,3,30,6,6,All
Christine Hope,,,33,"1,294","1,306",All
Sharon Williams Losier,,,,28,"1,300",All
Joffie C Pittman,,,,,15,All
Total,"1,534",33,"1,463","1,406","1,379",All
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,1
,Alice Beck Dubow,Emil Giordano,Sharon Williams Losier,Christine Hope,Joffie C Pittman,1
Alice Beck Dubow,5,0,27,28,27,1
Emil Giordano,,0,0,0,0,1
Sharon Williams Losier,,,4,25,27,1
Christine Hope,,,,2,26,1
Joffie C Pittman,,,,,1,1
Total,39,0,34,32,31,1
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,2
,Alice Beck Dubow,Emil Giordano,Christine Hope,Joffie C Pittman,Sharon Williams Losier,2
Alice Beck Dubow,4,0,40,39,38,2
Emil Giordano,,1,3,1,1,2
Christine Hope,,,1,41,41,2
Joffie C Pittman,,,,0,41,2
Sharon Williams Losier,,,,,0,2
Total,47,4,47,43,42,2
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,3
,Alice Beck Dubow,Emil Giordano,Sharon Williams Losier,Christine Hope,Joffie C Pittman,3
Alice Beck Dubow,1,0,68,68,65,3
Emil Giordano,,0,0,0,0,3
Sharon Williams Losier,,,2,66,65,3
Christine Hope,,,,0,65,3
Joffie C Pittman,,,,,0,3
Total,71,0,70,68,65,3
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,4
,Alice Beck Dubow,Emil Giordano,Christine Hope,Sharon Williams Losier,Joffie C Pittman,4
Alice Beck Dubow,3,0,49,42,41,4
Emil Giordano,,0,1,0,0,4
Christine Hope,,,4,39,39,4
Sharon Williams Losier,,,,0,39,4
Joffie C Pittman,,,,,0,4
Total,57,1,54,42,41,4
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,5
,Alice Beck Dubow,Emil Giordano,Christine Hope,Joffie C Pittman,Sharon Williams Losier,5
Alice Beck Dubow,4,0,76,73,69,5
Emil Giordano,,0,3,0,0,5
Christine Hope,,,1,70,69,5
Joffie C Pittman,,,,0,68,5
Sharon Williams Losier,,,,,1,5
Total,85,3,81,74,71,5
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,6
,Alice Beck Dubow,Emil Giordano,Christine Hope,Sharon Williams Losier,Joffie C Pittman,6
Alice Beck Dubow,1,0,39,39,34,6
Emil Giordano,,0,0,0,0,6
Christine Hope,,,1,36,35,6
Sharon Williams Losier,,,,0,34,6
Joffie C Pittman,,,,,1,6
Total,44,0,41,40,36,6
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,7
,Alice Beck Dubow,Emil Giordano,Joffie C Pittman,Sharon Williams Losier,Christine Hope,7
Alice Beck Dubow,2,0,84,84,82,7
Emil Giordano,,1,1,1,1,7
Joffie C Pittman,,,2,83,83,7
Sharon Williams Losier,,,,1,83,7
Christine Hope,,,,,0,7
Total,88,2,87,86,83,7
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,8
,Alice Beck Dubow,Emil Giordano,Christine Hope,Sharon Williams Losier,Joffie C Pittman,8
Alice Beck Dubow,4,0,77,74,74,8
Emil Giordano,,0,4,2,2,8
Christine Hope,,,3,73,75,8
Sharon Williams Losier,,,,2,73,8
Joffie C Pittman,,,,,0,8
Total,86,4,85,79,77,8
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,9
,Alice Beck Dubow,Emil Giordano,Sharon Williams Losier,Joffie C Pittman,Christine Hope,9
Alice Beck Dubow,0,0,100,96,96,9
Emil Giordano,,0,0,0,0,9
Sharon Williams Losier,,,0,97,96,9
Joffie C Pittman,,,,2,95,9
Christine Hope,,,,,1,9
Total,101,0,101,99,98,9
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,10
,Alice Beck Dubow,Emil Giordano,Christine Hope,Joffie C Pittman,Sharon Williams Losier,10
Alice Beck Dubow,5,0,78,69,60,10
Emil Giordano,,0,1,0,0,10
Christine Hope,,,2,64,55,10
Joffie C Pittman,,,,4,50,10
Sharon Williams Losier,,,,,0,10
Total,97,1,84,76,61,10
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,11
,Alice Beck Dubow,Emil Giordano,Sharon Williams Losier,Joffie C Pittman,Christine Hope,11
Alice Beck Dubow,3,0,72,69,66,11
Emil Giordano,,0,0,0,1,11
Sharon Williams Losier,,,3,69,65,11
Joffie C Pittman,,,,2,65,11
Christine Hope,,,,,2,11
Total,82,1,79,75,71,11
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,12
,Alice Beck Dubow,Emil Giordano,Christine Hope,Sharon Williams Losier,Joffie C Pittman,12
Alice Beck Dubow,3,0,63,61,58,12
Emil Giordano,,0,1,1,1,12
Christine Hope,,,0,57,58,12
Sharon Williams Losier,,,,1,56,12
Joffie C Pittman,,,,,1,12
Total,72,1,64,63,60,12
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,13
,Alice Beck Dubow,Emil Giordano,Christine Hope,Sharon Williams Losier,Joffie C Pittman,13
Alice Beck Dubow,2,0,78,76,72,13
Emil Giordano,,0,4,0,0,13
Christine Hope,,,4,70,71,13
Sharon Williams Losier,,,,4,71,13
Joffie C Pittman,,,,,0,13
Total,86,4,86,80,72,13
,Judge Of The Municipal Court,,,Judge Of The Superior Court,,14
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Alice Beck Dubow,Emil Giordano,14
Christine Hope,3,119,117,118,3,14
Sharon Williams Losier,,2,119,116,0,14
Joffie C Pittman,,,0,117,0,14
Alice Beck Dubow,,,,3,0,14
Emil Giordano,,,,,0,14
Total,128,123,121,124,3,14
,Judge Of The Municipal Court,,,Judge Of The Superior Court,,15
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Alice Beck Dubow,Emil Giordano,15
Christine Hope,0,57,57,57,1,15
Joffie C Pittman,,0,57,57,0,15
Sharon Williams Losier,,,0,57,0,15
Alice Beck Dubow,,,,0,0,15
Emil Giordano,,,,,0,15
Total,58,57,57,57,1,15
,Judge Of The Municipal Court,,,Judge Of The Superior Court,,16
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Alice Beck Dubow,Emil Giordano,16
Sharon Williams Losier,3,36,31,36,1,16
Joffie C Pittman,,1,32,34,1,16
Christine Hope,,,1,36,1,16
Alice Beck Dubow,,,,0,0,16
Emil Giordano,,,,,0,16
Total,44,40,38,43,1,16
,Judge Of The Superior Court,,Judge Of The Municipal Court,,,17
,Alice Beck Dubow,Emil Giordano,Sharon Williams Losier,Christine Hope,Joffie C Pittman,17
Alice Beck Dubow,2,0,49,46,44,17
