col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,District Council 2nd District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Kenyatta Johnson,Ken Powell,Mia Roberts Perez,Kai Scott,Abbe Fletman,Tracy B Roman,Lyris Younge,Stephanie M Sawyer,Chris Mallios,Rainy Papademetriou,Michael Fanning,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,All
Kenyatta Johnson,"1,949","14,164","13,842","13,670","13,343","13,188","12,531","11,928","11,519","11,474","11,469","11,489","10,738","1,449",All
Ken Powell,,211,"13,846","13,853","13,731","13,083","12,809","12,069","11,918","11,795","11,902","11,836","10,935","1,159",All
Mia Roberts Perez,,,73,"13,998","13,814","13,179","12,882","12,280","11,970","11,922","11,850","11,999","10,900","1,145",All
Kai Scott,,,,54,"13,928","12,985","12,859","12,136","12,025","11,920","11,826","11,900","10,796","1,058",All
Abbe Fletman,,,,,63,"12,866","12,737","12,043","12,084","11,937","11,786","11,798","10,806","1,059",All
Tracy B Roman,,,,,,111,"12,862","11,426","11,037","10,967","11,098","11,132","10,947","1,173",All
Lyris Younge,,,,,,,25,"11,172","10,959","10,862","10,980","11,049","10,771",991,All
Stephanie M Sawyer,,,,,,,,22,"11,925","11,863","11,936","12,020","10,950","1,153",All
Chris Mallios,,,,,,,,,14,"11,858","11,795","11,746","10,883","1,070",All
Rainy Papademetriou,,,,,,,,,,47,"11,653","11,659","10,714",934,All
Michael Fanning,,,,,,,,,,,17,"11,788","10,911","1,099",All
Daine Grey Jr,,,,,,,,,,,,10,"10,813","1,046",All
Scott Diclaudio,,,,,,,,,,,,,88,"1,061",All
Vincent Furlong,,,,,,,,,,,,,,"1,185",All
Total,"19,144","15,779","15,287","15,110","14,838","14,422","13,518","13,063","12,705","12,646","12,502","12,475","11,662","3,042",All
