col_1,col_2,col_3,col_4,col_5,division
,Register Of Wills,,Judge Of The Commonwealth Court,,1
,Ronald R Donatucci,Ross Feinberg,Michael Wojcik,Paul Lalley,1
Ronald R Donatucci,5,0,90,2,1
Ross Feinberg,,1,2,1,1
Michael Wojcik,,,2,0,1
Paul Lalley,,,,1,1
Total,97,4,94,4,1
,Judge Of The Commonwealth Court,,Register Of Wills,,2
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,2
Michael Wojcik,10,0,131,7,2
Paul Lalley,,0,1,1,2
Ronald R Donatucci,,,9,0,2
Ross Feinberg,,,,1,2
Total,148,2,141,9,2
,Register Of Wills,,Judge Of The Commonwealth Court,,3
,Ronald R Donatucci,Ross Feinberg,Michael Wojcik,Paul Lalley,3
Ronald R Donatucci,12,0,72,1,3
Ross Feinberg,,1,2,2,3
Michael Wojcik,,,9,0,3
Paul Lalley,,,,1,3
Total,85,5,83,4,3
,Register Of Wills,,Judge Of The Commonwealth Court,,4
,Ronald R Donatucci,Ross Feinberg,Michael Wojcik,Paul Lalley,4
Ronald R Donatucci,12,0,95,0,4
Ross Feinberg,,0,2,0,4
Michael Wojcik,,,8,0,4
Paul Lalley,,,,0,4
Total,107,2,105,0,4
,Judge Of The Commonwealth Court,,Register Of Wills,,5
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,5
Michael Wojcik,7,0,105,4,5
Paul Lalley,,1,1,2,5
Ronald R Donatucci,,,4,0,5
Ross Feinberg,,,,0,5
Total,116,4,110,6,5
,Judge Of The Commonwealth Court,,Register Of Wills,,6
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,6
Michael Wojcik,8,0,63,1,6
Paul Lalley,,0,0,0,6
Ronald R Donatucci,,,7,0,6
Ross Feinberg,,,,0,6
Total,72,0,70,1,6
,Judge Of The Commonwealth Court,,Register Of Wills,,7
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,7
Michael Wojcik,7,0,101,1,7
Paul Lalley,,0,0,1,7
Ronald R Donatucci,,,7,0,7
Ross Feinberg,,,,0,7
Total,109,1,108,2,7
,Judge Of The Commonwealth Court,,Register Of Wills,,8
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,8
Michael Wojcik,5,0,72,7,8
Paul Lalley,,1,1,1,8
Ronald R Donatucci,,,6,0,8
Ross Feinberg,,,,0,8
Total,84,3,79,8,8
,Judge Of The Commonwealth Court,,Register Of Wills,,9
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,9
Michael Wojcik,25,0,169,11,9
Paul Lalley,,2,0,6,9
Ronald R Donatucci,,,8,0,9
Ross Feinberg,,,,2,9
Total,205,8,177,19,9
,Judge Of The Commonwealth Court,,Register Of Wills,,10
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,10
Michael Wojcik,11,0,88,1,10
Paul Lalley,,0,0,1,10
Ronald R Donatucci,,,7,0,10
Ross Feinberg,,,,0,10
Total,100,1,95,2,10
,Judge Of The Commonwealth Court,,Register Of Wills,,11
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,11
Michael Wojcik,14,0,103,1,11
Paul Lalley,,1,0,4,11
Ronald R Donatucci,,,12,0,11
Ross Feinberg,,,,0,11
Total,118,5,115,5,11
,Judge Of The Commonwealth Court,,Register Of Wills,,12
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,12
Michael Wojcik,11,0,95,6,12
Paul Lalley,,1,0,1,12
Ronald R Donatucci,,,5,0,12
Ross Feinberg,,,,0,12
Total,112,2,100,7,12
,Judge Of The Commonwealth Court,,Register Of Wills,,13
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,13
Michael Wojcik,6,0,80,4,13
Paul Lalley,,1,0,1,13
Ronald R Donatucci,,,7,0,13
Ross Feinberg,,,,1,13
Total,90,2,87,6,13
,Judge Of The Commonwealth Court,,Register Of Wills,,14
,Michael Wojcik,Paul Lalley,Ronald R Donatucci,Ross Feinberg,14
Michael Wojcik,27,0,95,1,14
Paul Lalley,,0,0,0,14
Ronald R Donatucci,,,12,0,14
Ross Feinberg,,,,0,14
Total,123,0,107,1,14
,Judge Of The Commonwealth Court,,Register Of Wills,,15
