col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Council At Large,,,,,,,,,,,,,,All
,Ken Powell,Mia Roberts Perez,Kai Scott,Tracy B Roman,Abbe Fletman,Lyris Younge,Stephanie M Sawyer,Michael Fanning,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,Helen Gym,Derek S Green,Allan Domb,Blondell Reynolds Brown,William K Greenlee,David Oh,Al Taubenberger,Dennis M O Brien,Daniel Tinney,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,All
Ken Powell,"1,354","132,532","132,905","129,959","131,448","127,090","115,556","114,150","113,677","113,455","111,561","107,983","12,782","121,168","123,839","119,378","119,338","119,485","12,646","10,641","11,024","8,999","8,505","9,263","6,993","3,152","1,834",All
Mia Roberts Perez,,676,"133,677","130,128","131,733","127,381","116,853","112,467","113,539","114,190","112,589","107,246","12,086","122,850","120,971","118,066","118,980","118,245","12,402","9,514","9,521","7,857","8,287","10,089","7,763","3,609","2,113",All
Kai Scott,,,380,"128,531","133,004","127,583","115,786","112,688","114,267","113,764","112,616","106,755","11,701","121,986","120,997","117,629","118,286","118,067","11,892","9,286","9,293","7,596","8,079","10,425","7,741","3,378","2,025",All
Tracy B Roman,,,,558,"127,436","127,374","113,377","110,027","109,246","110,324","107,807","108,048","12,838","117,734","117,736","116,127","115,762","115,541","12,366","10,099","9,954","8,541","8,112","7,417","6,343","3,273","1,826",All
Abbe Fletman,,,,,167,"126,068","114,539","112,234","114,187","112,598","112,353","106,637","11,568","121,046","118,753","117,050","115,585","116,782","11,526","9,644","9,465","7,788","8,235","10,774","7,707","3,290","1,964",All
Lyris Younge,,,,,,247,"110,673","108,611","108,256","109,535","107,070","106,397","10,995","115,456","115,722","113,103","113,910","113,611","10,773","8,417","8,429","6,905","6,868","7,114","6,137","3,036","1,786",All
Stephanie M Sawyer,,,,,,,104,"114,219","113,898","115,494","112,577","108,388","12,989","107,591","105,149","103,382","102,780","103,171","12,225","10,148","9,989","8,416","8,700","8,890","6,899","3,402","1,932",All
Michael Fanning,,,,,,,,154,"112,888","112,843","110,716","108,201","12,773","103,318","102,078","101,066","99,148","101,083","11,284","10,276","10,419","8,812","8,240","7,970","6,117","2,910","1,704",All
Chris Mallios,,,,,,,,,47,"112,317","112,205","107,923","12,002","105,065","102,390","101,038","99,502","101,235","10,767","9,450","9,461","7,833","8,051","9,540","6,876","2,961","1,803",All
Daine Grey Jr,,,,,,,,,,85,"111,052","107,023","11,660","104,359","102,922","100,864","100,528","101,132","10,751","8,717","8,704","7,240","7,662","8,155","6,304","3,040","1,786",All
Rainy Papademetriou,,,,,,,,,,,77,"105,548","10,059","104,478","101,526","99,829","99,111","100,255","9,984","8,209","8,049","6,612","7,186","9,357","6,895","3,006","1,844",All
Scott Diclaudio,,,,,,,,,,,,152,"11,456","98,054","97,249","97,111","95,150","96,838","10,489","9,242","9,064","7,948","7,099","6,133","5,183","2,579","1,539",All
Vincent Furlong,,,,,,,,,,,,,407,"8,479","7,414","10,050","6,031","7,789","20,223","22,080","21,198","20,734","19,024","2,314","1,742","1,621",582,All
Helen Gym,,,,,,,,,,,,,,"1,123","120,148","118,758","116,341","117,206","7,808","5,318","5,537","4,414","6,406","11,240","7,853","2,655","1,649",All
Derek S Green,,,,,,,,,,,,,,,"1,036","117,686","118,414","118,258","6,297","4,590","4,947","3,720","4,959","7,145","4,748","1,428",756,All
Allan Domb,,,,,,,,,,,,,,,,"2,115","113,304","115,578","8,499","8,512","7,123","6,221","6,014","6,870","2,861","1,364",560,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,"2,416","117,779","6,786","3,659","3,315","2,525","2,473","4,889","4,372","1,455",753,All
William K Greenlee,,,,,,,,,,,,,,,,,,686,"7,362","5,742","5,931","3,849","2,815","4,858","4,089","1,283",653,All
David Oh,,,,,,,,,,,,,,,,,,,928,"18,865","20,213","17,688","16,604","1,513","1,299","1,081",378,All
Al Taubenberger,,,,,,,,,,,,,,,,,,,,"1,046","21,248","20,723","18,322","1,638",937,784,212,All
Dennis M O Brien,,,,,,,,,,,,,,,,,,,,,"1,058","20,577","17,309","1,247",832,640,176,All
Daniel Tinney,,,,,,,,,,,,,,,,,,,,,,"1,384","18,173","1,036",661,563,180,All
Terry Tracy,,,,,,,,,,,,,,,,,,,,,,,202,"3,703","1,028",731,182,All
Andrew C Stober,,,,,,,,,,,,,,,,,,,,,,,,263,"5,366","2,357","1,658",All
Kristin Combs,,,,,,,,,,,,,,,,,,,,,,,,,136,"3,132","2,055",All
Sheila E Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,95,"1,399",All
John Staggs,,,,,,,,,,,,,,,,,,,,,,,,,,,42,All
Total,"152,041","146,975","144,696","142,533","141,199","134,584","125,951","120,884","120,789","120,181","118,709","113,585","36,377","143,321","142,578","141,541","139,644","135,535","34,334","34,181","33,751","31,440","27,691","16,054","11,170","5,340","2,943",All
