col_1,col_2,division
,District Council 1st District,All
,Mark F Squilla,All
Mark F Squilla,"3,010",All
Total,"3,010",All
,District Council 1st District,1
,Mark F Squilla,1
Mark F Squilla,129,1
Total,129,1
,District Council 1st District,2
,Mark F Squilla,2
Mark F Squilla,167,2
Total,167,2
,District Council 1st District,3
,Mark F Squilla,3
Mark F Squilla,220,3
Total,220,3
,District Council 1st District,4
,Mark F Squilla,4
Mark F Squilla,173,4
Total,173,4
,District Council 1st District,5
,Mark F Squilla,5
Mark F Squilla,64,5
Total,64,5
,District Council 1st District,6
,Mark F Squilla,6
Mark F Squilla,89,6
Total,89,6
,District Council 1st District,7
,Mark F Squilla,7
Mark F Squilla,70,7
Total,70,7
,District Council 1st District,8
,Mark F Squilla,8
Mark F Squilla,86,8
Total,86,8
,District Council 1st District,9
,Mark F Squilla,9
Mark F Squilla,116,9
Total,116,9
,District Council 1st District,10
,Mark F Squilla,10
Mark F Squilla,142,10
Total,142,10
,District Council 1st District,11
,Mark F Squilla,11
Mark F Squilla,206,11
Total,206,11
,District Council 1st District,12
,Mark F Squilla,12
Mark F Squilla,66,12
Total,66,12
,District Council 1st District,13
,Mark F Squilla,13
Mark F Squilla,108,13
Total,108,13
,District Council 1st District,14
,Mark F Squilla,14
Mark F Squilla,131,14
Total,131,14
,District Council 1st District,15
,Mark F Squilla,15
Mark F Squilla,210,15
Total,210,15
,District Council 1st District,16
,Mark F Squilla,16
Mark F Squilla,102,16
Total,102,16
,District Council 1st District,17
,Mark F Squilla,17
Mark F Squilla,176,17
Total,176,17
,District Council 1st District,18
,Mark F Squilla,18
Mark F Squilla,202,18
Total,202,18
,District Council 1st District,19
,Mark F Squilla,19
Mark F Squilla,200,19
Total,200,19
,District Council 1st District,20
,Mark F Squilla,20
Mark F Squilla,162,20
Total,162,20
,District Council 1st District,21
,Mark F Squilla,21
Mark F Squilla,191,21
Total,191,21
