col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 8th District,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Cindy Bass,Michael Galganski,Ken Powell,Mia Roberts Perez,Kai Scott,Abbe Fletman,Tracy B Roman,Lyris Younge,Stephanie M Sawyer,Daine Grey Jr,Chris Mallios,Rainy Papademetriou,Michael Fanning,Scott Diclaudio,Vincent Furlong,All
Cindy Bass,"1,789",0,"20,587","20,249","20,176","19,457","19,353","19,046","17,266","16,725","16,450","16,352","16,182","15,382","1,157",All
Michael Galganski,,123,381,416,411,391,358,337,383,330,365,345,346,292,339,All
Ken Powell,,,233,"19,740","19,865","19,527","19,157","18,999","16,946","16,684","16,569","16,449","16,451","15,634","1,124",All
Mia Roberts Perez,,,,113,"20,010","19,603","19,207","19,081","17,229","16,826","16,632","16,613","16,414","15,640","1,111",All
Kai Scott,,,,,106,"19,804","19,028","19,131","17,134","16,800","16,766","16,624","16,438","15,584","1,084",All
Abbe Fletman,,,,,,55,"18,768","18,765","16,767","16,508","16,761","16,539","16,320","15,555","1,034",All
Tracy B Roman,,,,,,,128,"18,929","16,458","16,094","15,802","15,746","15,879","15,599","1,074",All
Lyris Younge,,,,,,,,62,"16,416","16,206","15,866","15,831","15,914","15,616","1,043",All
Stephanie M Sawyer,,,,,,,,,28,"16,931","16,554","16,544","16,519","15,688","1,099",All
Daine Grey Jr,,,,,,,,,,19,"16,370","16,317","16,416","15,558","1,055",All
Chris Mallios,,,,,,,,,,,16,"16,444","16,291","15,612","1,000",All
Rainy Papademetriou,,,,,,,,,,,,25,"16,151","15,466",906,All
Michael Fanning,,,,,,,,,,,,,13,"15,578",982,All
Scott Diclaudio,,,,,,,,,,,,,,5,866,All
Vincent Furlong,,,,,,,,,,,,,,,445,All
Total,"26,147",829,"22,175","21,723","21,685","20,816","20,650","20,241","18,251","17,573","17,389","17,267","16,998","16,037","2,061",All
