col_1,col_2,col_3,col_4,col_5,col_6,division
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,17
Alice Beck Dubow,6,0,134,122,1,17
Emil Giordano,,0,0,0,0,17
Anthony Clark,,,8,115,1,17
Lisa M Deeley,,,,1,0,17
Al Schmidt,,,,,1,17
Total,148,0,143,124,2,17
,Judge Of The Superior Court,,City Commissioners,,,18
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,18
Alice Beck Dubow,8,0,161,158,7,18
Emil Giordano,,0,2,4,8,18
Anthony Clark,,,10,145,4,18
Lisa M Deeley,,,,4,4,18
Al Schmidt,,,,,0,18
Total,186,10,174,167,15,18
,Judge Of The Superior Court,,City Commissioners,,,19
,Alice Beck Dubow,Emil Giordano,Lisa M Deeley,Anthony Clark,Al Schmidt,19
Alice Beck Dubow,6,0,113,106,0,19
Emil Giordano,,0,0,1,4,19
Lisa M Deeley,,,2,102,0,19
Anthony Clark,,,,5,0,19
Al Schmidt,,,,,0,19
Total,124,5,116,113,4,19
,Judge Of The Superior Court,,City Commissioners,,,20
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,20
Alice Beck Dubow,9,0,179,159,1,20
Emil Giordano,,0,2,1,3,20
Anthony Clark,,,10,152,2,20
Lisa M Deeley,,,,4,0,20
Al Schmidt,,,,,0,20
Total,196,4,191,164,4,20
,Judge Of The Superior Court,,City Commissioners,,,21
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,21
Alice Beck Dubow,5,0,166,159,7,21
Emil Giordano,,1,1,1,12,21
Anthony Clark,,,11,147,3,21
Lisa M Deeley,,,,3,5,21
Al Schmidt,,,,,1,21
Total,187,13,180,166,21,21
,City Commissioners,,,Judge Of The Superior Court,,22
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,22
Anthony Clark,12,147,1,167,3,22
Lisa M Deeley,,2,0,145,0,22
Al Schmidt,,,0,3,2,22
Alice Beck Dubow,,,,8,0,22
Emil Giordano,,,,,1,22
Total,189,154,5,182,6,22
