col_1,col_2,col_3,col_4,col_5,division
,District Council 4th District,City Commissioners,,,1
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,1
Curtis J Jones Jr,5,85,85,0,1
Anthony Clark,,4,82,0,1
Lisa M Deeley,,,0,1,1
Al Schmidt,,,,0,1
Total,97,93,90,1,1
,District Council 4th District,City Commissioners,,,2
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,2
Curtis J Jones Jr,6,120,120,5,2
Anthony Clark,,3,111,1,2
Lisa M Deeley,,,3,2,2
Al Schmidt,,,,1,2
Total,139,125,125,6,2
,District Council 4th District,City Commissioners,,,3
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,3
Curtis J Jones Jr,7,98,92,1,3
Anthony Clark,,1,92,1,3
Lisa M Deeley,,,2,0,3
Al Schmidt,,,,2,3
Total,109,103,98,3,3
,District Council 4th District,City Commissioners,,,4
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,4
Curtis J Jones Jr,6,97,96,0,4
Anthony Clark,,4,92,0,4
Lisa M Deeley,,,1,0,4
Al Schmidt,,,,0,4
Total,108,102,98,0,4
,District Council 4th District,City Commissioners,,,5
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,5
Curtis J Jones Jr,4,98,94,0,5
Anthony Clark,,2,92,0,5
Lisa M Deeley,,,2,0,5
Al Schmidt,,,,0,5
Total,104,100,96,0,5
,District Council 4th District,City Commissioners,,,6
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,6
Curtis J Jones Jr,27,110,91,1,6
Anthony Clark,,6,85,1,6
Lisa M Deeley,,,1,1,6
Al Schmidt,,,,2,6
Total,146,119,96,4,6
,District Council 4th District,City Commissioners,,,7
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,7
Curtis J Jones Jr,17,134,123,2,7
Anthony Clark,,1,120,1,7
Lisa M Deeley,,,1,1,7
Al Schmidt,,,,2,7
Total,156,137,126,4,7
,District Council 4th District,City Commissioners,,,8
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,8
Curtis J Jones Jr,19,141,131,6,8
Anthony Clark,,5,116,3,8
Lisa M Deeley,,,1,3,8
Al Schmidt,,,,0,8
Total,181,152,137,7,8
,District Council 4th District,City Commissioners,,,9
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,9
Curtis J Jones Jr,4,101,96,2,9
Anthony Clark,,5,92,1,9
Lisa M Deeley,,,1,1,9
Al Schmidt,,,,0,9
Total,110,107,98,2,9
,District Council 4th District,City Commissioners,,,10
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,10
Curtis J Jones Jr,11,133,122,2,10
Anthony Clark,,5,120,2,10
Lisa M Deeley,,,2,1,10
Al Schmidt,,,,1,10
Total,151,143,130,4,10
,District Council 4th District,City Commissioners,,,11
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,11
Curtis J Jones Jr,22,140,133,2,11
Anthony Clark,,6,124,0,11
Lisa M Deeley,,,3,2,11
Al Schmidt,,,,2,11
Total,175,150,140,4,11
,District Council 4th District,City Commissioners,,,12
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,12
Curtis J Jones Jr,13,208,199,4,12
Anthony Clark,,3,190,1,12
Lisa M Deeley,,,1,3,12
Al Schmidt,,,,2,12
Total,235,216,205,6,12
,District Council 4th District,City Commissioners,,,13
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,13
Curtis J Jones Jr,11,147,130,1,13
Anthony Clark,,2,128,0,13
Lisa M Deeley,,,2,0,13
Al Schmidt,,,,3,13
Total,165,153,136,4,13
,District Council 4th District,City Commissioners,,,14
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,14
Curtis J Jones Jr,12,166,151,6,14
Anthony Clark,,2,139,5,14
Lisa M Deeley,,,0,1,14
Al Schmidt,,,,4,14
Total,198,175,159,11,14
,District Council 4th District,City Commissioners,,,15
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,15
Curtis J Jones Jr,13,150,133,1,15
Anthony Clark,,5,127,1,15
Lisa M Deeley,,,1,0,15
Al Schmidt,,,,1,15
Total,174,160,139,2,15
,District Council 4th District,City Commissioners,,,16
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,16
Curtis J Jones Jr,10,84,73,4,16
Anthony Clark,,0,70,2,16
Lisa M Deeley,,,1,1,16
Al Schmidt,,,,1,16
Total,99,85,75,5,16
,District Council 4th District,City Commissioners,,,17
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,17
Curtis J Jones Jr,6,104,92,3,17
Anthony Clark,,2,82,3,17
Lisa M Deeley,,,3,1,17
Al Schmidt,,,,1,17
Total,121,107,96,6,17
,District Council 4th District,City Commissioners,,,18
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,18
Curtis J Jones Jr,12,130,113,5,18
Anthony Clark,,3,110,2,18
Lisa M Deeley,,,0,2,18
Al Schmidt,,,,5,18
Total,150,137,117,10,18
,District Council 4th District,City Commissioners,,,19
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,19
Curtis J Jones Jr,16,198,172,8,19
Anthony Clark,,6,158,2,19
Lisa M Deeley,,,2,6,19
Al Schmidt,,,,6,19
Total,233,209,179,14,19
,District Council 4th District,City Commissioners,,,20
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,20
Curtis J Jones Jr,9,131,110,3,20
Anthony Clark,,4,108,1,20
Lisa M Deeley,,,3,0,20
Al Schmidt,,,,5,20
Total,150,141,119,8,20
,District Council 4th District,City Commissioners,,,21
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,21
Curtis J Jones Jr,14,163,150,6,21
Anthony Clark,,4,140,1,21
Lisa M Deeley,,,1,1,21
Al Schmidt,,,,4,21
Total,195,171,155,10,21
,District Council 4th District,City Commissioners,,,22
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,22
Curtis J Jones Jr,8,123,115,6,22
Anthony Clark,,0,105,1,22
Lisa M Deeley,,,1,3,22
Al Schmidt,,,,5,22
Total,145,124,118,12,22
,District Council 4th District,City Commissioners,,,23
,Curtis J Jones Jr,Lisa M Deeley,Anthony Clark,Al Schmidt,23
Curtis J Jones Jr,19,165,154,28,23
Lisa M Deeley,,3,142,21,23
Anthony Clark,,,6,6,23
Al Schmidt,,,,22,23
Total,209,179,170,53,23
,District Council 4th District,City Commissioners,,,24
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,24
Curtis J Jones Jr,17,187,178,6,24
Anthony Clark,,5,163,3,24
Lisa M Deeley,,,4,4,24
Al Schmidt,,,,2,24
Total,225,197,187,12,24
,District Council 4th District,City Commissioners,,,25
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,25
Curtis J Jones Jr,8,112,107,11,25
Anthony Clark,,5,93,3,25
Lisa M Deeley,,,2,8,25
Al Schmidt,,,,6,25
Total,142,121,117,21,25
,District Council 4th District,City Commissioners,,,26
,Curtis J Jones Jr,Lisa M Deeley,Anthony Clark,Al Schmidt,26
Curtis J Jones Jr,3,65,65,4,26
Lisa M Deeley,,2,58,4,26
Anthony Clark,,,1,0,26
Al Schmidt,,,,0,26
Total,77,69,68,4,26
,District Council 4th District,City Commissioners,,,27
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,27
Curtis J Jones Jr,12,138,121,8,27
Anthony Clark,,3,112,3,27
Lisa M Deeley,,,0,5,27
Al Schmidt,,,,1,27
Total,162,144,124,9,27
,District Council 4th District,City Commissioners,,,28
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,28
Curtis J Jones Jr,8,133,129,5,28
Anthony Clark,,5,119,0,28
Lisa M Deeley,,,0,4,28
Al Schmidt,,,,4,28
Total,154,140,131,9,28
,District Council 4th District,City Commissioners,,,29
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,29
Curtis J Jones Jr,12,140,121,8,29
Anthony Clark,,1,112,4,29
Lisa M Deeley,,,5,3,29
Al Schmidt,,,,4,29
Total,165,143,129,13,29
,District Council 4th District,City Commissioners,,,30
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,30
Curtis J Jones Jr,15,164,144,8,30
Anthony Clark,,3,132,2,30
Lisa M Deeley,,,4,6,30
Al Schmidt,,,,4,30
Total,195,170,152,13,30
,District Council 4th District,City Commissioners,,,31
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,31
Curtis J Jones Jr,17,176,159,4,31
Anthony Clark,,3,152,1,31
Lisa M Deeley,,,2,2,31
Al Schmidt,,,,6,31
Total,206,183,166,11,31
,District Council 4th District,City Commissioners,,,32
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,32
Curtis J Jones Jr,10,90,78,8,32
Anthony Clark,,1,69,5,32
Lisa M Deeley,,,0,3,32
Al Schmidt,,,,5,32
Total,112,94,81,13,32
,District Council 4th District,City Commissioners,,,33
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,33
Curtis J Jones Jr,14,153,140,4,33
Anthony Clark,,1,137,3,33
Lisa M Deeley,,,0,1,33
Al Schmidt,,,,2,33
Total,175,159,145,6,33
,District Council 4th District,City Commissioners,,,34
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,34
Curtis J Jones Jr,18,170,154,20,34
Anthony Clark,,4,144,8,34
Lisa M Deeley,,,3,15,34
Al Schmidt,,,,15,34
Total,208,183,168,41,34
,District Council 4th District,City Commissioners,,,35
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,35
Curtis J Jones Jr,8,99,80,1,35
Anthony Clark,,4,77,0,35
Lisa M Deeley,,,1,0,35
Al Schmidt,,,,1,35
Total,112,104,82,2,35
,District Council 4th District,City Commissioners,,,36
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,36
Curtis J Jones Jr,8,89,84,1,36
Anthony Clark,,3,83,0,36
Lisa M Deeley,,,1,1,36
Al Schmidt,,,,1,36
Total,99,93,86,2,36
,District Council 4th District,City Commissioners,,,37
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,37
Curtis J Jones Jr,5,102,87,3,37
Anthony Clark,,1,80,1,37
Lisa M Deeley,,,2,1,37
Al Schmidt,,,,1,37
Total,115,103,89,4,37
,District Council 4th District,City Commissioners,,,38
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,38
Curtis J Jones Jr,11,66,53,0,38
Anthony Clark,,2,51,0,38
Lisa M Deeley,,,0,0,38
Al Schmidt,,,,1,38
Total,81,70,55,1,38
,District Council 4th District,City Commissioners,,,39
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,39
Curtis J Jones Jr,12,123,114,9,39
Anthony Clark,,4,98,3,39
Lisa M Deeley,,,6,7,39
Al Schmidt,,,,4,39
Total,151,127,121,14,39
,District Council 4th District,City Commissioners,,,40
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,40
Curtis J Jones Jr,10,103,88,4,40
Anthony Clark,,5,81,2,40
Lisa M Deeley,,,2,1,40
Al Schmidt,,,,1,40
Total,123,110,92,5,40
,District Council 4th District,City Commissioners,,,41
,Curtis J Jones Jr,Anthony Clark,Lisa M Deeley,Al Schmidt,41
Curtis J Jones Jr,12,177,162,8,41
