col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Council At Large,,,,,,,,,,,,,,District Council 3rd District,All
,Blondell Reynolds Brown,Derek S Green,Helen Gym,William K Greenlee,Allan Domb,David Oh,Andrew C Stober,Kristin Combs,Al Taubenberger,Terry Tracy,Dennis M O Brien,Daniel Tinney,Sheila E Armstrong,John Staggs,Jannie L Blackwell,All
Blondell Reynolds Brown,453,"17,870","17,665","17,879","17,227",810,730,705,486,260,287,135,219,151,"16,038",All
Derek S Green,,330,"17,485","17,453","17,242",591,757,616,462,340,299,130,168,116,"15,097",All
Helen Gym,,,215,"17,297","16,941",708,"1,436","1,229",250,401,333,132,361,313,"14,855",All
William K Greenlee,,,,118,"16,980",592,645,601,459,198,280,95,155,124,"14,352",All
Allan Domb,,,,,194,575,522,339,482,240,224,141,131,81,"14,109",All
David Oh,,,,,,114,128,110,527,552,570,471,89,38,867,All
Andrew C Stober,,,,,,,40,806,84,228,113,41,275,254,951,All
Kristin Combs,,,,,,,,16,56,92,60,31,358,336,960,All
Al Taubenberger,,,,,,,,,69,497,471,454,36,13,294,All
Terry Tracy,,,,,,,,,,33,483,482,59,19,415,All
Dennis M O Brien,,,,,,,,,,,19,457,41,11,411,All
Daniel Tinney,,,,,,,,,,,,51,34,11,223,All
Sheila E Armstrong,,,,,,,,,,,,,16,191,373,All
John Staggs,,,,,,,,,,,,,,2,278,All
Jannie L Blackwell,,,,,,,,,,,,,,,831,All
Total,"21,347","20,267","20,058","19,182","18,925","1,791","1,778","1,532","1,237","1,090","1,002",766,619,460,"19,757",All
