col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,District Council 1st District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Mark F Squilla,Mia Roberts Perez,Kai Scott,Ken Powell,Abbe Fletman,Michael Fanning,Tracy B Roman,Stephanie M Sawyer,Lyris Younge,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,All
Mark F Squilla,18,87,85,88,84,82,81,81,77,76,76,74,71,25,All
Mia Roberts Perez,,0,82,81,82,77,77,78,77,74,76,72,66,15,All
Kai Scott,,,0,81,86,77,76,76,77,75,74,72,64,16,All
Ken Powell,,,,0,83,80,77,76,76,75,74,72,67,18,All
Abbe Fletman,,,,,0,78,79,76,78,77,75,72,65,16,All
Michael Fanning,,,,,,1,72,77,71,76,75,72,70,21,All
Tracy B Roman,,,,,,,1,73,78,68,68,64,65,16,All
Stephanie M Sawyer,,,,,,,,1,71,73,75,69,67,17,All
Lyris Younge,,,,,,,,,0,68,67,64,64,15,All
Chris Mallios,,,,,,,,,,0,72,70,66,16,All
Daine Grey Jr,,,,,,,,,,,0,70,66,15,All
Rainy Papademetriou,,,,,,,,,,,,0,62,12,All
Scott Diclaudio,,,,,,,,,,,,,0,17,All
Vincent Furlong,,,,,,,,,,,,,,22,All
Total,132,94,93,91,90,86,86,85,81,80,80,78,73,48,All
,District Council 1st District,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,5
,Mark F Squilla,Mia Roberts Perez,Kai Scott,Ken Powell,Abbe Fletman,Michael Fanning,Tracy B Roman,Stephanie M Sawyer,Lyris Younge,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,5
Mark F Squilla,18,87,85,88,84,82,81,81,77,76,76,74,71,25,5
Mia Roberts Perez,,0,82,81,82,77,77,78,77,74,76,72,66,15,5
Kai Scott,,,0,81,86,77,76,76,77,75,74,72,64,16,5
Ken Powell,,,,0,83,80,77,76,76,75,74,72,67,18,5
Abbe Fletman,,,,,0,78,79,76,78,77,75,72,65,16,5
Michael Fanning,,,,,,1,72,77,71,76,75,72,70,21,5
Tracy B Roman,,,,,,,1,73,78,68,68,64,65,16,5
Stephanie M Sawyer,,,,,,,,1,71,73,75,69,67,17,5
Lyris Younge,,,,,,,,,0,68,67,64,64,15,5
Chris Mallios,,,,,,,,,,0,72,70,66,16,5
Daine Grey Jr,,,,,,,,,,,0,70,66,15,5
Rainy Papademetriou,,,,,,,,,,,,0,62,12,5
Scott Diclaudio,,,,,,,,,,,,,0,17,5
Vincent Furlong,,,,,,,,,,,,,,22,5
Total,132,94,93,91,90,86,86,85,81,80,80,78,73,48,5
