col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Mia Roberts Perez,Kai Scott,Ken Powell,Tracy B Roman,Abbe Fletman,Chris Mallios,Rainy Papademetriou,Stephanie M Sawyer,Michael Fanning,Scott Diclaudio,Lyris Younge,Daine Grey Jr,Vincent Furlong,1
Mia Roberts Perez,3,77,72,72,68,66,65,66,63,59,65,62,13,1
Kai Scott,,2,68,69,67,64,61,62,61,57,63,60,9,1
Ken Powell,,,5,70,60,59,57,61,58,60,63,59,11,1
Tracy B Roman,,,,2,61,59,58,62,56,59,65,58,12,1
Abbe Fletman,,,,,0,60,56,59,55,53,56,58,9,1
Chris Mallios,,,,,,0,65,63,60,57,54,61,10,1
Rainy Papademetriou,,,,,,,1,60,57,55,54,59,8,1
Stephanie M Sawyer,,,,,,,,0,63,58,55,63,10,1
Michael Fanning,,,,,,,,,1,57,52,60,8,1
Scott Diclaudio,,,,,,,,,,3,53,57,10,1
Lyris Younge,,,,,,,,,,,0,55,7,1
Daine Grey Jr,,,,,,,,,,,,0,8,1
Vincent Furlong,,,,,,,,,,,,,5,1
Total,88,83,80,78,73,73,69,69,66,66,65,64,19,1
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,2
,Mia Roberts Perez,Kai Scott,Abbe Fletman,Ken Powell,Tracy B Roman,Rainy Papademetriou,Lyris Younge,Stephanie M Sawyer,Chris Mallios,Michael Fanning,Scott Diclaudio,Daine Grey Jr,Vincent Furlong,2
Mia Roberts Perez,3,116,111,103,104,100,101,95,94,93,87,91,12,2
Kai Scott,,1,112,103,103,100,101,95,96,92,87,91,12,2
Abbe Fletman,,,1,105,102,98,100,95,97,93,87,91,12,2
Ken Powell,,,,5,101,92,99,93,93,91,88,89,12,2
Tracy B Roman,,,,,4,90,99,93,90,91,88,88,13,2
Rainy Papademetriou,,,,,,0,88,97,97,94,90,92,12,2
Lyris Younge,,,,,,,1,90,87,88,85,86,10,2
Stephanie M Sawyer,,,,,,,,0,95,93,90,93,14,2
Chris Mallios,,,,,,,,,0,94,88,91,12,2
Michael Fanning,,,,,,,,,,2,89,91,13,2
Scott Diclaudio,,,,,,,,,,,3,86,11,2
Daine Grey Jr,,,,,,,,,,,,0,11,2
Vincent Furlong,,,,,,,,,,,,,12,2
Total,124,122,117,112,112,108,103,102,100,99,97,94,26,2
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,3
,Ken Powell,Abbe Fletman,Mia Roberts Perez,Kai Scott,Rainy Papademetriou,Chris Mallios,Michael Fanning,Tracy B Roman,Stephanie M Sawyer,Daine Grey Jr,Lyris Younge,Scott Diclaudio,Vincent Furlong,3
Ken Powell,7,119,104,105,109,109,110,97,94,94,92,86,13,3
Abbe Fletman,,1,106,112,111,113,107,95,92,94,93,81,11,3
Mia Roberts Perez,,,3,116,100,99,93,100,99,97,96,86,14,3
Kai Scott,,,,2,104,101,93,100,98,97,97,84,13,3
Rainy Papademetriou,,,,,1,110,108,86,95,96,84,83,11,3
Chris Mallios,,,,,,0,105,87,96,98,85,87,13,3
Michael Fanning,,,,,,,2,85,93,94,83,83,11,3
Tracy B Roman,,,,,,,,2,90,87,96,86,14,3
Stephanie M Sawyer,,,,,,,,,0,98,85,86,14,3
Daine Grey Jr,,,,,,,,,,1,86,85,13,3
Lyris Younge,,,,,,,,,,,1,83,11,3
Scott Diclaudio,,,,,,,,,,,,2,14,3
Vincent Furlong,,,,,,,,,,,,,19,3
Total,138,134,125,124,124,120,117,108,105,101,98,92,38,3
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,4
,Kai Scott,Ken Powell,Mia Roberts Perez,Abbe Fletman,Scott Diclaudio,Stephanie M Sawyer,Tracy B Roman,Chris Mallios,Rainy Papademetriou,Michael Fanning,Daine Grey Jr,Lyris Younge,Vincent Furlong,4
Kai Scott,3,95,98,100,85,90,90,91,92,86,90,87,11,4
Ken Powell,,6,94,94,85,89,88,89,89,88,90,85,14,4
Mia Roberts Perez,,,4,96,86,91,90,90,92,87,90,87,12,4
Abbe Fletman,,,,1,83,88,87,91,91,87,91,86,11,4
Scott Diclaudio,,,,,4,87,87,87,86,87,87,82,17,4
Stephanie M Sawyer,,,,,,1,85,89,90,87,90,81,10,4
Tracy B Roman,,,,,,,1,82,84,81,83,85,14,4
Chris Mallios,,,,,,,,0,92,90,91,79,13,4
Rainy Papademetriou,,,,,,,,,0,88,91,81,11,4
Michael Fanning,,,,,,,,,,2,91,80,14,4
Daine Grey Jr,,,,,,,,,,,0,83,13,4
Lyris Younge,,,,,,,,,,,,2,8,4
Vincent Furlong,,,,,,,,,,,,,27,4
Total,109,108,108,102,102,100,100,99,98,96,95,90,48,4
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,5
,Ken Powell,Mia Roberts Perez,Abbe Fletman,Kai Scott,Lyris Younge,Tracy B Roman,Stephanie M Sawyer,Scott Diclaudio,Michael Fanning,Rainy Papademetriou,Chris Mallios,Daine Grey Jr,Vincent Furlong,5
Ken Powell,1,52,52,50,48,47,38,37,38,39,38,38,0,5
Mia Roberts Perez,,2,51,49,47,47,38,36,38,38,38,36,0,5
Abbe Fletman,,,0,51,49,47,38,36,38,38,38,37,0,5
Kai Scott,,,,1,49,46,38,36,37,38,38,37,0,5
Lyris Younge,,,,,0,45,37,36,36,37,37,36,0,5
Tracy B Roman,,,,,,0,35,34,34,34,34,34,0,5
Stephanie M Sawyer,,,,,,,1,36,38,37,37,36,1,5
Scott Diclaudio,,,,,,,,3,36,36,36,35,0,5
Michael Fanning,,,,,,,,,0,37,37,36,0,5
Rainy Papademetriou,,,,,,,,,,0,38,37,0,5
Chris Mallios,,,,,,,,,,,0,36,0,5
Daine Grey Jr,,,,,,,,,,,,0,0,5
Vincent Furlong,,,,,,,,,,,,,9,5
Total,57,55,53,52,49,48,41,40,39,39,38,38,10,5
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,6
,Tracy B Roman,Kai Scott,Mia Roberts Perez,Ken Powell,Lyris Younge,Abbe Fletman,Chris Mallios,Daine Grey Jr,Michael Fanning,Scott Diclaudio,Stephanie M Sawyer,Rainy Papademetriou,Vincent Furlong,6
Tracy B Roman,3,56,59,59,59,56,48,48,48,48,48,43,6,6
Kai Scott,,3,57,58,59,59,48,48,48,45,46,45,4,6
Mia Roberts Perez,,,3,58,58,56,46,47,46,45,47,43,5,6
Ken Powell,,,,1,59,58,49,48,49,48,48,44,5,6
Lyris Younge,,,,,0,59,47,50,49,46,48,45,4,6
Abbe Fletman,,,,,,0,48,48,48,46,46,45,4,6
Chris Mallios,,,,,,,0,47,48,48,47,44,5,6
Daine Grey Jr,,,,,,,,1,49,46,48,45,4,6
Michael Fanning,,,,,,,,,0,47,47,45,4,6
Scott Diclaudio,,,,,,,,,,1,46,43,5,6
Stephanie M Sawyer,,,,,,,,,,,0,43,4,6
Rainy Papademetriou,,,,,,,,,,,,0,2,6
Vincent Furlong,,,,,,,,,,,,,2,6
Total,66,64,64,62,62,60,51,51,50,49,49,45,8,6
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,7
,Mia Roberts Perez,Tracy B Roman,Kai Scott,Ken Powell,Abbe Fletman,Lyris Younge,Chris Mallios,Daine Grey Jr,Michael Fanning,Scott Diclaudio,Stephanie M Sawyer,Rainy Papademetriou,Vincent Furlong,7
Mia Roberts Perez,2,39,37,37,37,37,32,32,32,31,30,31,5,7
Tracy B Roman,,1,36,36,38,36,31,31,30,32,31,29,6,7
Kai Scott,,,2,36,37,37,32,32,31,31,30,30,5,7
Ken Powell,,,,3,36,36,31,32,31,31,30,30,5,7
Abbe Fletman,,,,,0,37,32,32,31,32,31,30,6,7
Lyris Younge,,,,,,0,31,32,31,31,30,30,5,7
Chris Mallios,,,,,,,0,31,31,31,30,30,4,7
Daine Grey Jr,,,,,,,,0,31,31,30,30,5,7
Michael Fanning,,,,,,,,,0,30,29,30,4,7
Scott Diclaudio,,,,,,,,,,0,31,29,5,7
Stephanie M Sawyer,,,,,,,,,,,1,28,4,7
Rainy Papademetriou,,,,,,,,,,,,0,3,7
Vincent Furlong,,,,,,,,,,,,,7,7
Total,43,42,40,40,39,37,34,32,32,32,32,31,13,7
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,8
,Mia Roberts Perez,Abbe Fletman,Kai Scott,Tracy B Roman,Ken Powell,Lyris Younge,Stephanie M Sawyer,Chris Mallios,Rainy Papademetriou,Daine Grey Jr,Michael Fanning,Scott Diclaudio,Vincent Furlong,8
Mia Roberts Perez,2,56,57,51,53,50,48,47,47,46,43,38,2,8
Abbe Fletman,,0,55,49,52,51,45,46,45,44,43,36,2,8
Kai Scott,,,0,49,51,49,46,45,46,46,42,37,2,8
Tracy B Roman,,,,4,50,48,42,41,40,39,36,39,2,8
Ken Powell,,,,,3,50,41,42,40,40,39,38,3,8
Lyris Younge,,,,,,0,38,39,38,38,37,36,2,8
Stephanie M Sawyer,,,,,,,0,47,46,45,43,38,2,8
Chris Mallios,,,,,,,,0,46,45,43,39,3,8
Rainy Papademetriou,,,,,,,,,0,45,43,36,2,8
Daine Grey Jr,,,,,,,,,,0,42,37,2,8
Michael Fanning,,,,,,,,,,,0,35,2,8
Scott Diclaudio,,,,,,,,,,,,1,4,8
Vincent Furlong,,,,,,,,,,,,,7,8
Total,64,58,58,58,57,51,50,49,49,47,44,42,13,8
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,9
,Mia Roberts Perez,Abbe Fletman,Kai Scott,Ken Powell,Tracy B Roman,Chris Mallios,Lyris Younge,Michael Fanning,Stephanie M Sawyer,Rainy Papademetriou,Scott Diclaudio,Daine Grey Jr,Vincent Furlong,9
Mia Roberts Perez,7,67,66,62,61,59,58,50,55,58,52,54,8,9
Abbe Fletman,,1,65,58,58,59,58,48,52,55,49,52,7,9
Kai Scott,,,1,58,56,58,56,48,51,56,49,52,6,9
Ken Powell,,,,1,58,52,55,47,50,50,51,50,6,9
Tracy B Roman,,,,,3,50,58,46,51,49,50,50,7,9
Chris Mallios,,,,,,0,49,51,52,56,51,52,7,9
Lyris Younge,,,,,,,0,45,49,49,49,49,7,9
Michael Fanning,,,,,,,,8,48,48,47,48,6,9
Stephanie M Sawyer,,,,,,,,,2,51,51,54,8,9
Rainy Papademetriou,,,,,,,,,,0,50,51,7,9
Scott Diclaudio,,,,,,,,,,,2,50,8,9
Daine Grey Jr,,,,,,,,,,,,0,8,9
Vincent Furlong,,,,,,,,,,,,,12,9
Total,80,71,70,66,65,62,59,59,59,58,56,55,22,9
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,10
,Kai Scott,Mia Roberts Perez,Abbe Fletman,Rainy Papademetriou,Ken Powell,Stephanie M Sawyer,Tracy B Roman,Lyris Younge,Chris Mallios,Michael Fanning,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,10
Kai Scott,2,91,89,84,86,83,80,81,80,79,78,71,5,10
Mia Roberts Perez,,3,87,83,84,81,83,83,76,78,77,71,5,10
Abbe Fletman,,,1,80,84,81,79,80,78,76,75,70,4,10
Rainy Papademetriou,,,,1,75,82,72,73,78,76,76,70,5,10
Ken Powell,,,,,2,76,79,79,74,78,77,71,4,10
Stephanie M Sawyer,,,,,,0,73,73,78,77,77,70,6,10
Tracy B Roman,,,,,,,3,82,71,72,71,71,5,10
Lyris Younge,,,,,,,,0,72,72,71,71,5,10
Chris Mallios,,,,,,,,,0,74,74,71,5,10
Michael Fanning,,,,,,,,,,2,77,72,4,10
Daine Grey Jr,,,,,,,,,,,1,69,4,10
Scott Diclaudio,,,,,,,,,,,,1,5,10
Vincent Furlong,,,,,,,,,,,,,8,10
Total,100,98,93,90,89,87,86,83,82,82,80,75,14,10
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,11
,Ken Powell,Abbe Fletman,Mia Roberts Perez,Rainy Papademetriou,Kai Scott,Chris Mallios,Michael Fanning,Stephanie M Sawyer,Tracy B Roman,Daine Grey Jr,Lyris Younge,Scott Diclaudio,Vincent Furlong,11
Ken Powell,7,120,117,108,116,109,110,104,108,105,107,93,14,11
Abbe Fletman,,0,124,116,125,114,113,111,108,108,105,93,14,11
Mia Roberts Perez,,,2,117,125,112,106,114,110,110,108,92,12,11
Rainy Papademetriou,,,,5,110,117,116,116,98,110,95,94,15,11
Kai Scott,,,,,2,107,105,112,108,108,107,90,11,11
Chris Mallios,,,,,,2,114,114,96,107,95,96,14,11
Michael Fanning,,,,,,,5,112,96,109,96,99,15,11
Stephanie M Sawyer,,,,,,,,1,99,114,96,95,11,11
Tracy B Roman,,,,,,,,,2,95,106,95,14,11
Daine Grey Jr,,,,,,,,,,0,97,93,11,11
Lyris Younge,,,,,,,,,,,1,89,9,11
Scott Diclaudio,,,,,,,,,,,,8,16,11
Vincent Furlong,,,,,,,,,,,,,17,11
Total,142,140,139,139,134,133,133,128,119,116,112,112,43,11
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,12
,Ken Powell,Mia Roberts Perez,Tracy B Roman,Abbe Fletman,Kai Scott,Lyris Younge,Chris Mallios,Daine Grey Jr,Michael Fanning,Scott Diclaudio,Stephanie M Sawyer,Rainy Papademetriou,Vincent Furlong,12
Ken Powell,3,51,49,51,50,48,44,43,43,43,44,42,6,12
Mia Roberts Perez,,3,50,50,51,49,44,43,43,43,44,42,6,12
Tracy B Roman,,,2,48,50,48,42,42,42,41,43,41,4,12
Abbe Fletman,,,,0,49,47,43,42,43,42,43,42,6,12
Kai Scott,,,,,0,49,43,42,43,42,44,42,5,12
Lyris Younge,,,,,,1,41,41,41,40,42,40,4,12
Chris Mallios,,,,,,,0,43,42,42,43,41,5,12
Daine Grey Jr,,,,,,,,0,41,41,42,40,5,12
Michael Fanning,,,,,,,,,0,42,43,42,6,12
