col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Council At Large,,,,,,,,,,,,,,District Council 9th District,,,1
,Allan Domb,Helen Gym,William K Greenlee,Derek S Green,Blondell Reynolds Brown,David Oh,Al Taubenberger,Dennis M O Brien,Terry Tracy,Daniel Tinney,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,Bobbie T Curry,Cherelle Parker,Kevin Strickland,1
Allan Domb,2,68,71,66,67,3,5,2,2,1,1,0,0,0,0,0,0,1
Helen Gym,,2,67,64,67,4,3,0,2,0,2,2,2,1,0,0,0,1
William K Greenlee,,,1,65,66,2,5,1,0,1,1,0,0,0,0,0,0,1
Derek S Green,,,,4,64,2,0,2,2,1,0,0,0,0,0,0,0,1
Blondell Reynolds Brown,,,,,1,0,2,1,1,0,1,0,0,0,0,0,0,1
David Oh,,,,,,2,10,9,9,9,0,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,0,9,8,9,1,0,0,0,0,0,0,1
Dennis M O Brien,,,,,,,,0,9,10,0,0,0,0,0,0,0,1
Terry Tracy,,,,,,,,,0,8,1,1,1,0,0,0,0,1
Daniel Tinney,,,,,,,,,,0,0,0,0,0,0,0,0,1
Andrew C Stober,,,,,,,,,,,0,2,2,1,0,0,0,1
Kristin Combs,,,,,,,,,,,,0,2,1,0,0,0,1
Sheila E Armstrong,,,,,,,,,,,,,0,1,0,0,0,1
John Staggs,,,,,,,,,,,,,,0,0,0,0,1
Bobbie T Curry,,,,,,,,,,,,,,,0,0,0,1
Cherelle Parker,,,,,,,,,,,,,,,,0,0,1
Kevin Strickland,,,,,,,,,,,,,,,,,0,1
Total,75,75,73,72,70,15,13,11,11,10,3,2,2,1,0,0,0,1
,Council At Large,,,,,,,,,,,,,,District Council 9th District,,,2
,Helen Gym,Allan Domb,William K Greenlee,Derek S Green,Blondell Reynolds Brown,David Oh,Daniel Tinney,Dennis M O Brien,Kristin Combs,Terry Tracy,Al Taubenberger,Andrew C Stober,John Staggs,Sheila E Armstrong,Bobbie T Curry,Cherelle Parker,Kevin Strickland,2
Helen Gym,3,32,38,30,30,3,3,3,7,3,2,1,0,0,0,0,0,2
Allan Domb,,4,34,33,30,4,0,1,0,1,0,1,0,0,0,0,0,2
William K Greenlee,,,0,31,31,3,1,2,4,2,1,1,0,0,0,0,0,2
Derek S Green,,,,3,30,0,0,0,0,0,0,0,0,0,0,0,0,2
Blondell Reynolds Brown,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,2
David Oh,,,,,,1,5,7,0,4,5,1,0,0,0,0,0,2
Daniel Tinney,,,,,,,1,6,1,6,6,0,0,0,0,0,0,2
Dennis M O Brien,,,,,,,,0,1,5,5,0,0,0,0,0,0,2
Kristin Combs,,,,,,,,,1,1,0,0,0,0,0,0,0,2
Terry Tracy,,,,,,,,,,0,5,0,0,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,0,0,0,0,0,0,0,2
Andrew C Stober,,,,,,,,,,,,0,0,0,0,0,0,2
John Staggs,,,,,,,,,,,,,0,0,0,0,0,2
Sheila E Armstrong,,,,,,,,,,,,,,0,0,0,0,2
Bobbie T Curry,,,,,,,,,,,,,,,0,0,0,2
Cherelle Parker,,,,,,,,,,,,,,,,0,0,2
Kevin Strickland,,,,,,,,,,,,,,,,,0,2
Total,45,43,41,37,34,11,8,8,8,7,6,1,0,0,0,0,0,2
,Council At Large,,,,,,,,,,,,,,District Council 9th District,,,3
,Derek S Green,Helen Gym,Allan Domb,William K Greenlee,Blondell Reynolds Brown,David Oh,Terry Tracy,Al Taubenberger,Daniel Tinney,Dennis M O Brien,Andrew C Stober,John Staggs,Kristin Combs,Sheila E Armstrong,Bobbie T Curry,Cherelle Parker,Kevin Strickland,3
Derek S Green,4,76,74,75,48,30,1,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,3,76,76,49,32,1,1,0,0,0,0,0,0,0,0,0,3
Allan Domb,,,2,74,47,31,1,1,0,0,0,0,0,0,0,0,0,3
William K Greenlee,,,,1,47,30,1,1,0,0,0,0,0,0,0,0,0,3
Blondell Reynolds Brown,,,,,2,4,0,0,0,0,0,0,0,0,0,0,0,3
David Oh,,,,,,2,4,5,4,4,0,0,0,0,0,0,0,3
Terry Tracy,,,,,,,1,4,4,4,0,0,0,0,0,0,0,3
Al Taubenberger,,,,,,,,0,4,4,0,0,0,0,0,0,0,3
Daniel Tinney,,,,,,,,,0,4,0,0,0,0,0,0,0,3
Dennis M O Brien,,,,,,,,,,0,0,0,0,0,0,0,0,3
Andrew C Stober,,,,,,,,,,,0,0,0,0,0,0,0,3
John Staggs,,,,,,,,,,,,0,0,0,0,0,0,3
Kristin Combs,,,,,,,,,,,,,0,0,0,0,0,3
Sheila E Armstrong,,,,,,,,,,,,,,0,0,0,0,3
Bobbie T Curry,,,,,,,,,,,,,,,0,0,0,3
Cherelle Parker,,,,,,,,,,,,,,,,0,0,3
Kevin Strickland,,,,,,,,,,,,,,,,,0,3
Total,81,81,78,78,51,38,6,5,4,4,0,0,0,0,0,0,0,3
,Council At Large,,,,,,,,,,,,,,District Council 9th District,,,4
,Derek S Green,Blondell Reynolds Brown,Allan Domb,Helen Gym,William K Greenlee,Al Taubenberger,Andrew C Stober,Daniel Tinney,David Oh,Dennis M O Brien,John Staggs,Kristin Combs,Sheila E Armstrong,Terry Tracy,Bobbie T Curry,Cherelle Parker,Kevin Strickland,4
Derek S Green,5,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,4
Blondell Reynolds Brown,,3,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,4
Allan Domb,,,1,36,36,1,0,0,0,0,0,0,0,0,0,0,0,4
Helen Gym,,,,2,36,0,0,0,0,0,0,0,0,0,0,0,0,4
William K Greenlee,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Al Taubenberger,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4
Andrew C Stober,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4
Daniel Tinney,,,,,,,,0,0,0,0,0,0,0,0,0,0,4
David Oh,,,,,,,,,0,0,0,0,0,0,0,0,0,4
Dennis M O Brien,,,,,,,,,,0,0,0,0,0,0,0,0,4
John Staggs,,,,,,,,,,,0,0,0,0,0,0,0,4
Kristin Combs,,,,,,,,,,,,0,0,0,0,0,0,4
Sheila E Armstrong,,,,,,,,,,,,,0,0,0,0,0,4
Terry Tracy,,,,,,,,,,,,,,0,0,0,0,4
Bobbie T Curry,,,,,,,,,,,,,,,0,0,0,4
Cherelle Parker,,,,,,,,,,,,,,,,0,0,4
Kevin Strickland,,,,,,,,,,,,,,,,,0,4
Total,40,39,38,38,37,1,0,0,0,0,0,0,0,0,0,0,0,4
,Council At Large,,,,,,,,,,,,,,District Council 9th District,,,5
,Derek S Green,Blondell Reynolds Brown,Helen Gym,Allan Domb,William K Greenlee,Al Taubenberger,David Oh,Dennis M O Brien,Terry Tracy,Daniel Tinney,Sheila E Armstrong,Andrew C Stober,John Staggs,Kristin Combs,Bobbie T Curry,Cherelle Parker,Kevin Strickland,5
Derek S Green,9,80,79,79,80,1,3,3,1,1,1,0,0,0,0,0,0,5
Blondell Reynolds Brown,,5,75,76,77,0,3,2,0,0,1,0,0,0,0,0,0,5
Helen Gym,,,4,75,75,1,1,2,1,0,0,0,0,0,0,0,0,5
Allan Domb,,,,2,74,1,2,2,0,1,1,0,0,0,0,0,0,5
William K Greenlee,,,,,0,1,1,2,1,1,0,0,0,0,0,0,0,5
