col_1,col_2,col_3,col_4,division
,Judge Of The Municipal Court,,,All
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,All
Christine Hope,773,"2,777","2,842",All
Joffie C Pittman,,389,"2,859",All
Sharon Williams Losier,,,182,All
Total,"3,668","3,301","3,159",All
,Judge Of The Municipal Court,,,1
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,1
Christine Hope,47,129,130,1
Joffie C Pittman,,14,134,1
Sharon Williams Losier,,,11,1
Total,179,150,148,1
,Judge Of The Municipal Court,,,2
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,2
Christine Hope,22,90,88,2
Joffie C Pittman,,6,92,2
Sharon Williams Losier,,,8,2
Total,113,101,101,2
,Judge Of The Municipal Court,,,3
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,3
Christine Hope,18,59,61,3
Joffie C Pittman,,8,67,3
Sharon Williams Losier,,,2,3
Total,80,76,72,3
,Judge Of The Municipal Court,,,4
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,4
Christine Hope,28,80,82,4
Joffie C Pittman,,9,80,4
Sharon Williams Losier,,,3,4
Total,113,92,88,4
,Judge Of The Municipal Court,,,5
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,5
Christine Hope,35,90,91,5
Joffie C Pittman,,14,91,5
Sharon Williams Losier,,,9,5
Total,126,105,101,5
,Judge Of The Municipal Court,,,6
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,6
Christine Hope,37,106,116,6
Joffie C Pittman,,14,107,6
Sharon Williams Losier,,,2,6
Total,154,122,120,6
,Judge Of The Municipal Court,,,7
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,7
Christine Hope,29,100,99,7
Joffie C Pittman,,20,101,7
Sharon Williams Losier,,,5,7
Total,131,124,108,7
,Judge Of The Municipal Court,,,8
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,8
Christine Hope,20,55,56,8
Joffie C Pittman,,12,55,8
Sharon Williams Losier,,,6,8
Total,78,69,64,8
,Judge Of The Municipal Court,,,9
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,9
Christine Hope,23,73,77,9
Joffie C Pittman,,14,76,9
Sharon Williams Losier,,,9,9
Total,102,92,91,9
,Judge Of The Municipal Court,,,10
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,10
Christine Hope,21,90,90,10
Joffie C Pittman,,13,98,10
Sharon Williams Losier,,,4,10
Total,114,114,105,10
,Judge Of The Municipal Court,,,11
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,11
Christine Hope,44,91,97,11
Joffie C Pittman,,12,92,11
Sharon Williams Losier,,,5,11
Total,141,104,103,11
,Judge Of The Municipal Court,,,12
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,12
Christine Hope,36,109,107,12
Joffie C Pittman,,11,111,12
Sharon Williams Losier,,,6,12
Total,145,124,117,12
,Judge Of The Municipal Court,,,13
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,13
Christine Hope,5,41,41,13
Sharon Williams Losier,,4,42,13
Joffie C Pittman,,,3,13
Total,46,46,45,13
,Judge Of The Municipal Court,,,14
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,14
Christine Hope,24,139,139,14
Joffie C Pittman,,10,139,14
Sharon Williams Losier,,,10,14
Total,165,151,151,14
,Judge Of The Municipal Court,,,15
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,15
Christine Hope,49,140,138,15
Joffie C Pittman,,12,140,15
Sharon Williams Losier,,,12,15
Total,192,157,155,15
,Judge Of The Municipal Court,,,16
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,16
Christine Hope,40,158,166,16
Joffie C Pittman,,31,157,16
Sharon Williams Losier,,,10,16
Total,209,191,178,16
,Judge Of The Municipal Court,,,17
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,17
Christine Hope,25,101,105,17
Joffie C Pittman,,22,104,17
Sharon Williams Losier,,,8,17
Total,132,128,118,17
,Judge Of The Municipal Court,,,18
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,18
Christine Hope,29,92,93,18
Joffie C Pittman,,16,98,18
Sharon Williams Losier,,,3,18
Total,123,115,103,18
,Judge Of The Municipal Court,,,19
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,19
Christine Hope,20,108,108,19
