col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Municipal Court,,,All
,Anne Marie Coyle,Daniel D Mccaffery,Giovanni Campbell,J Scott O Keefe,Timika Lane,Joe Fernandes,Sierra Thomas Street,Kenneth J Powell Jr,Stephen Miller Miller,Martin Coleman,Fran Shields,Henry Lewandowski,All
Anne Marie Coyle,"2,060","48,851","47,357","47,998","45,616","46,550","42,814","12,857","4,223","48,204","48,067","47,053",All
Daniel D Mccaffery,,401,"47,444","48,052","45,544","46,582","42,936","5,475","3,521","47,304","47,291","46,327",All
Giovanni Campbell,,,217,"47,295","46,195","46,870","43,204","4,923","3,447","47,123","46,785","45,073",All
J Scott O Keefe,,,,132,"45,231","46,308","42,401","5,267","3,542","46,698","46,877","45,440",All
Timika Lane,,,,,372,"45,448","43,407","3,045","2,654","46,115","45,392","43,509",All
Joe Fernandes,,,,,,254,"42,833","4,203","3,034","46,426","45,947","44,428",All
Sierra Thomas Street,,,,,,,479,"2,156","2,055","43,371","42,631","42,271",All
Kenneth J Powell Jr,,,,,,,,940,"2,791","5,410","5,692","5,113",All
Stephen Miller Miller,,,,,,,,,272,"3,662","3,811","3,715",All
Martin Coleman,,,,,,,,,,138,"48,206","46,182",All
Fran Shields,,,,,,,,,,,109,"46,150",All
Henry Lewandowski,,,,,,,,,,,,353,All
Total,"63,312","53,227","51,374","51,233","50,298","50,014","47,241","15,290","5,874","53,158","52,372","51,093",All
