col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Court Of Common Pleas,,,,,,,,,District Attorney,,All
,Anne Marie Coyle,Daniel D Mccaffery,Giovanni Campbell,J Scott O Keefe,Timika Lane,Joe Fernandes,Sierra Thomas Street,Kenneth J Powell Jr,Stephen Miller Miller,R Seth Williams,Daniel A Alvarez,All
Anne Marie Coyle,476,"48,851","47,357","47,998","45,616","46,550","42,814","12,857","4,223","47,950","13,656",All
Daniel D Mccaffery,,188,"47,444","48,052","45,544","46,582","42,936","5,475","3,521","46,759","5,178",All
Giovanni Campbell,,,96,"47,295","46,195","46,870","43,204","4,923","3,447","46,126","4,175",All
J Scott O Keefe,,,,95,"45,231","46,308","42,401","5,267","3,542","45,567","4,605",All
Timika Lane,,,,,143,"45,448","43,407","3,045","2,654","46,455","2,728",All
Joe Fernandes,,,,,,170,"42,833","4,203","3,034","45,361","3,617",All
Sierra Thomas Street,,,,,,,152,"2,156","2,055","43,749","2,499",All
Kenneth J Powell Jr,,,,,,,,162,"2,791","3,999","10,866",All
Stephen Miller Miller,,,,,,,,,82,"2,990","2,678",All
R Seth Williams,,,,,,,,,,"2,564",0,All
Daniel A Alvarez,,,,,,,,,,,"1,032",All
Total,"63,312","53,227","51,374","51,233","50,298","50,014","47,241","15,290","5,874","58,325","17,393",All
